0: [[19, 6, 3, 13, 4, 5, 9, 1, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
14: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
15: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
16: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
17: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
18: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
19: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
20: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
21: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
22: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
23: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
24: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
25: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
26: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
27: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
28: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
29: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
30: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
31: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
32: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
33: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
34: [[19, 6, 3, 13, 4, 1, 5, 9, 2, 12], [7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
35: [[19, 6, 3, 13, 4, 1, 5, 9, 2, 12], [7, 10, 14, 11], [8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
36: [[19, 6, 3, 13, 1, 5, 9, 4, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 17, 20], [22, 21, 23, 24]]
37: [[19, 6, 3, 13, 1, 5, 9, 4, 12], [2, 7, 10, 14, 11], [8, 15, 16, 18, 17, 20], [22, 21, 23, 24]]
38: [[19, 6, 3, 13, 4, 1, 5, 9, 12], [2, 7, 10, 14, 11, 8], [15, 16, 18, 20, 22, 17], [21, 23, 24]]
39: [[19, 6, 3, 13, 4, 1, 5, 12], [9, 2, 7, 10, 14], [11, 8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
40: [[19, 6, 3, 13, 4, 1, 5, 9, 2, 12], [7, 10, 14, 11, 8], [15, 16, 18, 20, 22, 17], [21, 23, 24]]
41: [[19, 6, 3, 13, 4, 1, 5, 9, 2, 12], [7, 10, 14, 11, 8], [15, 16, 18, 20, 22, 17], [21, 23, 24]]
42: [[19, 6, 3, 13, 4, 1, 5, 9, 2, 12], [7, 10, 14, 11, 8], [15, 16, 18, 20, 22, 17], [21, 23, 24]]
43: [[19, 6, 3, 13, 1, 5, 9, 4, 12], [2, 7, 10, 14], [11, 8, 15, 16, 18, 17, 20], [22, 21, 23, 24]]
44: [[19, 6, 3, 13, 1, 5, 9, 4, 12], [2, 7, 10, 14], [11, 8, 15, 16, 18, 17, 20], [22, 21, 23, 24]]
45: [[19, 6, 3, 13, 1, 5, 4, 12], [9, 2, 7, 10, 14], [11, 8, 15, 16, 18, 17, 20], [22, 21, 23, 24]]
46: [[19, 6, 3, 13, 4, 1, 5, 12], [9, 2, 7, 10], [14, 11, 8, 15, 16, 18, 20, 22, 17], [21, 23, 24]]
47: [[19, 6, 3, 13, 4, 12, 1, 5, 9], [2, 7, 10, 14, 11], [8, 15, 16, 18, 17, 20, 22, 21], [23, 24]]
48: [[19, 6, 3, 13, 4, 12, 1, 5, 9], [2, 7, 10, 14, 11, 8], [15, 16, 18, 17, 20, 22, 21], [23, 24]]
49: [[19, 6, 3, 13, 4, 12, 1, 5, 9], [2, 7, 10, 14, 11, 8], [15, 16, 18, 17, 20, 22, 21], [23, 24]]
