0: [[4, 19, 10], [1, 2, 13], [3, 5, 6], [15, 9, 8], [7, 11], [12, 16, 22, 14, 17, 18, 20], [21, 23, 24]]
39: [[19, 2, 10, 1], [13, 3], [5, 6, 15, 4], [9, 8], [7, 11], [12, 16, 22, 14, 17, 18, 20, 21, 23, 24]]
40: [[1, 4, 19], [2, 13, 3, 10], [5, 6, 15, 9, 8], [7, 11, 12], [16, 22, 14, 17, 18, 20, 21, 23, 24]]
41: [[10, 19], [1, 2, 13, 3], [5, 6, 4], [15, 9, 8], [7, 11, 12, 16, 22, 14, 17, 18, 20, 21, 23, 24]]
42: [[4, 19, 10], [1, 2], [13, 3, 5, 6], [15, 9, 8, 7, 11, 12, 16, 22, 14, 17, 18, 20, 21, 23, 24]]
43: [[1], [2, 13], [3, 5, 6, 15, 4], [9, 8, 7], [11, 12, 16], [22, 14, 17, 19, 10], [18, 20, 21, 23, 24]]
44: [[4, 19], [10, 1, 2], [13, 3, 5, 6], [15, 9, 8, 7, 11, 12, 16, 22, 14, 17, 18, 20, 21, 23, 24]]
45: [[4, 19, 10], [1, 2, 13], [3, 5, 6, 15, 9, 8, 7, 11, 12, 16, 22, 14, 17, 18, 20, 21, 23, 24]]
46: [[4, 19, 10], [1, 2, 13], [3, 5, 6, 15], [9, 8, 7], [11, 12, 16, 22, 14, 17, 18, 20, 21, 23, 24]]
47: [[1], [2, 13, 3, 10], [5, 6, 15, 4], [9, 8, 7, 11], [12, 16, 19], [22, 14, 17, 18, 20, 21, 23, 24]]
48: [[1, 2], [13, 3, 5, 4, 10], [6, 15], [9, 8, 7, 19], [11, 12, 16, 22, 14, 17, 18, 20, 21, 23, 24]]
49: [[4, 19, 10], [1], [2, 13, 3, 5, 6, 15, 9, 8, 7, 11, 12, 16, 22, 14, 17, 18, 20, 21, 23, 24]]
