0: [[22, 2, 10], [4, 14, 6, 5], [15, 8, 13], [11, 7], [12, 16, 18, 20, 3], [17, 19, 1, 9], [21, 23, 24]]
29: [[22, 2], [1, 4, 5, 14, 6, 10, 3], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19, 9], [21, 23, 24]]
30: [[22, 10, 3], [2], [9, 4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20, 1], [17, 19], [21, 23, 24]]
31: [[22, 2], [1, 4], [5, 14, 6, 10, 3], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19, 9], [21, 23, 24]]
32: [[22, 2], [1, 4], [5, 14, 6, 10, 3], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19, 9], [21, 23, 24]]
33: [[22, 2], [1, 4], [5, 14, 6, 10, 3], [15, 8], [11, 7], [12, 13, 16, 18, 20], [17, 19, 9], [21, 23, 24]]
34: [[22, 10, 2, 3], [9, 1], [4, 5, 14], [6, 15], [8, 11], [7, 12, 13, 16, 18, 20], [17, 19], [21, 23, 24]]
35: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20, 17], [19, 21], [23, 24]]
36: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18, 20, 17], [19, 21], [23, 24]]
37: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6, 15], [8, 11], [7, 12], [13, 16, 18, 20], [17, 19], [21, 23, 24]]
38: [[22, 2], [1, 4, 5, 14, 10], [6, 15, 3], [8, 11], [7, 12, 13, 16, 18, 20], [17, 19, 9], [21, 23, 24]]
39: [[22, 2], [1, 4, 5, 14, 10], [6, 15, 3], [8, 11], [7, 12, 13, 16, 18, 20], [17, 19, 9], [21, 23, 24]]
40: [[22, 2], [1, 4, 5, 14, 10], [6, 15, 3], [8, 11], [7, 12, 13, 16, 18, 20], [17, 19, 9], [21, 23, 24]]
41: [[22, 2], [1, 4, 5, 14, 10], [6, 15, 3], [8, 11], [7, 12, 13, 16, 18, 20], [17, 19, 9], [21, 23, 24]]
42: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6, 15], [8, 11], [7, 12], [13, 16, 18, 20], [17, 19], [21, 23, 24]]
43: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6], [15, 8], [11, 7], [12, 13, 16, 18], [20, 17], [19, 21, 23, 24]]
44: [[22, 2], [1, 4, 5, 14, 6, 15, 10], [8, 11], [7, 12], [13, 16, 18, 20, 3], [17, 19, 9], [21, 23, 24]]
45: [[22, 10, 2, 3], [9, 1], [4, 5, 14, 6, 15], [8, 11], [7, 12], [13, 16, 18, 20, 17], [19, 21], [23, 24]]
46: [[22, 2], [1, 4], [5, 14, 10], [6, 15, 3], [8, 11, 9], [7, 12, 13, 16, 18, 20, 17], [19, 21], [23, 24]]
47: [[22, 2], [1, 4], [5, 14, 10], [6, 15, 3], [8, 11, 9], [7, 12, 13, 16, 18, 20, 17], [19, 21], [23, 24]]
48: [[22, 2], [1, 4], [5, 14, 6, 15, 10], [8, 11, 9], [7, 12], [13, 16, 18, 20, 17, 3], [19, 21], [23, 24]]
49: [[22, 2], [1, 4], [5, 14, 6, 15, 10], [8, 11, 9], [7, 12], [13, 16, 18, 20, 17, 3], [19, 21], [23, 24]]
