0: [[43], [35, 22, 46, 2, 6], [36, 50], [9], [23, 52, 4, 24, 45, 12], [27, 11], [33, 59, 34], [49, 37, 25, 54, 29], [5], [57, 20, 56, 19, 26, 31, 47], [14, 13, 21], [15, 16, 10, 18], [1, 28], [38, 44], [32, 17], [39, 40], [41, 8], [7, 42], [48], [3, 58, 30, 51], [53], [55], [60]]
11: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 13, 10, 9, 31, 23, 17, 24, 25, 21, 22, 15], [28, 16, 29, 18, 26, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
12: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 15, 8, 9, 10, 6, 13, 17, 16, 22, 28, 23, 21, 18], [24, 25, 29, 26, 31, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
13: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 28, 13, 15, 9, 16, 17, 18, 10, 23, 22, 21], [25, 26, 24, 31, 29, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
14: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30, 12], [13, 8, 10, 9, 15, 25, 17, 18, 26, 22, 23, 28, 21, 6], [16, 24, 29, 31, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
15: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 13, 10, 15, 31, 23, 21, 9, 29, 17, 16, 18], [28, 22, 25, 24, 26, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
16: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 13, 10, 15, 31, 23, 21, 9, 29, 17, 16, 18], [28, 22, 25, 24, 26, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
17: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 28, 13, 10, 15, 17, 16, 22, 18, 9, 21, 23, 26], [25, 24, 29, 31, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
18: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 26, 10, 15, 13, 17, 18, 28, 8, 16, 21, 22, 23, 24, 31, 25], [29, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
19: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 8, 26, 10, 15, 16, 18, 13, 25, 21, 23, 17], [22, 24, 29, 28, 31, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
20: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 8, 15, 17, 13, 16, 25, 10, 21, 18, 26, 23], [29, 28, 24, 31, 22, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
21: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 8, 10, 15, 13, 29, 16, 17, 26, 18, 23, 21], [22, 25, 24, 28, 31, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
22: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 8, 10, 15, 13, 29, 16, 17, 26, 18, 23, 21], [22, 25, 24, 28, 31, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
23: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 10, 8, 13, 21, 15, 26, 16, 9, 17, 18, 23, 29], [22, 25, 24, 28, 31, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
24: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 28, 9, 15, 10, 21, 17, 16, 13, 18, 22, 24], [25, 29, 26, 23, 31, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
25: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 10, 13, 15, 9, 16, 18, 24, 21, 23, 17, 22], [25, 26, 28, 29, 31, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
26: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 9, 10, 24, 21, 17, 13, 18, 15, 16, 22, 23], [31, 25, 26, 29, 28, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
27: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 8, 10, 15, 13, 16, 22, 23, 21, 17, 24, 18], [28, 26, 25, 29, 31, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
28: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 10, 13, 15, 9, 21, 16, 24, 22, 23, 17, 18], [26, 29, 28, 25, 31, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
29: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 24, 10, 8, 15, 17, 16, 22, 13, 23, 21, 18], [25, 29, 28, 31, 26, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
30: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 9, 10, 21, 15, 16, 18, 13, 24, 17, 22, 23], [25, 31, 29, 26, 28, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
31: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 8, 24, 10, 15, 13, 16, 18, 22, 17, 23, 21], [31, 25, 28, 26, 29, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
32: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 8, 10, 13, 15, 17, 24, 16, 18, 21, 23, 22], [25, 31, 28, 26, 29, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
33: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 10, 8, 21, 17, 13, 24, 22, 15, 16, 18, 23], [25, 29, 28, 26, 31, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
34: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 9, 26, 13, 25, 10, 15, 22, 17, 21, 18, 28], [23, 16, 24, 29, 31, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
35: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 15, 8, 9, 10, 29, 25, 6, 17, 13, 16, 21, 18, 23], [22, 24, 26, 31, 28, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
36: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 8, 10, 13, 15, 17, 29, 18, 21, 23, 16, 25], [24, 22, 26, 28, 31, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
37: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 9, 10, 18, 31, 13, 15, 28, 16, 17, 21, 22], [23, 26, 29, 24, 25, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
38: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 13, 8, 9, 25, 15, 21, 16, 10, 24, 22, 23, 31], [17, 29, 18, 26, 28, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
39: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 13, 10, 15, 31, 16, 22, 8, 17, 18, 21, 23], [28, 24, 25, 26, 29, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
40: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 8, 10, 25, 15, 13, 24, 18, 21, 23, 17, 22], [26, 28, 16, 31, 29, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
41: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 25, 10, 8, 15, 17, 18, 22, 13, 23, 21, 24], [26, 16, 28, 29, 31, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
42: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 25, 10, 8, 15, 17, 18, 22, 13, 23, 21, 24], [26, 16, 28, 29, 31, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
43: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 25, 10, 8, 15, 17, 18, 22, 13, 23, 21, 24], [26, 16, 28, 29, 31, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
44: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 13, 10, 29, 9, 21, 16, 15, 18, 17, 26, 28, 23, 22, 31, 24], [25, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
45: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 8, 10, 21, 13, 15, 16, 31, 24, 18, 22, 17], [25, 23, 28, 26, 29, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
46: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 10, 8, 15, 31, 9, 17, 16, 18, 13, 21, 22, 24], [23, 25, 26, 28, 29, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
47: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 15, 8, 9, 10, 17, 26, 13, 21, 18, 23, 22, 16], [29, 24, 31, 25, 28, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
48: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 8, 31, 15, 13, 10, 17, 21, 26, 16, 22, 25], [18, 23, 28, 24, 29, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
49: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 13, 9, 24, 21, 17, 26, 18, 16, 10, 15, 22], [25, 31, 23, 29, 28, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
50: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 24, 13, 15, 21, 10, 8, 17, 16, 18, 22, 26], [28, 31, 23, 25, 29, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
51: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 9, 10, 13, 17, 15, 22, 16, 25, 21, 18, 23, 28, 29, 31], [26, 24, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
52: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 15, 8, 9, 10, 25, 26, 23, 13, 18, 21, 22, 16], [29, 17, 31, 24, 28, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
53: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 10, 13, 15, 9, 16, 17, 18, 21, 23, 22, 25], [24, 26, 28, 31, 29, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
54: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 9, 13, 10, 15, 21, 16, 25, 18, 17, 22, 23], [26, 28, 24, 29, 31, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
55: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 10, 8, 13, 18, 9, 15, 17, 16, 21, 23, 22, 25], [28, 26, 24, 31, 29, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
56: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 9, 10, 15, 13, 21, 16, 22, 17, 18, 23, 25], [28, 31, 24, 26, 29, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
57: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 9, 10, 13, 25, 29, 23, 31, 28, 18, 15, 17, 16, 21, 22, 24], [26, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
58: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 8, 10, 25, 15, 17, 22, 16, 26, 13, 21, 23], [18, 31, 24, 28, 29, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
59: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 9, 13, 24, 15, 21, 26, 18, 16, 10, 25, 22], [17, 28, 23, 29, 31, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
60: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 21, 13, 16, 9, 25, 15, 17, 10, 22, 18, 24], [23, 31, 28, 29, 26, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
61: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 8, 10, 16, 15, 29, 13, 23, 22, 17, 21, 18], [28, 24, 25, 26, 31, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
62: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 13, 9, 15, 29, 16, 17, 10, 21, 22, 23, 18], [28, 26, 25, 24, 31, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
63: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 10, 6, 8, 9, 13, 15, 17, 18, 21, 29, 16, 22, 23], [28, 24, 25, 31, 26, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
64: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30, 12, 8, 9], [13, 6, 17, 25, 26, 10, 18, 15, 23, 16, 21, 22, 24, 31, 28], [29, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
65: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 15, 8, 10, 9, 13, 16, 21, 26, 22, 23, 24, 18, 17, 25, 29, 28], [31, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
66: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 13, 10, 29, 9, 24, 21, 28, 16, 15, 22, 18, 23, 26, 17, 25], [31, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
67: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 24, 10, 13, 8, 17, 18, 28, 15, 16, 22, 21, 23, 25, 29, 26], [31, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
68: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 9, 13, 15, 25, 26, 16, 18, 10, 21, 17, 23, 22, 24, 28, 29], [31, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
69: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 8, 9, 10, 15, 29, 13, 17, 21, 22, 16, 18, 31], [28, 23, 24, 25, 26, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
70: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 10, 8, 15, 13, 17, 18, 26, 22, 25, 21, 16], [23, 24, 31, 28, 29, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
71: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30], [12, 6, 9, 8, 29, 10, 13, 15, 17, 18, 26, 16, 22, 21], [23, 25, 24, 28, 31, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
72: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30, 12, 6, 9, 24], [8, 31, 13, 16, 15, 10, 17, 23, 18, 21, 25, 22, 26, 28], [29, 32, 34, 38, 45, 37, 36, 39, 42, 43, 41, 40, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
73: [[35, 33, 20, 2, 7, 14, 1, 11, 19, 27, 4, 3, 5, 30, 12, 6, 8], [13, 10, 15, 31, 16, 25, 9, 24, 17, 18, 22, 28, 21, 23], [29, 26, 32, 34, 38, 45, 37, 36, 39, 40, 43, 41, 42, 44, 46], [47, 51, 53, 49, 52, 50, 48, 54, 55, 57, 56, 58, 59, 60]]
