0: [[35, 1, 20, 14, 2, 7, 3, 27], [5, 12, 4, 38, 9, 15, 16, 8, 11, 18, 10], [25, 17, 13, 26, 19, 21, 6], [22, 23, 24, 28, 31, 30, 40], [43, 29, 34, 37, 32, 33, 36, 41, 39, 42], [47, 46, 45, 44, 56, 48, 50], [51, 54], [49, 55, 57, 52, 53, 58, 59, 60]]
52: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 6, 9, 8, 12, 15, 13, 23, 29, 10, 21, 19, 16, 18, 24, 17, 22, 25, 26, 30, 31, 55, 37, 46, 33, 36, 38], [53, 41, 45, 28, 34, 32, 40, 39], [42, 43, 59, 54, 44, 47, 60, 51, 48, 49, 50, 52, 56, 57, 58]]
53: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 15, 4, 38, 9, 6, 24, 10, 12, 18, 16, 8, 17, 21, 26, 19, 23, 3, 22, 25, 29, 28, 31, 30, 44, 42, 13, 36, 37], [53, 41, 45, 32, 34, 33, 43, 39], [46, 40, 56, 48, 58, 47, 60, 51, 50, 49, 54, 52, 55, 59, 57]]
54: [[35, 1, 20, 14, 2, 7, 3, 27], [5, 4, 12, 8, 6, 9, 11, 13, 31, 19, 17, 23, 21, 18, 28, 15, 25, 16, 10, 22, 30, 29, 24, 39, 52, 32, 33, 36, 38], [34, 41, 26, 37, 42, 45, 44, 43], [59, 46, 47, 40, 54, 56, 49, 51, 53, 55, 50, 48, 60, 57, 58]]
55: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 12, 9, 4, 8, 15, 24, 18, 19, 13, 31, 17, 23, 22, 28, 16, 25, 29, 26, 30, 40, 32, 54, 36, 42, 10, 21, 6], [39, 41, 47, 38, 43, 34, 44, 33], [46, 45, 57, 48, 51, 37, 49, 56, 53, 50, 52, 59, 55, 58, 60]]
56: [[35, 1, 20, 14, 2, 7, 3, 27], [5, 6, 13, 46, 4, 25, 8, 11], [10, 23, 24, 12, 9, 29, 15, 19, 22, 16, 17, 18, 26, 21, 28, 31, 40, 34, 53, 58, 33, 30, 36, 32, 37, 41, 39, 38, 42], [47, 45, 43, 59, 44, 57, 49, 48, 52, 51, 50, 54, 55, 56, 60]]
57: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 6, 9, 10, 13, 12, 8, 21, 15, 16, 19, 28, 24, 18, 23, 22, 25, 29, 17, 30, 26, 31, 40, 37, 49, 42], [39, 38, 36, 32, 33, 45, 41, 44, 46], [47, 50, 34, 57, 55, 48, 43, 58, 53, 51, 59, 56, 52, 60, 54]]
58: [[35, 1, 20, 14, 2, 7, 3, 27], [5, 9, 6, 46, 8, 11, 26, 4, 15, 12, 16, 10, 21, 13, 25, 31, 17, 19, 22, 18, 29, 23, 30, 24, 28, 34, 32, 36, 38], [37, 39, 33, 40, 41, 58, 42, 43], [47, 44, 50, 48, 59, 52, 45, 49, 53, 51, 54, 55, 57, 60, 56]]
59: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 12, 4, 6, 8, 24, 31, 9, 17, 15, 28, 16, 10, 23, 13, 18, 19, 21, 29, 60, 22, 25, 41, 36, 42, 26, 30, 38], [32, 33, 37, 43, 34, 39, 46, 45], [40, 51, 49, 53, 54, 48, 47, 44, 52, 50, 55, 57, 56, 58, 59]]
60: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 6, 9, 8, 12, 13], [15, 29, 18, 19, 25, 21, 22, 24, 30, 23, 26, 17, 31, 32, 10, 38, 28, 16, 52, 34, 54, 48, 33, 36, 37, 42, 45, 39, 40], [41, 43, 58, 47, 51, 49, 44, 46, 50, 53, 55, 56, 59, 57, 60]]
61: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 12, 46, 9, 4, 6, 8, 10, 26, 16, 17, 31, 15, 19, 22, 18, 23, 21, 25, 24, 28, 52, 29, 60, 37, 13, 30, 36], [40, 44, 34, 38, 33, 39, 41, 43], [47, 32, 42, 51, 50, 56, 45, 59, 53, 48, 49, 54, 55, 57, 58]]
62: [[35, 1, 20, 14, 2, 7, 3, 27], [5, 6, 4, 13, 10, 9, 8, 12], [15, 16, 29, 11, 17, 18, 23, 19, 22, 24, 28, 30, 25, 21, 26, 31, 32, 58, 34, 33, 40, 37, 36, 38, 44, 42, 41, 43, 39], [45, 47, 60, 54, 46, 55, 48, 49, 50, 59, 53, 52, 56, 51, 57]]
63: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 12, 13, 4, 9, 8, 10, 15, 31, 16, 24, 17, 19, 21, 18, 22, 51, 23, 58, 25, 57, 26, 30, 29, 38, 43, 28, 6], [33, 32, 37, 34, 52, 39, 36, 40], [42, 44, 45, 41, 46, 48, 47, 56, 54, 55, 49, 59, 50, 53, 60]]
64: [[35, 1, 20, 14, 2, 7, 3, 27], [5, 8, 4, 13, 6, 9, 10, 31, 11, 12, 28, 25, 16, 19, 15, 17, 22, 56, 21, 18, 23, 59, 24, 30, 48, 46, 34, 32, 38], [42, 26, 36, 37, 44, 45, 47, 41], [29, 33, 39, 40, 43, 49, 51, 52, 53, 54, 50, 55, 57, 58, 60]]
65: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 12, 6, 4, 3, 8, 13, 10, 9, 18, 19, 29, 17, 21, 23, 15, 16, 26, 22, 25, 24, 60, 28, 31, 40, 47, 30, 32, 33], [34, 36, 38, 45, 39, 42, 41, 43], [44, 37, 46, 50, 51, 55, 54, 49, 48, 59, 53, 52, 56, 58, 57]]
66: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 6, 4, 10, 8, 16, 13, 9, 25, 12, 17, 15, 26, 23, 19, 18, 22, 21, 28, 60, 29, 24, 57, 38, 34, 46, 30, 31], [32, 33, 37, 41, 36, 39, 40, 45], [42, 43, 59, 53, 44, 50, 47, 48, 52, 49, 51, 54, 55, 58, 56]]
67: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 8, 6, 30, 28, 9], [13, 26, 10, 12, 16, 17, 18, 19, 23, 21, 22, 24, 25, 42, 50, 15, 34, 33, 45, 37, 29, 31, 54, 32, 36, 38, 43, 47, 44], [39, 41, 60, 40, 49, 55, 52, 46, 48, 53, 59, 56, 57, 51, 58]]
68: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 12, 9, 4, 8, 15, 24, 19, 25, 13, 23, 18, 17, 16, 26, 22, 28, 31, 29, 49, 44, 40, 33, 36, 30, 10, 21, 6], [38, 43, 45, 34, 37, 32, 39, 42], [47, 41, 46, 48, 58, 50, 56, 51, 52, 54, 55, 57, 53, 59, 60]]
69: [[35, 1, 20, 14, 2, 7, 3, 27], [5, 6, 4, 47, 11, 10, 9, 15, 13, 31, 25, 16, 23, 17, 18, 24, 19, 22, 12, 30, 26, 28, 21, 29, 46, 55, 8, 32, 39], [38, 53, 41, 34, 43, 42, 36, 33], [37, 45, 40, 44, 60, 49, 51, 48, 50, 52, 54, 58, 57, 56, 59]]
70: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 12, 38, 4, 10, 16, 6, 13, 30, 8, 9, 29, 15, 17, 18, 22, 26, 19, 21, 25, 24, 23, 28, 56, 49, 31, 32, 34], [55, 36, 37, 33, 39, 41, 40, 43], [42, 44, 45, 46, 50, 47, 48, 51, 52, 54, 60, 59, 53, 58, 57]]
71: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 12, 8, 4, 10, 30, 6, 15, 13, 17, 29, 16, 25, 23, 18, 19, 57, 21, 56, 22, 28, 39, 26, 24, 9, 33, 36, 38], [31, 37, 45, 32, 41, 42, 44, 40], [43, 46, 59, 47, 34, 54, 48, 49, 53, 50, 60, 51, 52, 58, 55]]
72: [[35, 1, 20, 14, 2, 7, 3, 27], [5, 6, 4, 12, 9, 10, 21, 25, 8, 22, 18, 11, 28, 15, 16, 17, 26, 19, 23, 24, 49, 29, 30, 31, 38, 32, 42, 13, 47], [37, 44, 34, 39, 33, 36, 40, 45], [43, 46, 41, 48, 51, 58, 55, 50, 53, 54, 56, 52, 59, 57, 60]]
73: [[35, 1, 20, 14, 2, 7, 11, 27], [5, 3, 4, 6, 8, 9, 13, 10, 12, 31, 21, 15, 16, 18, 19, 17, 26, 22, 23, 24, 28, 30, 25, 29, 44, 33, 46, 48, 34], [39, 43, 38, 45, 32, 47, 42, 36], [41, 49, 37, 59, 40, 55, 50, 53, 52, 51, 54, 60, 58, 57, 56]]
