0: [[2, 1], [6, 3, 4, 5, 9], [7, 11], [10, 14], [8, 15], [12, 13, 20, 19], [18, 17, 16, 22], [21, 23, 24]]
28: [[2], [5, 9, 7, 6], [11, 10], [14, 8], [15, 12], [13, 20, 1], [19, 18], [17, 16, 3], [22, 21, 4], [23, 24]]
29: [[2, 1], [6, 3], [4, 5], [9, 7], [11, 10, 14], [8, 15], [12, 13], [20, 19, 18], [17, 16], [22, 21], [23, 24]]
30: [[2], [4, 5, 9, 6, 3], [7, 11], [10, 14], [8, 15, 12], [13, 20, 19, 1], [18, 17, 16, 22, 21, 23, 24]]
31: [[2], [4, 5], [9, 7], [11, 10], [14, 8, 15, 12], [13, 20, 19, 18, 1], [17, 16, 6, 3], [22, 21], [23, 24]]
32: [[2], [5], [9, 7], [11, 10, 14, 8], [15, 12, 6], [13, 20, 1], [19, 18], [17, 16, 3], [22, 21, 4], [23, 24]]
33: [[2, 1], [6, 3], [4, 5], [9, 7], [11, 10], [14, 8, 15], [12, 13, 20], [19, 18], [17, 16], [22, 21], [23, 24]]
34: [[2], [5], [9, 7], [11, 10, 6], [14, 8], [15, 12], [13, 20, 1], [19, 18, 17], [16, 22, 21, 3, 4], [23, 24]]
35: [[2], [4, 5], [9, 7], [11, 10], [14, 8], [15, 12, 13, 6], [20, 19, 18, 1], [17, 16, 22, 21, 3], [23, 24]]
36: [[2, 1], [6, 3], [4, 5], [9, 7, 11], [10, 14, 8, 15], [12, 13, 20, 19], [18, 17, 16, 22, 21, 23, 24]]
37: [[2, 1], [6, 3], [4, 5], [9, 7], [11, 10], [14, 8], [15, 12, 13, 20], [19, 18], [17, 16], [22, 21], [23, 24]]
38: [[2, 1], [4, 5, 3], [9, 7, 6], [11, 10, 14, 8], [15, 12, 13, 20], [19, 18, 17], [16, 22, 21, 23, 24]]
39: [[2, 1], [4, 5, 6, 3], [9, 7, 11], [10, 14, 8], [15, 12, 13, 20, 19, 18, 17, 16, 22, 21, 23, 24]]
40: [[2, 1], [6, 3], [4, 5], [9, 7], [11, 10, 14], [8, 15], [12, 13], [20, 19, 18, 17, 16, 22, 21, 23, 24]]
41: [[2, 1], [4, 5, 6, 3], [9, 7, 11, 10], [14, 8], [15, 12, 13, 20, 19, 18, 17, 16, 22, 21, 23, 24]]
42: [[2, 1], [6, 3], [4, 5], [9, 7], [11, 10, 14], [8, 15, 12, 13, 20, 19, 18, 17, 16, 22, 21, 23, 24]]
43: [[2, 1, 6, 3], [4], [5, 9], [7, 11], [10, 14, 8], [15, 12, 13, 20, 19, 18, 17, 16, 22, 21, 23, 24]]
44: [[2, 1], [6, 3], [4, 5, 9], [7, 11, 10, 14, 8, 15, 12, 13, 20, 19, 18, 17, 16, 22, 21, 23, 24]]
45: [[2], [4, 5, 9, 7, 6], [11, 10, 3], [14, 8], [15, 12], [13, 20, 19, 1], [18, 17, 16, 22, 21, 23, 24]]
46: [[2, 1], [6, 3, 4, 5], [9, 7], [11, 10], [14, 8], [15, 12, 13, 20], [19, 18, 17, 16, 22, 21, 23, 24]]
47: [[2, 1], [6, 3, 4], [5, 9, 7, 11, 10, 14, 8, 15, 12, 13, 20, 19, 18, 17, 16, 22, 21, 23, 24]]
48: [[2, 1], [6, 3, 4], [5, 9], [7, 11, 10], [14, 8], [15, 12, 13], [20, 19, 18], [17, 16, 22, 21, 23, 24]]
49: [[2, 1], [6, 3], [4, 5, 9, 7, 11, 10, 14, 8, 15, 12, 13, 20, 19, 18, 17, 16, 22, 21, 23, 24]]
