0: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 22, 23], [21, 26, 27], [20, 25, 24, 28, 29]]
24: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
25: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 22, 23], [21, 26, 27], [20, 25, 24, 28, 29]]
26: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 14, 10, 19, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
27: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 22, 23], [21, 26, 27], [20, 25, 24, 28, 29]]
28: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 22, 23], [21, 26, 27], [20, 25, 24, 28, 29]]
29: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 14, 10, 16, 19, 22, 23], [21, 26, 27], [20, 25, 24, 28, 29]]
30: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 14, 10, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
31: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 14, 10, 16, 19, 22, 23], [21, 26, 27], [20, 25, 24, 28, 29]]
32: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 16, 23, 19, 10, 22, 14], [21, 26, 27], [20, 25, 24, 28, 29]]
33: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 16, 23, 19, 10, 22, 14], [21, 26, 27], [20, 25, 24, 28, 29]]
34: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 16, 10, 19, 23, 22, 14], [21, 26, 27], [20, 25, 24, 28, 29]]
35: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 19, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
36: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 14, 10, 16, 19, 22, 23], [21, 26, 27], [20, 25, 24, 28, 29]]
37: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 14, 10, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
38: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
39: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
40: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
41: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
42: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
43: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
44: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 14, 10, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
45: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
46: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
47: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 23, 22, 19], [21, 26, 27], [20, 25, 24, 28, 29]]
48: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 23, 19, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
49: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 14, 10, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
50: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 16, 23, 19, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
51: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 14, 10, 16, 19, 23, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
52: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 16, 19, 23, 10, 22, 14], [21, 26, 27], [20, 25, 24, 28, 29]]
53: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 14, 10, 16, 23, 22, 19], [21, 26, 27], [20, 25, 24, 28, 29]]
54: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 14, 10, 16, 23, 19, 22], [21, 26, 27], [20, 25, 24, 28, 29]]
55: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 24, 19, 23, 16, 10, 14], [21, 26, 27], [20, 25, 28, 29, 22]]
56: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 28, 22, 16, 10, 14, 19], [21, 26, 27], [20, 25, 24, 23, 29]]
57: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 14, 19, 27, 22, 16], [21, 26, 23], [20, 25, 24, 28, 29]]
58: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 26, 10, 20, 14, 22, 16], [21, 19, 27], [23, 25, 24, 28, 29]]
59: [[17, 18, 5, 6, 9, 2], [3, 11, 4, 8, 12], [1, 15, 13], [7, 10, 19, 14, 26, 23, 16], [21, 22, 27], [20, 25, 24, 28, 29]]
