0: [[7, 16, 11, 4], [17, 5, 6, 18, 8, 3, 9, 15], [20, 1, 2, 12, 13], [14, 10, 19], [21, 22, 23, 24]]
30: [[15, 16, 17, 5, 6, 11, 4, 7], [18, 8, 3], [9, 20], [1, 2, 12, 13], [14, 10, 19], [21, 22, 23, 24]]
31: [[15, 16, 17, 5, 6, 18, 8, 11, 4, 7], [3, 9, 20, 1], [2, 12, 13], [14, 10, 19], [21, 22, 23, 24]]
32: [[7, 16, 17, 5, 6, 11, 4], [18, 8, 3, 9, 20, 1, 15], [2, 12, 13, 14], [10, 19], [21, 22, 23, 24]]
33: [[7, 11, 4], [16, 17, 5, 6], [18, 8, 15], [3, 9, 20, 1, 2, 12, 13, 14], [10, 19], [21, 22, 23, 24]]
34: [[7, 11, 4], [16, 17, 5, 6, 18, 15], [8, 3, 9, 20, 1, 2, 12, 13, 14], [10, 19], [21, 22, 23, 24]]
35: [[15, 16, 17, 5, 4], [6, 18, 8, 11, 7], [3, 9], [20, 1, 2, 12], [13, 14, 10, 19], [21, 22, 23, 24]]
36: [[15, 16, 17, 5, 11, 4, 7], [6, 18, 8, 3, 9, 20, 1, 2, 12], [13, 14], [10, 19], [21, 22, 23, 24]]
37: [[15, 11, 4, 7], [16, 17, 5, 6, 18, 8, 3, 9], [20, 1, 2], [12, 13], [14, 10, 19, 21], [22, 23, 24]]
38: [[15, 11, 4, 7], [16, 17, 5, 6, 18, 8, 3, 9], [20, 1, 2], [12, 13], [14, 10], [19, 21, 22, 23, 24]]
39: [[7, 16, 11, 4], [17, 5, 6, 15], [18, 8, 3, 9, 20, 1, 2], [12, 13, 14, 10, 19, 21], [22, 23, 24]]
40: [[7, 16, 11, 4], [17, 5, 6], [18, 8, 3, 15], [9, 20, 1, 2, 12, 13, 14, 10], [19, 21, 22, 23, 24]]
41: [[15, 4], [16], [17, 5, 6, 18, 8, 3, 11, 7], [9, 20, 1, 2, 12, 13], [14, 10, 19, 21], [22, 23, 24]]
42: [[7, 16, 17, 11, 4], [5, 6, 18, 8, 3, 9, 15], [20, 1, 2, 12, 13, 14], [10, 19, 21], [22, 23, 24]]
43: [[11, 4, 15], [7, 16], [17, 5, 6, 18, 8, 3, 9], [20, 1, 2, 12, 13], [14, 10], [19, 21, 22, 23, 24]]
44: [[7, 16, 17, 11, 4], [5, 6], [18, 8, 3, 15], [9, 20, 1, 2, 12, 13, 14], [10, 19, 21], [22, 23, 24]]
45: [[7, 16, 17, 11, 4], [5, 6], [18, 8, 15], [3, 9, 20, 1, 2, 12, 13, 14], [10, 19, 21], [22, 23, 24]]
46: [[15, 4], [16, 17, 5, 6, 18, 8, 3, 11], [9, 20, 1, 2, 12], [13, 14, 7], [10, 19, 21], [22, 23, 24]]
47: [[15, 16, 17, 5, 6, 4], [18, 8, 3, 9], [20, 1], [2, 12, 11, 7], [13, 14, 10], [19, 21, 22, 23, 24]]
48: [[7, 16, 17, 5, 6, 18, 11, 4], [8, 3, 15], [9, 20, 1, 2, 12], [13, 14, 10], [19, 21, 22, 23, 24]]
49: [[7, 16, 17, 5, 6, 11, 4], [18, 8, 3, 9, 20, 1], [2, 12, 15], [13, 14, 10], [19, 21, 22, 23, 24]]
