0: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
27: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
28: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
29: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
30: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
31: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
32: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
33: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
34: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
35: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
36: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
37: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
38: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
39: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
40: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
41: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
42: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
43: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
44: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
45: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
46: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
47: [[11, 14], [22, 10], [24, 23], [7, 16], [9, 18], [6, 5], [20, 1, 2], [12, 13, 4], [3, 19, 17], [8, 15, 21]]
