0: [[19, 10, 3, 4, 1, 2], [7, 14], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
25: [[19, 10, 1, 2, 4], [7, 14, 5, 6, 9, 8], [15, 13, 12, 11, 17, 20], [18, 16, 3], [22, 21, 23, 24]]
26: [[3, 4, 19, 10], [1, 2], [7, 14, 5, 6, 9, 8, 15], [13, 12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
27: [[3, 4, 1, 2, 7, 14, 19, 10], [5, 6, 9, 8, 15, 13, 12], [11, 17, 20, 18, 16, 22], [21, 23, 24]]
28: [[3, 4, 1, 2, 7, 14, 19, 10], [5, 6, 9, 8, 15, 13, 12], [11, 17, 20, 18, 16, 22], [21, 23, 24]]
29: [[3, 4, 1, 2, 7, 14, 19, 10], [5, 6, 9, 8, 15], [13, 12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
30: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15], [13, 12, 11, 17, 20, 18, 16], [22, 21, 23, 24]]
31: [[3, 4, 1, 2, 7, 14, 19, 10], [5, 6, 9, 8, 15], [13, 12], [11, 17, 20, 18, 16, 22], [21, 23, 24]]
32: [[3, 4, 1, 2, 7, 14, 19, 10], [5, 6, 9, 8, 15], [13, 12], [11, 17, 20, 18, 16, 22], [21, 23, 24]]
33: [[3, 4, 1, 2, 7, 19, 10], [14, 5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
34: [[3, 4, 1, 2, 7, 19, 10], [14, 5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
35: [[3, 4, 1, 2, 7, 19, 10], [14, 5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
36: [[19, 10, 1, 4], [2, 7, 14, 5, 6, 9], [8, 15, 13, 12, 11, 17, 20], [18, 16, 3], [22, 21, 23, 24]]
37: [[3, 4, 1, 2, 7, 14, 19, 10], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16], [22, 21, 23, 24]]
38: [[19, 10, 3, 2, 4, 1], [7, 14, 5, 6, 9, 8], [15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
39: [[19, 3, 4, 10, 1], [2, 7], [14, 5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
40: [[19, 10, 1, 2, 3, 4], [7, 14, 5, 6, 9, 8, 15], [13, 12, 11, 17, 20, 18], [16, 22], [21, 23, 24]]
41: [[3, 4, 1, 2, 7, 19, 10], [14, 5, 6, 9, 8, 15], [13, 12], [11, 17, 20, 18, 16, 22], [21, 23, 24]]
42: [[3, 4, 1, 2, 7, 19, 10], [14, 5, 6, 9, 8, 15], [13, 12], [11, 17, 20, 18, 16, 22], [21, 23, 24]]
43: [[3, 4, 1, 2, 7, 19, 10], [14, 5, 6, 9, 8, 15], [13, 12], [11, 17, 20, 18, 16, 22], [21, 23, 24]]
44: [[19, 3, 4, 10], [2, 7], [14, 5, 6, 9, 8, 15], [13, 12, 11, 17, 20, 18, 16, 22, 1], [21, 23, 24]]
45: [[3, 4, 1, 2, 7, 19, 10], [14, 5, 6, 9, 8, 15, 13], [12, 11], [17, 20, 18, 16, 22], [21, 23, 24]]
46: [[3, 4, 1, 2, 7, 19, 10], [14, 5, 6, 9, 8, 15, 13], [12, 11], [17, 20, 18, 16, 22], [21, 23, 24]]
47: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22, 21], [23, 24]]
48: [[19, 4, 1, 2, 7, 14, 10], [5, 6], [9, 8, 15, 13, 12, 11], [17, 20, 18, 16, 22, 21, 3], [23, 24]]
49: [[19, 3, 1, 2, 7, 10, 4], [14, 5], [6, 9, 8, 15, 13, 12], [11, 17, 20, 18, 16, 22, 21], [23, 24]]
