0: [[37, 7], [4, 3], [9, 8, 39, 10], [1, 2, 6, 29, 11, 24, 28, 12, 22], [18], [5, 15, 14], [21, 17, 16], [20, 19, 26, 30, 25, 50, 59, 44, 61], [33], [27, 31, 42, 47, 38], [34, 32, 36, 55, 43, 13, 23], [41, 35, 40], [56, 45, 58, 46, 51, 49, 54, 48], [53, 52, 57, 60, 63, 62, 66, 67, 64, 65, 68], [69, 73, 70, 76, 71, 74, 77, 72, 75], [79, 78, 83, 82], [84, 86, 85, 80, 81, 87, 88]]
11: [[37, 7], [4, 3], [9, 8], [33, 2], [5, 22, 12], [1, 26, 31, 10, 13, 6], [11, 28, 21, 24, 17, 19, 14, 16, 51, 18, 20, 15, 25, 23], [27, 29, 49, 35, 42, 38, 53, 57, 30, 36], [44, 34], [45, 41, 39, 63, 40, 43, 46, 47, 32, 48], [50, 56, 52, 55, 58, 60, 54, 61, 59, 62, 66], [64, 68, 69, 70, 67, 77, 73, 76], [75, 72, 65, 71, 78, 74, 86, 80, 82, 79, 87, 81, 83, 84, 85, 88]]
12: [[37, 7], [4, 3], [9, 8], [5, 1, 2, 22, 12, 10], [14, 27, 6, 11, 21, 15, 13, 17, 16, 23, 24, 30, 18, 19], [20, 26, 31, 54, 55, 25, 28, 29, 33, 42], [48, 58], [34, 61, 38, 32, 35, 47, 36, 39, 59], [40, 43, 44], [45, 57, 41, 46, 49, 50, 51, 56, 52, 53, 62, 63, 60, 64, 81, 72, 71, 65, 66, 77, 73, 76, 67], [68, 69, 70, 74, 75, 84, 78, 82, 86, 85, 79, 80, 83, 87, 88]]
13: [[37, 7], [4, 3], [9, 8], [33, 2], [5, 1], [28, 26], [13, 24], [22, 12, 6, 25, 10, 18, 14, 11, 21, 19, 17, 23, 31, 15, 16, 20, 62], [50, 32, 27, 36, 35, 46, 29, 30, 51, 44, 39, 34, 40, 43, 42, 56], [41, 60], [38, 47, 48, 45, 53, 52, 55, 49, 54, 58, 61, 57, 63, 59], [66, 64, 70, 69, 71, 72, 73, 76, 78, 65, 75, 68, 74, 77, 80, 81, 67, 84, 85, 82, 79, 83, 87, 86, 88]]
14: [[37, 7], [4, 3], [9, 8, 5, 10, 1, 2, 6, 27, 11, 13, 12, 28, 42, 14, 15, 17, 22, 19, 26, 20, 21, 56, 16, 25, 31, 18, 63, 44, 30, 53, 23, 39, 24, 29, 52, 38, 57, 58], [35, 34], [59, 40], [46, 32, 51, 45], [43, 33, 41, 36, 62, 50, 47, 48, 49, 55, 54, 60, 61, 64, 65, 69, 66, 71, 70, 73, 77, 68, 76, 72, 74, 78, 79, 75, 67, 84, 81, 80, 82, 83, 85, 86, 87, 88]]
15: [[37, 7], [4, 3], [9, 8, 39, 2], [6, 18, 10, 26, 1, 5, 12, 29, 11, 14, 13, 19, 17, 16, 25, 15, 20, 21, 63, 31, 22, 61, 62, 33, 57, 52, 23, 58, 24, 27, 44, 32, 35, 40, 42, 47, 34, 28, 30, 36, 38, 45, 46, 41, 53, 43, 50, 55, 49, 48, 56, 60, 54, 59, 51, 80, 67, 65, 68, 69, 64, 70, 75, 66, 72], [74, 77, 73, 71, 76, 85, 78, 79, 81, 83, 82, 86, 87, 84, 88]]
16: [[37, 7], [4, 3], [9, 10], [1, 2], [6, 5, 13, 14, 8, 27, 15, 12, 22, 23, 29, 17], [11, 16], [20, 18], [21, 31], [19, 24, 25, 55, 56, 26], [28, 48, 41, 46, 30, 34, 32, 60, 35, 33], [36, 45, 38, 44, 39, 40, 59, 43, 42, 53, 52, 47, 50, 49], [51, 54, 58, 57, 63, 61, 62, 66, 64, 76, 73, 70, 67, 65, 69, 71, 72, 68, 74], [75, 77, 78, 87, 81, 86, 80, 79, 82, 83, 84], [85, 88]]
17: [[37, 7], [4, 3], [9, 8, 33, 10, 1, 2, 6, 15, 11, 13, 12, 29, 17, 18, 22, 21, 14, 19, 26, 20, 23, 48, 24, 59, 27, 16, 63, 5, 30, 55, 31, 36, 25, 28, 60, 34, 61, 58], [35, 40], [38, 43], [46, 32, 44, 39], [42, 45, 41, 47, 52, 49, 50, 51, 53, 62, 56, 57, 54, 66, 64, 69, 65, 71, 70, 73, 77, 68, 75, 72, 67, 78, 79, 74, 83, 84, 81], [80, 82, 76, 85, 87, 86, 88]]
18: [[37, 7], [4, 3], [9, 8, 5, 1, 2, 6, 10, 30, 12, 29, 13, 21, 14, 11, 16, 15, 19, 18, 17, 20, 23, 22, 24, 25], [59, 26, 27, 31, 41, 34, 58, 44, 56], [32, 49, 50, 33, 28, 36, 35, 47, 42, 38, 39, 40, 55, 61, 54, 51], [46, 57, 43, 45, 48, 52, 53, 60, 63], [62, 66], [68, 72, 69, 70, 65, 78, 64, 76, 67, 71, 73, 75, 77, 79, 74, 86, 83, 80, 87, 81, 82, 84, 85, 88]]
19: [[37, 7], [4, 3], [9, 8, 5, 2], [12, 15, 17, 26, 13, 23, 1, 10, 20, 6, 25, 11, 28, 16, 14, 19], [27, 21, 59], [52, 18, 60, 31, 22, 63, 58], [24, 35, 53, 42, 38, 36, 33, 29, 30, 43, 32, 39], [41, 56, 40, 44, 45, 47, 48, 46], [49, 34, 50, 51, 61, 54, 57, 55, 73], [64, 65, 70, 68, 69, 75, 66, 62, 71], [78, 76, 67, 74], [79, 77, 72, 86, 80, 81, 82], [83, 84, 87, 85, 88]]
20: [[37, 7], [4, 3], [9, 8, 33, 5, 6, 2, 15, 26, 28, 11, 27, 49, 10, 12, 35, 13, 25, 17, 18, 16, 20, 29, 14, 56, 23, 31, 21, 19], [1, 24], [30, 50, 60, 34, 22, 32, 36, 46], [42, 39], [44, 38, 45, 43, 54, 47], [40, 41, 48, 51, 52, 53, 61, 55, 57, 58, 59, 62, 63, 64, 76, 66, 78, 69, 71, 77, 67, 68, 65, 74, 70, 72, 73, 83], [75, 79, 80, 85, 81, 82, 87, 84], [86, 88]]
21: [[37, 7], [4, 3], [9, 8, 5], [1, 2, 10, 6], [31, 12], [15, 23, 20, 13], [21, 17, 11], [14, 16], [18, 24], [19, 25, 26, 28, 27, 57, 53, 29, 30, 33, 32, 61, 50, 22, 38, 39, 48, 34, 35, 60, 36, 45, 41, 40, 42, 43, 49, 58, 52, 59, 44, 51, 46, 54, 47], [55, 62, 56, 63, 66, 64, 78, 67, 65, 73, 70], [69], [76, 72, 74, 68, 71, 75, 79, 77, 83, 80, 82], [84, 87, 81, 85, 86, 88]]
22: [[37, 7], [4, 3], [9, 8, 1, 2, 10, 13, 6, 14, 5, 11, 12, 20, 15, 21, 27, 17, 16, 18, 62, 23, 31, 19, 52, 22, 49, 60, 58, 40, 29, 28, 30, 25, 24, 33, 38, 36, 26, 35, 32, 44, 43, 41], [34, 39, 42, 46, 47, 50, 45, 53, 48, 51, 55, 56, 59, 61, 54, 63, 57, 65, 64, 68, 67, 70, 73, 66, 77, 69, 72, 71, 78, 75, 74, 76, 82, 79, 87, 85, 80, 84, 83, 81, 86, 88]]
23: [[37, 7], [4, 3], [9, 8, 1, 5], [11, 6], [14, 28, 12, 22, 29, 25, 15], [10, 17], [13, 23, 16, 31], [20, 19, 21, 18, 24, 49, 26, 27, 2, 34, 56, 30, 35], [54, 39, 63, 47, 40, 43, 36, 32, 38, 41], [44, 33], [45, 57, 52, 42, 48, 59, 60, 46, 55, 50, 51, 53, 58, 61, 62, 66], [69, 64, 65, 70, 71, 73, 67, 77, 68, 76, 74, 79, 78, 75, 72, 80, 83, 81], [85, 82, 84, 86, 87, 88]]
24: [[37, 7], [4, 3, 9, 8, 33, 2, 1, 5, 6, 14, 30], [24, 11, 56, 23, 19, 12, 10, 16, 18, 20, 13, 28, 17, 21, 62, 15, 22, 53, 25, 27, 58, 52, 59, 34], [26, 32, 54, 38], [35, 46, 29, 44, 31, 40, 39, 36], [42, 61, 43, 41, 45, 50, 47, 48, 49, 55, 51, 57, 60, 63], [66, 65, 64, 78, 71, 67], [77, 69, 70, 79], [68, 72, 74, 75, 76, 73, 85, 81, 82, 80, 87, 83, 84], [86, 88]]
25: [[37, 7], [4, 3], [9, 8], [5, 1, 2, 6], [14, 11, 12, 13, 10, 42, 17, 15, 20], [19, 26, 24, 16, 25, 31, 48, 29, 23, 21, 27, 18, 28, 30, 60, 36, 59], [22, 38, 39, 34, 50, 35, 41, 63, 33, 32, 56, 40, 45, 44, 47, 49, 52], [53, 54, 46, 51, 57, 55, 43, 58, 62, 61, 66, 65, 70, 67, 69, 68], [75, 74, 73, 71, 72, 64, 78, 76, 79, 81, 86, 77, 85, 82, 83, 80, 84, 87, 88]]
26: [[37, 7, 4], [3, 9, 8], [33, 1], [6, 2, 12, 13, 14, 29, 10], [24, 5, 23], [18, 15], [11, 27, 26, 17, 31, 16, 20, 19, 55, 46, 21, 59], [32, 61, 22, 25, 30, 34, 48, 45, 28, 54, 40, 56, 35, 36, 42, 38], [41, 52, 39, 43, 60, 51, 44, 50, 57, 47, 49, 53, 58, 62, 63, 66, 64, 72, 69, 75, 70, 78, 65], [67, 71, 68, 73], [76, 79, 74, 77, 82, 81, 80, 83, 85, 87, 84, 86, 88]]
27: [[37, 7], [4, 3], [9, 8, 5, 2, 1, 6, 22, 25, 12, 28, 13, 14, 10, 31, 11, 15, 17, 18, 20, 16, 19, 23, 26, 27, 30, 55, 29, 21, 32, 48, 61, 34, 35, 57, 43, 36, 33, 58], [24, 40], [39, 41, 46, 44, 42, 45, 47, 49, 51, 53, 38, 54, 59, 50, 56, 52], [63, 62, 60, 66, 65, 64, 68, 70, 69, 77, 67, 76, 71, 74, 73, 79, 75, 72], [78, 80, 82, 81, 83, 84], [86, 88, 87, 85]]
28: [[37, 7], [4, 3], [9, 10, 1, 5], [2, 6, 14, 27, 8, 24, 12, 15, 22, 11, 44, 19, 13, 16, 18, 30], [21, 20, 17], [23, 25, 26, 59, 28, 49, 57], [42, 32, 33, 29, 31, 34, 35, 39, 45, 38, 41, 36], [46, 40], [51, 47, 50, 48], [54, 52], [53, 58], [62, 61, 43], [63, 56, 55, 60, 65, 66], [68, 75, 64, 69, 73, 70, 72, 74, 71, 76, 78, 79, 77], [67, 86, 81, 82, 83, 80, 84, 87, 85, 88]]
29: [[37, 7], [4, 3], [9, 8], [33, 1], [5, 17, 30, 11, 6, 12], [31, 28, 10, 13, 36, 14], [15, 2, 58, 18, 20, 19, 22, 23, 16, 55, 27, 21, 24, 29, 39, 38, 52, 34, 50], [35, 25, 44, 32, 42, 26, 40, 46, 45, 47, 43, 41, 53, 62, 49, 48, 57, 51, 56, 54, 59, 63, 60, 61, 65, 72, 66, 75, 68, 78, 64, 69, 76], [67, 74, 77, 70, 73, 71, 79, 80, 82, 84, 87, 81, 83, 85, 86, 88]]
30: [[37, 7], [4, 3], [9, 8, 5, 1, 6, 2, 12, 30, 10], [18, 11, 31, 13, 27, 20, 14, 22, 16, 26], [21, 17, 19], [23, 15, 25, 54, 24, 28, 29], [58, 32, 36, 49, 34, 46, 33, 38], [39, 45, 35, 40, 43, 41, 44, 48, 42, 47], [51, 50, 59], [52, 55, 56, 57, 61, 60, 53, 62], [63, 64, 65, 76], [68, 67, 66, 69], [71, 78], [70], [75, 72], [73, 74], [77, 81, 84, 86, 79, 83, 80, 82, 87, 85, 88]]
31: [[37, 7], [4, 3, 9], [8, 5], [2, 16, 22, 12], [10, 1, 31, 6], [24, 46, 11, 14, 29, 13, 17, 19, 30, 18, 51, 15, 26], [23, 20], [55, 40, 21, 61, 35, 25], [48, 50, 62, 27, 38, 59, 33, 28, 32, 41, 34, 36, 43, 49], [39, 57, 44, 42, 56, 63, 45, 47, 52, 53], [54, 58], [60, 66, 65, 64, 68, 69, 71, 77, 67, 76], [78, 72, 73, 70, 74, 75, 79, 80], [85, 83, 84, 81, 82, 86, 87, 88]]
32: [[37, 7], [4, 3], [9, 8, 5, 1, 2, 24, 14, 18, 10, 27, 6, 29, 11, 13, 15, 25, 12, 20, 17, 21, 22, 16, 23, 19, 60, 26, 28, 54, 31, 34, 36, 57, 30, 40, 32, 35, 41, 33, 39, 38, 42, 43], [46, 44, 45, 47, 53, 48, 50, 58, 56, 51, 49, 52, 59, 61, 55, 62, 63, 64, 65, 67, 70, 66, 71, 68, 69, 78, 72, 76, 75, 74, 73, 77, 85, 79, 80, 81, 83, 82, 84, 87, 86, 88]]
33: [[37, 7], [4, 3], [9, 8, 5, 2], [10, 1, 14, 18, 11, 26, 6, 31, 20, 21, 12, 19, 28, 17, 30, 13], [25, 15, 50], [16, 22, 63, 23, 24, 59, 62], [27, 42, 29, 34, 32, 33, 35, 38, 39, 41, 40, 47], [36, 48, 58, 51, 60, 43, 52, 44, 49, 45, 46, 53, 55, 54, 57, 61, 56, 66, 65, 69, 67, 64, 76, 73, 68, 70, 79, 72, 78, 71, 74, 75, 77, 84, 80, 81, 83, 82, 85, 86, 87, 88]]
34: [[37, 7], [4, 3], [9, 8, 33, 1, 2, 5, 15, 6, 10, 29, 27, 28, 12, 11, 13, 25, 20, 14, 16, 23, 24, 18, 26, 57, 17, 19, 30], [21, 22, 45, 34, 54, 62], [35, 32, 53, 31, 38, 42, 40, 36, 43, 46, 41, 39, 52, 44, 47, 55, 59, 48, 51, 56, 50, 58, 63, 49, 61, 60, 64, 81, 65, 75, 66], [68, 71, 67], [76, 69, 78, 70, 74, 73, 72, 77, 79, 80, 85, 87, 82, 86, 83, 84, 88]]
35: [[37, 7], [4, 3], [9, 8], [5, 1], [10, 2, 14, 25, 6, 11, 12, 24, 13, 15, 16, 22, 27, 19, 17, 23, 18, 20, 26, 31, 49, 29, 21, 60, 30, 42, 28, 53, 33, 40, 32, 43], [35, 39, 36, 46, 34, 38, 41, 44, 45, 47, 48, 54, 56, 51, 55, 57, 50, 62, 59, 63, 52, 61, 58, 64, 83, 68, 66, 70, 69, 73, 71, 78, 67, 75, 72, 74, 65, 77, 76, 79, 84, 86, 80, 81, 85, 82, 87, 88]]
36: [[37, 7], [4, 3, 9, 10], [1, 2], [6, 13], [12, 5], [8, 31, 14, 27], [11, 18, 15, 17, 20, 22, 28, 16, 19], [25], [23, 24, 21], [61, 59, 34, 29], [55, 42, 40, 49, 51, 26, 38, 32, 35], [46, 30], [36, 56, 33, 47, 39], [41, 45, 43, 44, 52, 53, 50], [54, 48, 57], [58, 62, 60, 63, 64, 73, 69, 68, 65], [72, 66, 70, 71, 75, 74, 77, 76, 67], [79, 78, 82, 86], [85, 80, 84, 83, 81, 87, 88]]
37: [[37, 7], [4, 3, 9, 8, 5, 2, 6, 1, 11, 29, 22, 12, 13], [14, 32, 63, 15, 28, 18, 17, 16, 21, 59, 23, 58, 20, 24, 55, 27, 19, 51, 25, 50, 30], [45, 48], [36, 26, 42, 31, 35, 34, 33, 43, 39, 40, 41, 47, 44, 56, 38, 46, 53, 49, 52, 54, 57, 61, 62, 60, 66, 64, 65, 70, 77, 67, 68, 69, 76, 72, 71, 75, 78, 73, 74, 79, 81, 82, 83, 80, 87, 84, 86, 85, 88, 10]]
38: [[37, 7], [4, 3], [9, 8, 5, 2, 1, 6, 12, 17, 26, 31, 10, 14, 50, 11, 22, 19, 13, 18, 24, 16, 29, 60, 20, 21, 15, 23, 27, 25, 28, 48, 55, 59, 30, 36, 49, 38, 40, 46, 34, 35, 43, 42, 47, 32, 52, 45], [39, 33, 41, 44, 58, 51, 53, 56, 57, 62, 54, 63, 61, 64, 65, 68, 66, 78, 73, 67, 69, 71, 76, 74, 72, 85, 79, 75, 70, 84, 80, 82, 83, 81, 77, 86, 87, 88]]
39: [[37, 7], [4, 3], [9, 8], [5, 2, 1, 6, 14, 11], [10, 29, 15, 12, 19, 23, 13, 18, 20, 16], [17, 21, 22, 24, 26, 27, 25, 45, 59, 28, 30, 32, 60, 31], [58, 33, 40, 38, 51, 34, 36, 41, 35, 42, 46, 43, 44, 62, 57, 54, 39, 48, 49], [55, 53, 56, 47, 63, 52, 50, 61, 66, 64, 73], [67, 65, 69, 71, 72, 76, 70, 68, 74, 78, 75, 77, 85, 80, 79, 87, 81, 83, 82, 86, 84, 88]]
40: [[37, 7], [4, 3], [9, 8], [1, 5, 6, 2, 15, 24, 11, 19, 25, 12, 27, 22, 10, 20, 13, 18, 14, 16, 53, 21, 26, 17, 23, 28, 61, 29, 30, 41, 49, 35, 31, 36, 34, 39, 58, 33, 42, 46, 38, 44, 43, 45, 32, 47, 54, 40, 51, 50, 60, 52, 48, 55, 56, 57, 59, 62], [63, 64, 75, 69, 65, 66, 67, 68, 70, 74, 72, 71, 78, 73, 79, 77, 76, 83, 82, 80, 81, 84, 86, 87, 85, 88]]
41: [[37, 7], [4, 3], [9, 8], [33, 1, 10, 18, 21, 26, 13, 6, 22, 2, 11, 27, 24, 5, 12, 25, 28, 14, 16, 17, 51, 19, 23, 54, 59, 29, 53, 30, 34, 35, 55, 31, 15, 36], [52, 39, 38, 42, 40, 46, 57], [43, 45, 41], [44, 47, 61, 58, 32, 50, 49, 48], [56, 62, 60, 63, 68, 64, 66, 71, 69], [74, 67, 65, 70, 76, 72, 75, 79, 73], [77, 78, 83, 87, 80, 85, 82, 20, 81, 84, 86, 88]]
42: [[37, 7], [4, 3], [9, 5, 1, 2, 6, 11, 12, 28, 30, 16, 18, 10, 13, 21, 19, 17, 20, 25], [29, 22, 23, 15, 49, 41], [53, 45, 58, 31, 43, 24, 14, 35, 32, 48, 26, 27, 42, 33, 34, 44, 38, 39, 36, 46, 40, 47, 50, 51, 54, 52, 56, 57, 59, 61, 55, 63, 62, 60, 66, 65, 64, 67, 68, 71, 76, 69, 70, 73, 77, 75, 79, 72, 78, 80, 74, 86, 81, 83, 84, 88, 82, 87, 85, 8]]
43: [[37, 7], [4, 3], [9, 8, 5, 2], [1, 6, 12, 28], [15], [14, 10], [22, 27, 13, 16, 19, 18, 20, 21, 23, 17, 50, 54, 25, 49, 29, 26, 30, 31, 42, 24, 33, 38, 32, 45, 43], [35, 34, 39, 46, 11, 36], [40, 44, 47, 51, 41, 56, 61, 48, 57, 55, 53, 58, 59, 60, 52, 62, 63, 64, 67, 68, 69, 78, 65, 73, 71, 66, 75, 70, 77, 79, 74, 76], [72, 80, 86, 82, 81, 83, 87, 84, 85, 88]]
44: [[37, 7], [4, 3], [9, 8], [5, 2, 10, 16, 14, 18, 11, 26, 30, 31, 6, 1, 12, 19, 24, 17, 13, 15, 20, 21, 22, 23, 29, 63, 55, 56, 57, 36, 51, 40, 25, 27, 28, 33, 32], [38, 39, 34, 35, 46, 52, 41], [62, 49, 44], [43, 42, 45, 48, 61, 47, 53, 50, 54, 59, 58, 60, 66, 65, 69, 67, 64, 76, 73, 68, 70, 75, 72, 78, 87, 71, 79, 77, 81, 80, 85, 83, 74, 82, 86, 84, 88]]
45: [[37, 7], [4, 3, 9, 8, 33, 6, 1, 11, 30], [2, 5, 44, 31, 14, 61, 24, 20, 15, 18, 23, 29, 16, 19, 21, 45, 17, 25, 58, 52, 56, 49], [40, 35, 38, 53], [34, 36, 43, 26, 12, 13, 22], [48, 47], [27, 28], [32, 39, 41, 60, 42, 63, 50, 46, 54, 51, 57, 59, 62, 55, 66, 64, 69, 68, 73, 71, 76, 67, 65, 72, 74, 75, 10], [78, 79, 81, 77, 83, 86, 70, 80, 85, 82, 84, 87, 88]]
46: [[37, 7], [4, 3, 9, 8, 5, 2, 6, 10, 14, 28], [13, 18, 15, 12, 1, 22, 19, 11], [16, 20, 21, 23, 24], [27, 31, 25, 26, 29, 59, 30, 50], [32, 35], [38, 34, 17, 47, 33, 36, 40], [42, 44, 43, 56, 41, 45, 39, 52, 46, 54, 48, 51, 53, 55, 57, 49], [58, 61, 60, 62, 63, 64, 67, 68, 70, 71, 65, 66, 78, 69, 73], [75, 74, 77, 72, 76], [79, 80, 82, 84, 81, 83, 85, 86], [87, 88]]
47: [[37, 7], [4, 3], [9, 8], [5, 2, 1, 6], [19, 27, 10, 22, 11, 26, 12, 15, 17, 23, 25, 14, 16, 20, 18, 21, 24, 28, 36], [57, 61, 56, 29, 46, 13, 34, 43, 30, 31, 33, 38, 50, 40, 42, 39, 41, 45], [63, 35, 49, 32, 44, 47, 48, 60, 51, 52], [54, 53, 55, 62, 58, 59, 66, 80, 64, 71, 68, 69, 65, 67, 76, 70, 78, 72, 75, 73, 77, 74], [86, 79, 82, 83, 84, 87, 81, 85, 88]]
48: [[37, 7], [4, 3], [9, 5, 1, 2], [6, 23, 8, 28, 25, 14, 26, 11, 24], [19], [12, 16, 22], [21, 20, 27, 13, 15, 49], [10, 31, 55, 59, 17, 29, 18, 58, 39, 48, 30, 33, 63, 35, 44, 34, 32, 45, 47, 36, 38, 53, 40, 41, 42, 43, 52, 56, 46, 51, 50, 54, 57, 60, 61, 62, 65, 64, 69, 66, 71, 68, 74, 78, 67, 75, 72, 70, 77, 73, 79, 76, 87, 81, 80, 84, 83, 82, 86, 85, 88]]
49: [[37, 7], [4, 3], [9, 10], [1, 2], [6, 5], [14, 8, 12, 27, 13, 29, 11, 20, 15, 17, 26, 16], [28, 18], [21, 19], [57, 23], [24, 22, 30, 43], [25, 33], [31, 35], [38, 42, 40, 41, 34, 56, 32, 45, 39, 44, 47], [46, 36, 48, 53, 55, 62, 54, 50, 49, 51, 58, 59, 60, 52, 61, 63, 66], [73, 69, 65, 68, 71, 67, 64, 70, 72, 76, 74, 78, 75, 77, 79, 84, 80, 81, 83, 82, 86, 87, 85, 88]]
50: [[37, 7], [4, 3, 9, 8], [33, 1, 11], [5, 10, 14, 6, 13, 12, 15], [2, 25, 16, 18], [24, 19, 17, 23], [27, 22, 21], [20, 28], [59, 49, 40, 29, 31, 44, 39, 34], [30, 35, 26, 32, 36, 38, 43, 41, 42, 46, 45, 47, 50, 54, 63, 60, 53], [52, 58, 48, 55, 61, 51, 56, 57, 62], [64, 70, 68, 67, 65, 69, 74, 71, 66, 73, 77, 72, 76, 75, 78, 79], [84, 81, 80, 83, 82, 85, 86, 87, 88]]
