0: [[17, 6, 5, 18, 24, 2], [3, 4, 15, 8, 12, 11, 13], [9, 10, 23, 22, 19, 1, 7, 14, 16, 20], [21, 26, 27, 28, 29, 25]]
34: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12], [11, 7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
35: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12], [11, 7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
36: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12], [11, 7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
37: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12], [11, 7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
38: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12], [11, 7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
39: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12], [11, 7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
40: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12], [11, 7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
41: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12], [11, 7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
42: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11, 7], [9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
43: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11, 7], [9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
44: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11, 7], [9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
45: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11, 7], [9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
46: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11, 7], [9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
47: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11, 7], [9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
48: [[17, 6, 18, 24, 2], [5, 3, 4, 15, 13, 8, 12], [11, 7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
49: [[17, 6, 18, 5, 3, 24, 2], [4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
50: [[17, 6, 18, 24, 2], [5, 3, 4, 15, 13, 8], [12, 11, 7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
51: [[17, 6, 18, 5, 3, 24, 2], [4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
52: [[17, 6, 18, 5, 3, 24, 2], [4, 15, 13, 8, 12, 11, 7], [9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
53: [[2, 6, 18, 5, 17, 24], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19], [16, 21, 26, 25, 27, 28, 29]]
54: [[2, 6, 18, 5, 17, 24], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19], [16, 21, 26, 25, 27, 28, 29]]
55: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16, 21], [26, 25, 27, 28, 29]]
56: [[2, 6, 18, 17, 24], [5, 3, 4, 15, 13, 8, 12], [11, 7, 9, 14, 1, 10, 23, 22, 20, 19], [16, 21, 26, 25, 27, 28, 29]]
57: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11, 7], [9, 14, 1, 10, 23, 22, 20, 19, 16, 21], [26, 25, 27, 28, 29]]
58: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11, 7], [9, 14, 1, 10, 23, 22, 20, 19, 16, 21], [26, 25, 27, 28, 29]]
59: [[17, 6, 18, 5, 3, 24, 2], [4, 15, 13, 8, 12, 11, 7], [9, 14, 1, 10, 23, 22, 20, 19, 16, 21], [26, 25, 27, 28, 29]]
