0: [[20, 25], [5, 6], [2, 1, 9], [4, 8, 12], [11, 3], [7, 29, 13, 15, 18, 17, 10, 14], [16, 19], [23, 22], [28, 24], [21, 27, 26]]
32: [[20, 25], [5, 6], [2, 1], [9, 4, 3], [12, 15], [7, 8, 11, 10, 13, 18, 14, 17, 21, 16, 19, 23, 22, 28, 24, 29, 27, 26]]
33: [[20, 25], [5, 6], [2, 1], [9, 4], [3, 12], [11, 10], [7, 15], [8, 13], [18, 14], [16, 29, 19], [17, 23, 22], [24, 21, 26], [27, 28]]
34: [[20, 25], [5, 6, 2], [1, 9, 4, 7, 12, 11, 3, 10, 29, 13, 15, 18, 14, 8, 24, 17, 19, 23, 22, 28, 16, 21, 27], [26]]
35: [[20, 25], [5, 6], [2, 1, 9, 4], [3, 12], [15, 7], [8, 28], [10, 11], [18, 14], [13, 17], [16, 19, 23], [22, 21], [29, 24], [27, 26]]
36: [[20, 25], [5, 6, 2], [1, 9, 4, 3, 12, 15, 7, 8, 10, 13, 11, 18, 14, 17, 21, 16, 23, 19, 22, 26, 29, 24], [27, 28]]
37: [[20, 25], [5, 6], [2, 1, 9], [4, 11, 12], [3, 15, 8], [29, 13, 10], [16, 21, 14, 7, 17, 18, 23, 19], [28, 22, 24, 27, 26]]
38: [[20, 25], [5, 6], [2, 1, 9], [4, 3, 12], [15, 7], [8, 14], [17, 10], [18, 11, 22], [13, 16], [19, 23, 21, 28, 24, 27, 29, 26]]
39: [[20, 25], [5, 6], [2, 1, 9], [4, 3], [12, 15], [8, 10, 11], [17, 7, 26], [13, 18, 21], [16, 19], [22, 23, 14, 24, 28, 27, 29]]
40: [[20, 25], [5, 6, 2, 1, 9, 4], [3, 12, 11, 7, 10, 8, 21, 15, 18, 13, 14, 16, 17, 19], [23, 22, 28, 24, 27, 29, 26]]
41: [[20, 25], [5, 6], [2, 1], [9, 4], [3, 12, 15], [7, 8], [11, 14, 13], [18, 17, 10, 29, 16, 19, 22, 23, 28, 24, 21, 27, 26]]
42: [[20, 25], [5, 6, 2, 1, 9, 4, 3, 12, 15, 13, 10, 17, 7, 21, 26, 8, 11], [14, 16], [23, 18, 22, 29, 19, 27, 24, 28]]
43: [[20, 25], [5, 6], [2, 1], [9, 4], [8, 12], [11, 7], [14, 3], [13, 10, 18], [15, 17], [21, 16], [19, 23, 22], [28, 24, 27], [29, 26]]
44: [[20, 25], [5, 6], [2, 1, 9], [4, 11], [12, 7, 8, 3, 13, 15], [14, 18], [17, 10, 19, 16, 27], [22, 23, 21, 24], [29, 28, 26]]
45: [[20, 25, 5], [6, 2], [1, 9, 4], [3, 11, 7, 10, 14], [13, 12], [15, 16, 22], [8, 29, 17, 19, 27], [18, 28, 24, 21, 23, 26]]
46: [[20, 25], [5, 6], [2, 1], [9, 4], [3, 12], [15, 7], [8, 11], [13, 14], [18, 17], [10, 29], [16, 19], [23, 21], [28, 22], [24, 27, 26]]
47: [[20, 25], [5, 6], [2, 1], [9, 4], [8, 12], [15, 3], [7, 13], [10, 11], [18, 19], [26, 14, 16], [21, 22, 23, 28, 17, 29, 27, 24]]
48: [[20, 25], [5, 6, 2], [1, 9], [4, 3], [12, 14], [7, 8, 29, 13], [10, 18, 11], [28, 17, 15, 19, 23, 16, 21, 22, 24, 27, 26]]
49: [[20, 25, 5], [6, 2], [1, 9], [4, 3], [15, 7, 10], [11, 8], [13, 18, 16, 28, 12, 22], [17, 19], [23, 21, 14], [26], [29, 27, 24]]
50: [[20, 25], [5, 6], [2, 1], [9, 4], [3, 12], [11, 7, 8], [13, 15, 22], [18, 10], [17, 14, 16, 27], [21, 23, 24, 26], [29, 19, 28]]
51: [[20, 25, 5, 6, 2, 1], [9, 4, 10, 12, 11, 3, 15, 21], [13, 7, 18, 8, 14, 17, 22, 16, 23, 19, 28, 26, 29, 27, 24]]
52: [[20], [25, 5], [6, 2], [1, 9], [4, 10, 12], [15, 7, 3], [28, 13], [11, 18, 8], [14, 24], [17, 19], [23, 22], [21, 16, 27], [26, 29]]
53: [[20, 25, 5], [6, 2], [1], [9, 4], [11, 12, 15], [3, 7, 10], [28, 13], [26, 8, 17, 14, 16, 22, 18, 23], [19, 21, 24], [27, 29]]
54: [[20, 25], [5, 6, 2, 1, 9, 4, 8, 12, 11, 3, 7, 29, 13, 14, 18, 27, 10, 15, 17, 19], [23, 16], [21, 24], [22, 28, 26]]
55: [[20, 25], [5, 6], [2], [1, 9], [4, 10], [12, 15, 3], [7, 29, 21], [11, 18, 8], [28, 13], [17, 19], [16, 22], [14, 23], [24, 27, 26]]
56: [[20], [25, 5], [6, 2], [1, 9, 4], [10, 12, 15], [3, 8, 29], [13, 14], [18, 19], [11, 7], [16, 17, 23, 21], [28, 26, 24, 27, 22]]
57: [[20, 25], [5, 6, 2], [1, 9], [4, 10], [12, 15, 7], [3, 8], [24, 11], [18, 14, 17], [21, 13, 19], [16, 27], [22, 23, 28], [29, 26]]
58: [[20, 25], [5, 6], [2, 1], [9, 4], [11, 12, 15], [3, 10, 24], [7, 8], [18, 14, 26], [13, 19], [16, 23, 21], [17, 28, 29], [27, 22]]
59: [[20], [25, 5], [6, 2, 1], [9, 4], [8, 12, 15], [3, 7, 13], [10, 14], [18, 17], [11, 21], [16, 19, 23, 22, 28, 24, 29, 27, 26]]
