0: [[4, 6, 5], [15, 8, 9, 1, 2, 13], [14, 10, 12, 19, 7, 11], [18, 17, 22, 16, 20, 3], [21, 23, 24]]
16: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
17: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
18: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
19: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
20: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
21: [[2], [5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19, 7, 11], [18, 17, 22, 16, 20, 3], [21, 23, 24]]
22: [[2], [5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19, 7, 11], [18, 17, 22, 16, 20, 3], [21, 23, 24]]
23: [[2], [5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19, 7, 11], [18, 17, 22, 16, 20, 3], [21, 23, 24]]
24: [[7, 2, 11], [3, 5, 1, 4], [6, 15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
25: [[7, 2, 11], [3, 5, 1, 4], [6, 15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
26: [[7, 2, 11], [3, 5, 1, 4], [6, 15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
27: [[7, 2, 11], [3, 5, 1, 4], [6, 15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
28: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8], [9, 14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
29: [[2], [5, 1, 4, 6, 15], [8, 9], [14, 10, 12, 13, 19, 7, 11], [18, 17, 22, 16, 20, 3], [21, 23, 24]]
30: [[2], [5, 1, 4, 6, 15], [8, 9, 14, 7, 11], [10, 12, 13, 19], [18, 17, 22, 16, 20, 3], [21, 23, 24]]
31: [[2], [5, 1, 4], [6, 15, 8], [9, 14, 10, 12, 13, 7, 11], [19, 18, 17, 22, 16, 20, 3], [21, 23, 24]]
32: [[2], [5, 1, 4], [6, 15, 8], [9, 14, 10, 12, 13, 7, 11], [19, 18, 17, 22, 16, 20, 3], [21, 23, 24]]
33: [[2], [5, 1, 4], [6, 15, 8], [9, 14, 10, 12, 13, 7, 11], [19, 18, 17, 22, 16, 20, 3], [21, 23, 24]]
34: [[7, 2, 11], [3, 5, 1, 4, 6, 15], [8, 9, 14], [10, 12, 13, 19, 18], [17, 22, 16, 20], [21, 23, 24]]
35: [[7, 2, 11], [3, 5, 1, 4, 6, 15], [8, 9, 14], [10, 12, 13, 19, 18], [17, 22, 16, 20], [21, 23, 24]]
36: [[7, 2, 11], [3, 5, 1, 4, 6, 15], [8, 9, 14], [10, 12, 13, 19, 18], [17, 22, 16, 20], [21, 23, 24]]
37: [[2], [5, 1, 4], [6, 15], [8, 9, 14, 10, 12, 13, 7, 11], [19, 18, 17, 22, 16, 20, 3], [21, 23, 24]]
38: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19, 18], [17, 22, 16, 20, 21], [23, 24]]
39: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19, 18], [17, 22, 16, 20, 21], [23, 24]]
40: [[7, 2, 11], [3, 5, 1, 4, 6, 15], [8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20, 21], [23, 24]]
41: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13], [19, 18, 17, 22, 16], [20, 21, 23, 24]]
42: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13], [19, 18, 17, 22, 16], [20, 21, 23, 24]]
43: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13], [19, 18, 17, 22, 16], [20, 21, 23, 24]]
44: [[7, 2, 11], [3, 5, 1, 4], [6, 15, 8], [9, 14, 10, 12, 13, 19], [18, 17, 22, 16, 20, 21], [23, 24]]
45: [[7, 2, 11], [3, 5, 1, 4], [6, 15, 8, 9, 14], [10, 12, 13, 19, 18], [17, 22, 16, 20, 21], [23, 24]]
46: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8], [9, 14, 10, 12, 13], [19, 18, 17, 22, 16], [20, 21, 23, 24]]
47: [[2], [5, 1, 4], [6, 15, 8], [9, 14, 10, 12, 13, 7, 11], [19, 18, 17, 22, 16, 3], [20, 21, 23, 24]]
48: [[2], [5, 1, 4], [6, 15, 8], [9, 14, 10, 12, 13, 7, 11], [19, 18, 17, 22, 16, 3], [20, 21, 23, 24]]
49: [[2], [5, 1, 4], [6, 15, 8], [9, 14, 10, 12, 13, 7, 11], [19, 18, 17, 22, 16, 3], [20, 21, 23, 24]]
