0: [[7, 17, 18, 9], [1, 4, 2], [3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22, 11], [20, 23, 16, 24], [19, 27, 21], [25, 26, 28], [31, 30, 34, 33, 32], [35, 37, 36]]
12: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24], [19, 27, 21], [25, 26, 28, 31], [30, 34, 33, 32], [35, 37, 36]]
13: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24], [19, 27, 21], [25, 26, 28, 31], [30, 34, 33, 32], [35, 37, 36]]
14: [[7, 17, 18], [9, 1, 4, 2], [3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24, 19], [27, 21], [25, 26, 28, 31], [30, 34, 33], [32, 35, 37, 36]]
15: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24, 19], [27, 21, 25], [26, 28], [31, 30, 34, 33], [32, 35, 37, 36]]
16: [[7, 17, 18, 9], [1, 4, 2], [3, 15, 13], [5, 12, 14], [29, 10, 6], [8, 22, 11, 20], [23, 16, 24], [19, 27, 21], [25, 26, 28, 31], [30, 34, 33], [32, 35, 37, 36]]
17: [[7, 17, 18], [9, 1], [4, 2, 3], [15, 13, 5], [12, 14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24], [19, 27, 21], [25, 26, 28], [31, 30, 34, 33], [32, 35, 37, 36]]
18: [[7, 17, 18], [9, 1, 4], [2, 3], [15, 13, 5], [12, 14, 29], [10, 6, 8, 22], [11, 20, 23, 16], [24, 19, 27, 21], [25, 26, 28], [31, 30, 34], [33, 32, 35], [37, 36]]
19: [[7, 17, 18], [9, 1, 4], [2, 3], [15, 13, 5], [12, 14, 29], [10, 6, 8, 22], [11, 20, 23, 16], [24, 19, 27, 21], [25, 26, 28], [31, 30, 34], [33, 32, 35], [37, 36]]
20: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24, 19], [27, 21, 25, 26, 28], [31, 30, 34, 33, 32, 35, 37, 36]]
21: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29], [10, 6, 8], [22, 11, 20], [23, 16, 24], [19, 27, 21], [25, 26, 28], [31, 30, 34, 33], [32, 35, 37, 36]]
22: [[7, 17, 18], [9, 1, 4, 2], [3, 15, 13], [5, 12, 14], [29, 10], [6, 8, 22], [11, 20, 23], [16, 24, 19], [27, 21], [25, 26, 28, 31], [30, 34, 33], [32, 35, 37, 36]]
23: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10, 6], [8, 22], [11, 20, 23], [16, 24, 19], [27, 21, 25], [26, 28], [31, 30, 34], [33], [32, 35, 37, 36]]
24: [[7, 17, 18], [9, 1, 4], [2, 3], [15, 13, 5], [12, 14, 29], [10, 6, 8], [22, 11, 20], [23, 16, 24], [19, 27, 21], [25, 26, 28], [31, 30, 34, 33], [32, 35, 37, 36]]
25: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23, 16], [24, 19, 27, 21, 25], [26, 28, 31], [30, 34, 33], [32, 35, 37, 36]]
26: [[7, 17, 18, 9], [1, 4, 2], [3, 15, 13], [5, 12, 14], [29, 10, 6], [8, 22, 11], [20, 23, 16], [24, 19, 27], [21, 25, 26], [28, 31, 30, 34], [33, 32, 35, 37], [36]]
27: [[7, 17, 18, 9], [1, 4, 2], [3, 15, 13], [5, 12], [14, 29, 10], [6, 8, 22], [11], [20, 23, 16, 24], [19, 27, 21], [25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
28: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24, 19], [27, 21, 25], [26, 28, 31], [30, 34, 33], [32, 35, 37, 36]]
29: [[7, 17, 18, 9], [1, 4, 2], [3, 15], [13, 5, 12], [14, 29, 10, 6], [8, 22, 11], [20, 23, 16, 24], [19, 27, 21, 25], [26, 28, 31, 30], [34, 33, 32, 35, 37, 36]]
30: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24, 19], [27, 21, 25], [26, 28, 31], [30, 34, 33], [32, 35, 37, 36]]
31: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24, 19], [27, 21, 25, 26], [28, 31, 30, 34], [33, 32, 35, 37, 36]]
32: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24], [19, 27, 21, 25], [26, 28, 31], [30, 34, 33], [32, 35, 37, 36]]
33: [[7, 17, 18, 9], [1, 4, 2], [3, 15, 13], [5, 12, 14], [29, 10, 6], [8, 22, 11], [20, 23, 16], [24, 19, 27], [21, 25], [26, 28, 31], [30, 34, 33], [32, 35, 37, 36]]
34: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24, 19], [27, 21, 25, 26], [28, 31], [30, 34, 33], [32, 35, 37, 36]]
35: [[7, 17, 18, 9], [1, 4, 2], [3, 15, 13], [5, 12, 14], [29, 10, 6, 8], [22, 11, 20, 23], [16, 24, 19, 27, 21], [25, 26, 28, 31, 30, 34, 33, 32], [35, 37, 36]]
36: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24, 19, 27], [21, 25, 26], [28, 31, 30, 34], [33, 32, 35], [37, 36]]
37: [[7, 17, 18, 9], [1, 4, 2], [3, 15, 13, 5], [12, 14, 29, 10], [6, 8, 22, 11], [20, 23, 16, 24, 19, 27, 21, 25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
38: [[7, 17, 18, 9], [1, 4, 2], [3, 15, 13], [5, 12, 14], [29, 10, 6, 8], [22, 11, 20, 23], [16, 24, 19, 27, 21, 25, 26, 28], [31, 30, 34, 33, 32, 35, 37, 36]]
39: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24, 19], [27, 21, 25, 26, 28, 31, 30, 34, 33], [32, 35, 37, 36]]
40: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24, 19], [27, 21, 25], [26, 28, 31, 30], [34, 33, 32], [35, 37, 36]]
41: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24, 19], [27, 21, 25], [26, 28, 31, 30], [34, 33, 32], [35, 37, 36]]
42: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24, 19], [27, 21, 25], [26, 28, 31, 30], [34, 33, 32], [35, 37, 36]]
43: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24, 19], [27, 21, 25], [26, 28, 31, 30], [34, 33, 32], [35, 37, 36]]
44: [[7, 17, 18, 9], [1, 4, 2], [3, 15, 13], [5, 12, 14], [29, 10, 6], [8, 22, 11], [20, 23, 16], [24, 19, 27], [21, 25, 26], [28, 31, 30], [34, 33, 32], [35, 37, 36]]
45: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24], [19, 27, 21, 25, 26], [28, 31, 30, 34, 33, 32, 35, 37, 36]]
46: [[7, 17, 18], [9, 1, 4, 2], [3, 15, 13], [5, 12], [14, 29, 10], [6, 8, 22], [11], [20, 23, 16, 24], [19, 27, 21, 25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
47: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24, 19], [27, 21], [25, 26], [28, 31, 30], [34, 33, 32, 35], [37, 36]]
48: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24, 19], [27, 21, 25], [26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
49: [[7, 17, 18, 9], [1, 4, 2], [3, 15], [13, 5, 12, 14], [29, 10, 6, 8], [22, 11, 20, 23, 16, 24, 19, 27, 21, 25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
50: [[7, 17, 18], [9, 1, 4], [2, 3], [15, 13, 5], [12, 14, 29], [10, 6, 8], [22, 11, 20], [23, 16, 24], [19, 27, 21, 25], [26, 28], [31, 30, 34, 33], [32, 35, 37, 36]]
51: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22, 11], [20, 23, 16, 24], [19, 27, 21, 25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
52: [[7, 17, 18, 9], [1, 4, 2], [3, 15, 13], [5, 12, 14], [29, 10, 6], [8, 22], [11, 20, 23], [16, 24, 19, 27], [21, 25, 26], [28, 31, 30], [34, 33, 32], [35, 37, 36]]
53: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11], [20, 23, 16, 24], [19, 27, 21, 25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
54: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23, 16], [24, 19, 27, 21, 25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
55: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22, 11, 20, 23, 16, 24], [19, 27, 21, 25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
56: [[7, 17, 18], [9, 1, 4], [2, 3], [15, 13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23, 16], [24, 19, 27, 21, 25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
57: [[7, 17, 18], [9, 1, 4, 2], [3, 15, 13, 5], [12, 14, 29, 10, 6, 8, 22, 11], [20, 23, 16, 24, 19, 27, 21, 25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
58: [[7, 17], [18, 9, 1], [4, 2, 3], [15, 13, 5], [12, 14, 29], [10, 6, 8], [22, 11, 20], [23, 16, 24], [19, 27, 21], [25, 26, 28], [31, 30, 34], [33, 32], [35, 37, 36]]
59: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6], [8, 22, 11, 20], [23, 16, 24, 19, 27, 21, 25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
60: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24], [19], [27, 21, 25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
61: [[7, 17, 18], [9, 1, 4], [2, 3], [15, 13, 5], [12, 14, 29, 10], [6, 8, 22, 11, 20, 23, 16, 24, 19, 27], [21, 25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
62: [[7, 17, 18], [9, 1, 4], [2, 3, 15, 13, 5, 12, 14, 29, 10, 6, 8, 22, 11, 20, 23, 16, 24, 19, 27, 21, 25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
63: [[7, 17, 18], [9, 1, 4], [2, 3], [15, 13, 5], [12, 14, 29], [10, 6, 8], [22, 11, 20], [23, 16, 24], [19, 27, 21], [25, 26, 28, 31], [30, 34, 33, 32, 35, 37, 36]]
64: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14], [29, 10, 6], [8, 22, 11], [20, 23, 16, 24], [19, 27, 21, 25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
65: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10, 6], [8, 22, 11, 20], [23, 16, 24, 19, 27, 21, 25, 26], [28, 31, 30, 34, 33, 32, 35, 37, 36]]
66: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12, 14], [29, 10, 6, 8], [22, 11, 20, 23, 16], [24, 19], [27, 21, 25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
67: [[7, 17, 18, 9, 1], [4, 2, 3, 15, 13, 5, 12, 14], [29, 10, 6, 8, 22, 11, 20, 23, 16, 24, 19, 27, 21, 25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
68: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5], [12, 14], [29, 10, 6], [8, 22, 11], [20, 23, 16, 24], [19, 27], [21, 25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
69: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5], [12, 14, 29], [10, 6], [8, 22, 11], [20, 23, 16], [24], [19, 27, 21, 25], [26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
70: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29], [10, 6, 8], [22, 11, 20, 23, 16, 24, 19, 27, 21, 25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
71: [[7, 17, 18], [9, 1], [4, 2, 3], [15, 13, 5], [12, 14], [29, 10, 6], [8, 22, 11], [20, 23, 16, 24], [19, 27, 21, 25], [26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
72: [[7, 17, 18], [9, 1, 4], [2, 3], [15, 13, 5], [12, 14, 29], [10, 6, 8], [22, 11, 20], [23, 16, 24, 19], [27, 21, 25, 26], [28, 31, 30], [34, 33, 32], [35, 37, 36]]
73: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5], [12, 14, 29], [10, 6, 8], [22], [11, 20, 23, 16], [24, 19, 27], [21, 25, 26, 28, 31, 30, 34, 33, 32, 35, 37, 36]]
