0: [[5, 6], [2, 19], [3, 11, 1, 8, 4, 12], [7, 9, 17, 18, 15, 22, 13, 10, 14, 16], [21, 27, 26], [23, 28], [20, 25], [29, 24]]
40: [[5, 6], [2, 19], [3, 11], [1, 8, 4], [7, 12], [25, 17], [13, 10], [9, 29, 18], [20, 26, 24, 23, 15, 22, 14], [16, 21, 27, 28]]
41: [[5, 6, 2, 19, 3], [11, 1, 8, 4, 15, 12, 9], [17, 7, 10, 22, 23, 13, 14, 16, 20, 29, 18, 21, 24, 25, 27, 28, 26]]
42: [[5, 6], [2, 19], [3, 11], [1, 8], [4, 15, 7, 9, 26], [25, 12], [14, 13, 10, 17], [16, 24, 27, 18, 20], [29, 21, 22, 23, 28]]
43: [[5, 6], [2, 19], [3, 11], [1, 8], [4, 7, 9, 14, 15], [10, 12, 26, 22, 16, 13, 21, 17], [29, 23, 18, 20, 24, 27], [25, 28]]
44: [[5, 6], [2, 19, 3, 11], [1, 8, 4], [15, 7, 9, 10, 12, 14], [17, 13, 18, 16, 23, 20, 21, 28, 22, 24, 26, 25, 27, 29]]
45: [[5, 6, 2, 19, 3, 11, 1], [8, 4], [12, 10, 7, 17, 14, 9, 22, 13, 15, 21, 16, 20, 18, 26, 23, 28, 24, 27, 29, 25]]
46: [[5, 6, 2, 19, 3, 11, 1, 8], [4, 15, 7, 13, 14, 16, 26, 17], [20, 10, 28, 18, 27, 22, 24, 25, 21, 29, 12, 23, 9]]
47: [[5, 6], [2, 19], [3, 11], [1, 8], [4, 7], [10, 17, 9], [13, 15, 26, 20, 16, 14, 23], [21, 18, 24, 12], [22, 27, 25, 29, 28]]
48: [[5, 6], [2, 19], [3, 11, 1, 8, 4, 15, 10, 25, 17, 7], [14, 9, 13], [23, 12], [16, 18], [27, 21, 22, 24], [20, 26, 28, 29]]
49: [[5, 6, 2, 19, 3], [11, 1, 8, 4, 7, 9, 13, 16], [10, 14, 15, 17, 12, 18, 21, 22], [20, 24, 23, 26, 28, 27, 29, 25]]
50: [[5, 6, 2, 19, 3, 11, 1, 8, 4, 12, 9], [10, 21, 16, 15, 7, 13, 14, 23], [17, 18, 25, 22, 26, 28, 20, 24, 27, 29]]
51: [[5, 6], [2, 19, 3, 11, 1, 8, 4], [15, 9], [13, 16], [21, 7, 10, 20, 23, 14], [12, 18, 26, 22, 28, 17, 27, 25, 29, 24]]
52: [[5, 6, 2, 19, 3, 11], [1, 8], [4, 15, 9, 18], [7, 17, 10], [12, 13, 14, 16, 21, 22], [25, 20, 23, 28, 24, 26, 27, 29]]
53: [[5, 6, 2], [19, 3], [11, 1, 8, 4, 7, 12], [9, 17, 18], [15], [13, 16, 20, 26, 21, 23, 10, 22, 14], [29, 24, 25], [27, 28]]
54: [[5, 6], [2, 19], [3, 11], [1, 8], [4, 7], [12, 21], [15, 9], [10, 26, 20, 18, 13, 14], [16, 17, 22, 23, 28, 24, 25, 29, 27]]
55: [[5, 6], [2, 19], [3, 11, 1], [8, 4], [15, 7, 25, 12], [9, 10], [13, 14], [22, 16], [17, 29], [21, 28], [24, 23, 18, 20, 26, 27]]
56: [[5, 6], [2, 19], [3, 11], [1, 8], [4, 12], [9, 18, 7, 13], [15, 14, 10], [17, 16, 20], [23, 21], [26, 22], [28, 25], [24, 29, 27]]
57: [[5, 6, 2], [19, 3], [11, 1], [8, 4, 12, 7, 13], [9, 10, 14, 21, 15, 18], [17, 16, 24], [22, 20], [23, 29], [26, 25, 27, 28]]
58: [[5, 6], [2, 19, 3], [11, 1, 8, 4], [12, 9], [7, 17], [18, 15], [10, 13], [14, 22, 16, 23], [20, 26], [24, 29, 21], [25, 27, 28]]
59: [[5, 6, 2, 19, 3, 11, 1, 8], [4, 13, 7, 15, 9, 16, 26], [18, 20, 22, 14, 17, 29, 25], [24, 27], [21, 10, 12, 23, 28]]
