0: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 12, 14], [5, 6, 10, 22, 23, 16, 24, 17], [21, 20, 29, 26, 25, 27, 28]]
21: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 12, 6, 5, 14], [10, 22, 23, 16, 24, 17], [21, 28, 25, 26, 20, 27, 29]]
22: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 14, 12, 6, 5], [10, 20, 23, 16, 17, 22], [21, 28, 25, 26, 24, 27, 29]]
23: [[18, 19, 9, 1, 2], [7, 15, 8, 3, 13, 4, 11, 6, 14], [5, 10, 12, 16, 20, 17, 23, 22], [21, 29, 24, 26, 25, 27, 28]]
24: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 12, 5], [6, 10, 14, 23, 22, 20, 17, 16], [21, 29, 24, 26, 25, 27, 28]]
25: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 12, 5], [10, 6, 14, 20, 16, 22, 17, 23], [21, 29, 25, 26, 24, 27, 28]]
26: [[18, 19, 9, 1, 2], [7, 15, 8, 3, 13, 4, 11, 5, 6], [14, 10, 12, 20, 23, 17, 16, 22], [21, 29, 24, 26, 25, 27, 28]]
27: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 12, 6, 5, 10], [22, 20, 14, 16, 24, 17], [21, 28, 23, 26, 25, 27, 29]]
28: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 14, 5, 6, 10], [12, 16, 20, 29, 22, 17], [21, 23, 25, 26, 24, 27, 28]]
29: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 14, 5], [6, 10, 20, 12, 23, 28, 17, 22], [21, 16, 25, 26, 24, 27, 29]]
30: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 12, 5, 6, 10], [14, 16, 23, 22, 21, 17], [20, 29, 25, 26, 24, 27, 28]]
31: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 14, 10], [5, 6, 12, 20, 22, 17, 24, 23], [21, 28, 16, 26, 25, 27, 29]]
32: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 10, 14], [5, 6, 21, 16, 20, 22, 17, 12], [23, 28, 24, 26, 25, 27, 29]]
33: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 14, 10], [5, 6, 12, 21, 16, 17, 23, 22], [20, 24, 27, 26, 25, 28, 29]]
34: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 14, 5], [6, 10, 12, 22, 17, 16, 21, 20], [23, 29, 25, 26, 24, 27, 28]]
35: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 12, 14], [5, 6, 10, 20, 23, 16, 24, 17], [21, 22, 29, 26, 25, 27, 28]]
36: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 12, 6, 5, 14], [24, 22, 16, 10, 25, 17], [21, 20, 23, 26, 29, 27, 28]]
37: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 12, 6], [5, 10, 14, 20, 23, 16, 24, 17], [21, 28, 25, 26, 22, 27, 29]]
38: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 10, 12, 14, 17], [5, 16, 6, 22, 28, 20], [21, 29, 25, 26, 27, 23, 24]]
39: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 14, 5, 10, 6], [12, 20, 16, 17, 22, 21], [23, 29, 25, 26, 28, 27, 24]]
40: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 14, 5, 10, 6], [28, 16, 12, 20, 22, 17], [21, 23, 24, 26, 29, 27, 25]]
41: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 10, 6, 5, 14], [12, 21, 16, 22, 17, 20], [23, 29, 25, 26, 24, 27, 28]]
42: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 12, 5, 6, 10], [14, 20, 21, 29, 16, 17], [22, 23, 26, 25, 24, 27, 28]]
43: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 5, 6], [10, 14, 12, 22, 21, 16, 24, 17], [20, 23, 27, 26, 25, 28, 29]]
44: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 14, 12, 5, 6], [10, 16, 20, 22, 17, 21], [23, 29, 25, 26, 24, 27, 28]]
45: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 12, 5, 6, 14], [10, 20, 22, 17, 26, 16], [21, 28, 25, 23, 27, 24, 29]]
46: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 12, 6, 5, 10], [14, 21, 22, 17, 25, 16], [20, 28, 24, 26, 23, 27, 29]]
47: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 12, 14], [5, 6, 10, 20, 23, 17, 16, 21], [22, 28, 29, 26, 24, 27, 25]]
48: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 12, 5], [6, 10, 28, 20, 22, 16, 17, 21], [14, 23, 25, 26, 24, 27, 29]]
49: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 14, 6], [5, 12, 10, 20, 23, 16, 24, 17], [21, 22, 29, 26, 27, 25, 28]]
50: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 12, 5], [14, 6, 10, 23, 20, 16, 21, 17], [22, 29, 24, 26, 25, 27, 28]]
51: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 14, 5], [10, 6, 12, 23, 20, 16, 21, 17], [22, 29, 27, 26, 25, 24, 28]]
52: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 5, 6], [10, 12, 28, 17, 16, 20, 22, 14], [23, 29, 24, 26, 27, 25, 21]]
53: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 5, 6, 10, 14], [26, 20, 16, 12, 17, 21], [22, 28, 27, 23, 25, 24, 29]]
54: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 12, 10, 5, 6], [14, 20, 16, 23, 21, 17], [22, 29, 25, 26, 24, 27, 28]]
55: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 14, 12], [5, 6, 10, 20, 23, 17, 16, 21], [22, 28, 24, 26, 25, 27, 29]]
56: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 5, 6], [10, 16, 21, 12, 22, 23, 28, 14], [17, 29, 25, 26, 24, 20, 27]]
57: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 5, 6], [10, 12, 26, 20, 16, 14, 17, 29], [21, 22, 23, 24, 25, 27, 28]]
58: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 14, 5], [6, 10, 12, 21, 16, 20, 17, 23], [22, 24, 25, 26, 27, 29, 28]]
59: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 14, 6, 5, 10], [12, 17, 23, 20, 21, 16], [22, 29, 24, 26, 27, 25, 28]]
