0: [[9, 7, 20], [1, 6, 22, 3], [35, 2, 4, 13], [5, 19, 12, 15, 11], [14, 8, 29, 10], [18, 24, 17], [16, 21, 23, 27], [26, 25, 28], [31, 30, 32, 33, 34], [37, 36]]
16: [[9, 7, 20], [1, 6, 22], [3, 35, 2], [4, 13, 5, 19], [12, 15, 11], [14, 8], [29, 10, 18, 24], [17, 16, 21, 23], [27, 26, 25, 28], [31, 30, 32, 33], [34, 37, 36]]
17: [[9, 7, 20], [1, 6, 22], [3, 35, 2], [4, 13, 5, 19], [12, 15, 11], [14, 8], [29, 10, 18, 24], [17, 16, 21, 23], [27, 26, 25, 28], [31, 30, 32, 33], [34, 37, 36]]
18: [[9, 7, 20], [1, 6, 22], [3, 35, 2], [4, 13, 5, 19], [12, 15, 11], [14, 8], [29, 10, 18, 24], [17, 16, 21, 23], [27, 26, 25, 28], [31, 30, 32, 33], [34, 37, 36]]
19: [[9, 7, 20], [1, 6, 22, 3], [35, 2, 4, 13], [5, 19], [12, 15, 11], [14, 8, 29, 10], [18, 24, 17, 16], [21, 23, 27], [26, 25, 28, 31], [30, 32, 33, 34], [37, 36]]
20: [[9, 7, 20], [1, 6, 22, 3], [35, 2, 4, 13], [5, 19, 12], [15, 11, 14], [8, 29, 10], [18, 24, 17, 16], [21, 23, 27], [26, 25, 28, 31], [30, 32, 33, 34], [37, 36]]
21: [[9, 7, 20], [1, 6, 22, 3], [35, 2, 4, 13], [5, 19, 12], [15, 11, 14], [8, 29, 10], [18, 24, 17, 16], [21, 23, 27], [26, 25, 28, 31], [30, 32, 33], [34, 37, 36]]
22: [[9, 7, 20], [1, 6, 22], [3, 35], [2, 4, 13], [5, 19, 12], [15, 11, 14, 8], [29, 10, 18, 24], [17, 16, 21, 23], [27, 26, 25, 28], [31, 30, 32], [33, 34, 37, 36]]
23: [[9, 7, 20], [1, 6, 22], [3, 35], [2, 4, 13, 5], [19, 12, 15, 11], [14, 8], [29, 10, 18], [24, 17, 16], [21, 23, 27], [26, 25, 28], [31, 30, 32, 33], [34, 37, 36]]
24: [[9, 7, 20], [1, 6, 22, 3], [35, 2, 4, 13], [5, 19], [12, 15, 11], [14, 8, 29], [10, 18, 24], [17, 16, 21, 23], [27, 26, 25, 28], [31, 30, 32], [33, 34, 37, 36]]
25: [[9, 7, 20], [1, 6, 22], [3, 35, 2], [4, 13, 5], [19, 12, 15], [11, 14, 8], [29, 10, 18], [24, 17], [16, 21, 23], [27, 26, 25, 28], [31, 30, 32, 33], [34, 37, 36]]
26: [[9, 7, 20], [1, 6, 22], [3, 35, 2], [4, 13, 5], [19, 12, 15], [11, 14, 8], [29, 10, 18, 24], [17, 16], [21, 23, 27, 26], [25, 28], [31, 30, 32, 33, 34, 37, 36]]
27: [[9, 7, 20, 1], [6, 22, 3, 35], [2, 4, 13], [5, 19, 12, 15], [11, 14, 8, 29], [10, 18, 24], [17, 16, 21, 23], [27, 26, 25, 28, 31], [30, 32, 33, 34], [37, 36]]
28: [[9, 7, 20], [1, 6, 22, 3, 35, 2, 4, 13, 5, 19, 12, 15, 11, 14, 8], [29, 10, 18, 24], [17, 16, 21, 23], [27, 26, 25, 28], [31, 30, 32], [33, 34, 37, 36]]
29: [[9, 7, 20], [1, 6, 22], [3, 35], [2, 4, 13, 5], [19, 12, 15], [11, 14, 8, 29], [10, 18, 24, 17], [16, 21, 23, 27], [26, 25, 28, 31], [30, 32, 33, 34], [37, 36]]
30: [[9, 7, 20, 1], [6, 22, 3, 35], [2, 4, 13], [5, 19, 12, 15], [11, 14, 8, 29, 10], [18, 24, 17, 16], [21, 23], [27], [26, 25, 28, 31], [30, 32, 33], [34, 37, 36]]
31: [[9, 7, 20], [1, 6, 22], [3, 35, 2, 4], [13, 5, 19, 12], [15, 11, 14, 8], [29, 10], [18, 24, 17], [16, 21, 23, 27, 26, 25, 28, 31, 30, 32, 33, 34, 37, 36]]
32: [[9, 7, 20, 1], [6, 22, 3], [35, 2, 4, 13], [5, 19], [12, 15, 11], [14, 8, 29, 10], [18, 24], [17, 16, 21, 23], [27, 26, 25], [28, 31, 30, 32, 33, 34], [37, 36]]
33: [[9, 7, 20], [1, 6, 22, 3], [35, 2, 4, 13], [5, 19, 12, 15], [11, 14, 8], [29, 10, 18, 24], [17, 16, 21, 23], [27, 26, 25], [28, 31, 30, 32], [33, 34, 37, 36]]
34: [[9, 7, 20], [1, 6, 22, 3], [35, 2, 4, 13], [5, 19, 12, 15], [11, 14], [8, 29, 10, 18], [24, 17], [16, 21, 23, 27, 26, 25, 28], [31, 30, 32, 33, 34, 37, 36]]
35: [[9, 7, 20, 1, 6], [22, 3], [35, 2, 4, 13], [5, 19, 12, 15], [11, 14, 8, 29], [10, 18, 24, 17], [16, 21], [23, 27, 26, 25, 28, 31, 30, 32, 33, 34, 37, 36]]
36: [[9, 7, 20], [1, 6, 22, 3], [35, 2, 4, 13], [5, 19, 12], [15, 11, 14, 8], [29, 10, 18], [24, 17, 16, 21], [23, 27, 26, 25], [28, 31, 30, 32, 33], [34, 37, 36]]
37: [[9, 7, 20], [1, 6, 22], [3, 35], [2, 4, 13, 5], [19, 12, 15, 11], [14, 8, 29, 10], [18, 24], [17, 16, 21, 23, 27, 26, 25, 28, 31, 30, 32, 33], [34, 37, 36]]
38: [[9, 7, 20], [1, 6, 22], [3, 35, 2], [4, 13, 5, 19], [12, 15], [11, 14, 8, 29, 10, 18, 24, 17], [16, 21, 23, 27, 26, 25, 28, 31, 30, 32, 33, 34, 37, 36]]
39: [[9, 7, 20, 1], [6, 22, 3, 35], [2, 4, 13], [5, 19], [12, 15, 11, 14], [8, 29, 10], [18, 24, 17, 16], [21, 23, 27, 26], [25, 28, 31], [30, 32, 33], [34, 37, 36]]
40: [[9, 7, 20, 1], [6, 22, 3], [35, 2, 4, 13], [5, 19], [12, 15, 11, 14], [8, 29], [10, 18, 24, 17], [16, 21, 23, 27, 26, 25, 28, 31, 30, 32, 33, 34, 37, 36]]
41: [[9, 7, 20], [1, 6, 22], [3, 35, 2], [4, 13, 5], [19, 12], [15, 11, 14, 8], [29, 10, 18, 24], [17, 16, 21, 23], [27, 26, 25], [28, 31, 30, 32], [33, 34, 37, 36]]
42: [[9, 7, 20], [1, 6, 22], [3, 35, 2], [4, 13], [5, 19, 12], [15, 11, 14, 8], [29, 10, 18, 24], [17, 16], [21], [23, 27, 26, 25], [28, 31, 30, 32], [33, 34, 37, 36]]
43: [[9, 7], [20, 1], [6, 22, 3], [35, 2, 4], [13, 5], [19, 12, 15], [11, 14, 8], [29, 10, 18, 24], [17, 16, 21, 23], [27, 26, 25], [28, 31, 30], [32, 33, 34], [37, 36]]
44: [[9, 7, 20, 1, 6, 22, 3, 35, 2, 4], [13, 5, 19], [12, 15, 11, 14], [8, 29, 10, 18], [24, 17], [16, 21, 23, 27, 26, 25, 28, 31, 30], [32, 33, 34, 37, 36]]
45: [[9, 7, 20, 1, 6], [22, 3], [35, 2, 4, 13], [5, 19], [12], [15, 11, 14, 8, 29, 10], [18, 24, 17, 16, 21, 23, 27, 26, 25, 28, 31, 30, 32, 33, 34, 37, 36]]
46: [[9, 7, 20], [1, 6, 22], [3, 35], [2, 4, 13, 5], [19, 12, 15], [11, 14, 8, 29, 10, 18, 24, 17, 16], [21, 23, 27, 26, 25, 28, 31, 30, 32, 33, 34, 37, 36]]
47: [[9, 7, 20, 1, 6, 22, 3, 35, 2, 4], [13, 5, 19, 12, 15, 11, 14, 8, 29, 10, 18, 24, 17, 16], [21, 23, 27, 26], [25, 28, 31, 30, 32, 33, 34, 37, 36]]
48: [[9, 7, 20], [1, 6, 22, 3], [35, 2, 4], [13, 5], [19, 12, 15, 11], [14, 8, 29, 10], [18], [24, 17, 16, 21, 23, 27, 26, 25, 28, 31], [30, 32, 33, 34, 37, 36]]
49: [[9, 7, 20], [1, 6, 22], [3, 35, 2, 4], [13, 5, 19, 12], [15, 11, 14, 8], [29, 10, 18, 24], [17, 16, 21], [23, 27, 26, 25], [28, 31, 30], [32, 33, 34], [37, 36]]
50: [[9, 7, 20], [1, 6, 22], [3, 35, 2, 4, 13], [5, 19, 12], [15, 11, 14, 8, 29, 10, 18, 24, 17, 16, 21, 23, 27, 26, 25, 28, 31, 30, 32, 33, 34, 37, 36]]
51: [[9, 7, 20, 1], [6, 22, 3, 35], [2, 4, 13, 5], [19, 12, 15, 11], [14, 8, 29, 10], [18, 24, 17, 16], [21, 23, 27], [26, 25, 28, 31, 30, 32, 33, 34, 37, 36]]
52: [[9, 7, 20], [1, 6, 22], [3, 35], [2, 4, 13], [5, 19, 12, 15, 11, 14], [8, 29, 10, 18], [24, 17, 16, 21, 23, 27, 26, 25, 28, 31, 30, 32, 33, 34, 37, 36]]
53: [[9, 7, 20], [1, 6, 22], [3, 35, 2], [4, 13, 5], [19, 12, 15], [11, 14, 8], [29, 10], [18, 24, 17, 16], [21, 23, 27, 26], [25, 28, 31, 30], [32, 33], [34, 37, 36]]
54: [[9, 7, 20], [1, 6, 22], [3, 35, 2], [4, 13, 5, 19], [12, 15, 11], [14, 8], [29, 10, 18, 24], [17, 16, 21, 23], [27], [26, 25, 28, 31, 30, 32, 33, 34, 37, 36]]
55: [[9, 7, 20], [1, 6], [22, 3, 35, 2], [4, 13, 5, 19], [12, 15, 11], [14, 8, 29], [10, 18, 24, 17, 16, 21, 23, 27, 26, 25, 28, 31, 30, 32, 33, 34, 37, 36]]
56: [[9, 7, 20], [1, 6, 22], [3, 35, 2], [4, 13, 5], [19, 12, 15], [11, 14, 8], [29, 10], [18, 24, 17], [16, 21], [23, 27, 26], [25, 28, 31, 30], [32, 33, 34], [37, 36]]
57: [[9, 7, 20, 1], [6, 22, 3, 35], [2, 4, 13, 5], [19, 12, 15, 11], [14, 8], [29, 10, 18, 24, 17, 16, 21, 23, 27, 26, 25, 28, 31, 30, 32, 33, 34, 37, 36]]
58: [[9, 7, 20], [1, 6, 22], [3, 35], [2, 4, 13], [5, 19, 12], [15, 11, 14], [8, 29], [10, 18, 24], [17, 16, 21], [23, 27], [26, 25], [28, 31, 30], [32, 33], [34, 37, 36]]
59: [[9, 7, 20], [1, 6, 22, 3, 35, 2, 4, 13, 5, 19, 12, 15, 11, 14, 8], [29, 10, 18, 24, 17, 16, 21, 23, 27, 26, 25, 28, 31, 30, 32, 33, 34, 37, 36]]
60: [[9, 7, 20], [1, 6, 22, 3], [35, 2, 4, 13], [5, 19, 12], [15, 11], [14, 8, 29, 10], [18, 24, 17, 16, 21], [23, 27, 26, 25], [28, 31, 30], [32, 33, 34, 37, 36]]
61: [[9, 7, 20], [1, 6, 22], [3, 35], [2, 4, 13, 5, 19], [12, 15, 11, 14], [8, 29, 10], [18, 24, 17, 16], [21, 23, 27], [26, 25, 28, 31, 30, 32], [33, 34, 37, 36]]
62: [[9, 7, 20], [1, 6, 22, 3, 35, 2, 4, 13, 5, 19, 12, 15, 11, 14, 8], [29, 10, 18, 24, 17, 16, 21, 23, 27, 26, 25, 28, 31, 30, 32, 33, 34, 37, 36]]
63: [[9, 7, 20], [1, 6, 22], [3, 35, 2, 4], [13, 5, 19, 12], [15, 11, 14, 8], [29, 10, 18], [24, 17, 16, 21], [23, 27, 26], [25, 28, 31, 30, 32, 33, 34, 37, 36]]
64: [[9, 7, 20], [1, 6], [22, 3, 35], [2, 4, 13], [5, 19, 12], [15, 11], [14, 8], [29, 10, 18], [24, 17, 16, 21], [23, 27, 26, 25], [28, 31], [30, 32, 33, 34], [37, 36]]
65: [[9, 7, 20, 1], [6, 22], [3, 35, 2, 4], [13, 5, 19], [12, 15, 11, 14, 8, 29, 10, 18, 24, 17, 16, 21, 23, 27, 26, 25, 28, 31, 30, 32, 33, 34, 37, 36]]
66: [[9, 7, 20], [1, 6, 22, 3], [35, 2, 4], [13, 5, 19, 12], [15, 11, 14], [8, 29, 10, 18], [24, 17, 16, 21], [23, 27, 26, 25], [28, 31, 30, 32], [33, 34, 37, 36]]
67: [[9, 7, 20], [1, 6, 22], [3, 35, 2], [4, 13, 5], [19, 12, 15], [11, 14, 8, 29, 10, 18, 24, 17, 16, 21, 23, 27, 26, 25, 28, 31, 30, 32, 33, 34, 37, 36]]
68: [[9, 7, 20], [1, 6, 22], [3, 35, 2], [4, 13, 5], [19, 12, 15], [11, 14, 8], [29, 10, 18], [24, 17, 16, 21], [23, 27, 26, 25], [28, 31, 30, 32], [33, 34, 37, 36]]
69: [[9, 7, 20], [1, 6, 22], [3, 35], [2, 4, 13], [5, 19, 12], [15, 11, 14, 8], [29, 10, 18], [24, 17, 16, 21], [23, 27, 26, 25], [28, 31, 30, 32, 33, 34, 37, 36]]
70: [[9, 7, 20], [1, 6, 22], [3, 35], [2, 4, 13], [5, 19], [12, 15], [11, 14, 8], [29, 10], [18, 24, 17, 16, 21, 23, 27, 26, 25, 28, 31, 30, 32, 33, 34], [37, 36]]
71: [[9, 7, 20], [1, 6, 22], [3, 35, 2], [4, 13, 5], [19, 12, 15], [11, 14, 8], [29, 10, 18], [24, 17, 16, 21], [23, 27, 26], [25, 28, 31, 30, 32, 33, 34, 37, 36]]
72: [[9, 7, 20], [1, 6, 22], [3, 35], [2, 4, 13, 5], [19, 12], [15, 11, 14, 8], [29, 10, 18, 24, 17, 16, 21, 23, 27, 26, 25, 28, 31, 30, 32, 33, 34, 37, 36]]
73: [[9, 7, 20], [1, 6, 22], [3, 35, 2], [4, 13, 5], [19, 12, 15], [11, 14, 8], [29, 10, 18], [24, 17, 16, 21], [23, 27, 26], [25, 28, 31, 30], [32, 33, 34], [37, 36]]
