0: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
33: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
34: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
35: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
36: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
37: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
38: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
39: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
40: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
41: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
42: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
43: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
44: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
45: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
46: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
47: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
48: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
49: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
50: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
51: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
52: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
53: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
54: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
55: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
56: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
57: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
58: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
59: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
