0: [[27, 21, 26], [17, 15, 1], [6, 2, 5, 7], [3, 4, 8, 11], [9, 29, 16, 18, 13, 19, 10, 12, 22, 14], [20, 25], [23, 28, 24]]
12: [[27, 21, 26], [17, 15, 1], [6, 2, 5], [7, 3, 4], [8, 9, 10, 13], [16, 11, 12], [18, 14, 20, 19], [22, 23], [25, 24, 29, 28]]
13: [[27, 21, 26], [17, 15, 1, 6, 2, 5, 7], [3, 4], [8, 9, 10, 13], [20, 19, 22, 11, 12, 14, 16, 24, 18, 23, 25, 29, 28]]
14: [[27, 21, 26], [17, 15, 1], [6, 2, 5, 7], [3, 4, 8, 11], [13, 29, 9], [16, 14, 10, 12], [22, 19], [24, 18, 23, 28, 25, 20]]
15: [[27, 21, 26], [17, 15, 1], [6, 2, 5, 7], [3, 4, 8, 9], [10, 11, 13, 18], [28, 14, 16, 19, 22, 20, 23, 25, 24, 12, 29]]
16: [[27, 21, 26], [17, 15, 1], [6, 2], [5, 7, 3, 8, 4, 10, 9, 13, 12, 18], [14, 16], [11, 19, 22], [28, 24, 23, 20, 25, 29]]
17: [[27, 21, 26], [17, 15, 1, 6], [2, 5, 7], [3, 4, 8], [9, 11, 12], [10, 13, 20, 14], [16, 18, 19], [22, 23, 24, 28, 29, 25]]
18: [[27, 21, 26], [17, 15, 1], [6, 2, 5], [7, 3, 4, 8], [11, 9, 29, 10], [13, 28, 14], [16, 12, 18, 19, 20, 22, 23, 24, 25]]
19: [[27, 21, 26], [17, 15, 1], [6, 2, 5], [7, 3, 4, 8, 11, 9], [13, 10, 12, 14], [20, 18, 24], [16, 28, 19, 23, 29, 25, 22]]
20: [[27, 21, 26], [17, 15, 1], [6, 2, 5, 7, 3, 4, 8, 11, 10, 12, 29], [14, 9, 19, 16, 28, 22, 13, 23, 25, 20, 18, 24]]
21: [[27, 21, 26], [17, 15, 1], [6, 2, 5, 7], [3, 4, 8, 9], [11, 10, 12], [14, 13, 22, 20], [16, 18, 19, 23], [25, 28, 29, 24]]
22: [[27, 21, 26], [17, 15, 1, 6, 2, 5, 7], [3, 4, 8, 11, 12, 9, 10, 14], [18, 13, 16, 19, 22, 23, 20, 24, 25, 29, 28]]
23: [[27, 21, 26], [17, 15, 1], [6, 2, 5, 7, 3, 4, 8, 11, 9, 14, 10, 12, 13, 19, 28, 16, 18, 20, 22, 24, 23], [25, 29]]
24: [[27, 21, 26], [17, 15, 1], [6, 2], [5, 7, 3, 4, 8, 11, 9, 12, 10, 13, 23, 18], [14, 16, 19, 20, 22, 25, 28, 24, 29]]
25: [[27, 21, 26], [17, 15, 1, 6, 2, 5, 7, 3, 4, 9, 11, 8, 29, 16, 12, 28, 19, 10, 23, 13, 14, 22, 25], [18, 20, 24]]
26: [[27, 21, 26], [17, 15, 1, 6], [2, 5, 7], [3, 4, 8, 9, 11, 10, 13, 14, 12, 16, 18, 19, 23, 22, 20, 24, 28, 29, 25]]
27: [[27, 21, 26], [17, 15, 1], [6, 2, 5, 7], [3, 4, 12, 11], [8, 10, 9], [13, 14], [18, 19, 24, 20, 16, 22, 25, 29, 28, 23]]
28: [[27, 21, 26], [17, 15, 1], [6, 2, 5], [7, 3, 4, 8, 9], [10, 29], [12, 11, 13], [22, 14, 25, 16, 18, 23, 19, 20, 28, 24]]
29: [[27, 21, 26], [17, 15, 1, 6], [2, 5, 7, 3, 4, 12, 11, 9, 14, 19, 8], [13, 10], [16, 20, 18, 24, 22, 29, 23, 28, 25]]
30: [[27, 21, 26], [17, 15, 1, 6, 2, 5, 7, 3, 4, 8, 9, 11, 12, 13, 14, 16, 10, 20, 22, 18, 23, 24, 19], [28, 25, 29]]
31: [[27, 21, 26], [17, 15, 1], [6, 2, 5], [7, 3, 4], [8, 11, 10], [9, 12, 13], [14, 18, 16, 20, 22, 28, 19, 25, 23, 24, 29]]
32: [[27, 21, 26], [17, 15, 1], [6, 2], [5, 7, 3], [4, 8, 9, 11], [10, 12, 14, 13, 18, 19, 16, 22, 20, 23, 25, 28, 24, 29]]
33: [[27, 21, 26], [17, 15, 1], [6, 2, 5], [7, 3, 4, 9], [11, 8, 10, 16, 13, 20, 23, 19, 12], [14, 22, 18, 24, 29, 28, 25]]
34: [[27, 21, 26], [17, 15, 1, 6, 2, 5, 7, 3, 4, 8, 11], [9, 10, 28, 13, 12, 18, 14, 20, 22, 19, 24, 23], [16, 29, 25]]
35: [[27, 21, 26], [17, 15, 1], [6, 2, 5, 7], [3, 4, 12, 11, 9, 8, 16, 10], [28, 14], [13, 19, 18, 20, 23, 22, 24, 29, 25]]
36: [[27, 21, 26], [17, 15, 1], [6, 2, 5, 7], [3, 4, 8, 11], [9, 10, 16, 13], [14, 12, 22], [18, 20], [19, 23, 24, 28, 29, 25]]
37: [[27, 21, 26], [17, 15, 1], [6, 2], [5, 7, 3], [4, 8, 9, 10, 11, 12, 14, 13, 18, 20, 24, 16, 22, 19, 23, 25, 29, 28]]
38: [[27, 21, 26], [17, 15, 1], [6, 2, 5], [7, 3], [8, 9, 11, 10], [12, 28, 19, 13, 16, 18, 20, 22, 23, 24, 25, 29, 4, 14]]
39: [[27, 21, 26], [17, 15, 1], [6, 2, 5, 7, 3], [4, 9, 11], [8, 10, 16], [13, 12, 18], [22, 23, 14, 20, 19], [24, 29, 28, 25]]
40: [[27, 21, 26], [17, 15, 1], [6, 2, 5, 7, 3, 4, 8, 9, 11, 12], [10, 13, 24, 16, 14, 18, 23, 19], [22, 20], [28, 29, 25]]
41: [[27, 21, 26], [17, 15, 1], [6, 2, 5], [7, 3, 4], [9, 11, 8, 10, 16], [13, 20, 19, 18, 28, 12], [14, 22, 24, 23, 29, 25]]
42: [[27, 21, 26], [17, 15, 1], [6, 2, 5], [7, 3, 4], [8, 9, 10, 12], [13, 11, 14], [18, 22, 20, 19], [16, 23], [25, 24, 29, 28]]
43: [[27, 21, 26], [17, 15, 1], [6, 2, 5], [7, 3, 4], [8, 11, 10], [12, 9, 13, 20], [14, 18, 16], [23, 22, 19, 24, 28, 29], [25]]
44: [[27, 21, 26], [17, 15], [1, 6, 2, 5, 7, 3, 4, 8, 14, 11, 9], [10, 12, 13, 19, 16, 22, 20, 24, 18, 28], [23, 29, 25]]
45: [[27, 21, 26], [17, 15, 1, 6], [2, 5, 7, 3], [4, 8], [11, 9, 10], [16, 13, 12, 22], [23, 14, 18, 19, 20, 24], [28, 29, 25]]
46: [[27, 21, 26], [17, 15, 1], [6, 2, 5], [7, 3, 4], [8, 9, 11, 10], [12, 14, 13], [20, 18], [16, 19, 28, 23, 22, 24, 25, 29]]
47: [[27, 21, 26], [17, 15, 1, 6], [2, 5, 7], [3, 4, 9], [8, 11, 10, 16, 13], [20, 12, 18, 23, 19], [14, 22, 24, 29, 28, 25]]
48: [[27, 21, 26], [17, 15, 1], [6, 2, 5], [7, 3, 4], [8, 11, 9, 13], [16, 10, 12], [19, 14, 20, 23], [22, 18, 25, 28], [24, 29]]
49: [[27, 21, 26], [17, 15, 1, 6], [2, 5, 7], [3, 4, 12], [9, 11, 10, 14], [8, 22, 13], [16, 18, 19, 20, 23, 24], [28, 29, 25]]
50: [[27, 21, 26], [17, 15, 1, 6], [2, 5, 7, 3], [4, 8], [11, 10, 13], [9, 12, 14], [18, 20, 16, 22, 19, 23, 24, 28], [25, 29]]
51: [[27, 21, 26], [17, 15], [1, 6, 2, 5], [7], [3, 4, 9], [11, 8, 13, 20], [29, 12, 10, 22], [23, 14, 16], [18, 19, 24, 25, 28]]
52: [[27, 21, 26], [17, 15, 1], [6, 2], [5, 7, 3, 4, 12, 11, 9, 25], [13, 8, 20], [10, 19, 18], [14, 28, 16, 22], [23, 24, 29]]
53: [[27, 21, 26], [17, 15, 1], [6, 2, 5, 7, 3], [4, 8, 11, 9], [29, 16, 18], [13, 14, 12, 28], [22, 10, 20, 23], [19, 25, 24]]
54: [[27, 21, 26], [17, 15, 1], [6, 2, 5, 7, 3, 4], [8, 9, 11, 10], [28, 12, 13, 22, 18], [20, 14], [16, 19, 25], [23, 29, 24]]
55: [[27, 21, 26], [17, 15, 1, 6], [2, 5, 7, 3], [4, 8, 11, 9], [10, 16, 13], [18, 19, 22, 12], [28, 14], [20, 24], [23, 29, 25]]
56: [[27, 21], [26, 17, 15, 1, 6, 2, 5, 7, 3, 4, 8, 11, 9, 10, 12, 13, 14, 18, 19, 16, 22, 20, 23, 24, 25, 29], [28]]
57: [[27, 21, 26, 17], [15, 1], [6, 2, 5], [7, 3, 4, 8, 11, 13, 12], [9, 19, 14], [18, 16, 28, 23, 10], [20, 22], [25, 29, 24]]
58: [[27, 21, 26, 17], [15, 1, 6], [2, 5, 7], [3, 4, 12, 11], [9, 8, 13], [10, 14, 18, 23], [22, 16, 20, 19], [25, 24, 29, 28]]
59: [[27, 21, 26, 17, 15, 1, 6, 2, 5, 7, 3], [4, 12, 11, 10, 13, 8, 14, 18], [20, 16, 19, 23, 22, 25, 24, 29, 28, 9]]
