0: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 5, 14, 12, 6, 10, 21], [29, 9, 8, 31, 15, 23, 24, 17, 16], [28, 22], [19, 25, 20, 30, 26, 37, 36, 32, 41, 33], [39, 34], [47, 45], [38, 43, 44, 40, 42, 46, 51, 52, 48, 18], [49, 57], [50, 53, 55, 54, 56, 59, 60, 58]]
27: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6], [8, 5, 15], [14, 9, 25, 12, 10, 16, 23, 17, 22, 18, 26], [28, 19, 29, 20, 24, 30, 39, 38, 31, 33, 36, 37, 32, 34, 43, 47, 40, 42, 45, 44, 46, 54, 57, 41, 52, 48, 51, 53, 50, 55, 56, 58, 49, 59, 60]]
28: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6, 8, 5, 10, 28, 9, 12, 14, 15, 22, 17, 16, 18, 23], [20, 24, 19, 26, 30, 25, 31, 29, 36, 38, 33, 40, 34, 37, 32], [44, 43, 47, 39, 41, 42, 46, 49, 54, 45, 48, 53, 58, 50, 55, 51], [52, 57, 56, 59, 60]]
29: [[27, 11, 35, 7, 2], [1, 3, 5, 13, 21], [6, 10, 4, 8, 24, 12, 31, 14, 15, 9, 17, 16, 22, 18, 29], [20, 19, 28], [30, 26], [25, 32, 47, 23, 36, 34, 39, 33, 37, 38, 45, 44], [43, 40, 41, 42, 48, 55, 51, 49, 46, 60, 54, 53, 50, 52, 56, 58, 59, 57]]
30: [[27, 11, 35, 7, 2], [1, 3, 5, 13, 21, 6, 24, 4, 8], [12, 9, 10, 14, 25, 30, 16, 19, 18, 22, 15, 17, 23, 26, 20, 29, 28, 31, 36, 37, 33, 32, 34, 38, 43, 47, 44, 45, 39, 41, 48, 42, 59, 55, 49, 52, 40, 50, 46, 51, 53, 54, 56, 57, 58, 60]]
31: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 14, 28, 5, 8, 26, 9, 21, 6], [15, 16, 18, 12, 19, 17, 20, 22, 10], [23, 24, 29, 25, 31, 50, 47, 30, 33, 34, 38, 37, 39, 32, 36, 41, 42, 40, 45, 48, 44, 43, 49, 52, 46, 56, 54, 53, 51, 55, 59, 57, 58, 60]]
32: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6], [8, 5, 26], [14, 9, 12], [15, 17, 16, 18, 24], [19, 20, 10, 31, 22, 28, 23, 29, 25, 30, 40, 32, 34, 33, 37], [36, 38, 42, 39, 44, 43, 46, 54, 47, 45, 41, 53, 48, 55, 49, 52], [50, 56, 60, 57, 58, 51, 59]]
33: [[27, 11, 35, 7, 2], [1, 3, 5, 13, 21, 6, 10, 4, 8, 14, 15, 9, 12, 23, 26, 25, 19, 28, 22, 17, 20, 18, 16, 24, 29, 31, 30, 34, 33], [32, 37, 36, 38, 39, 43, 44, 45, 41, 40, 48, 42, 46], [53, 47, 51, 50, 49, 54, 55, 56, 57, 52, 59, 58, 60]]
34: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6, 8, 5, 14, 28, 10], [9, 15], [12, 22, 17, 16, 18, 23, 19, 20, 24, 30, 26, 25, 31, 29, 36, 38, 33, 41, 39, 34, 32, 44, 43, 47, 37, 42, 52, 45, 46, 40, 49, 50, 53, 59, 51, 54, 48, 55, 56, 57, 58, 60]]
35: [[27, 11, 35, 7, 2], [1, 3, 5], [13, 21, 6, 9], [4, 14, 12, 8, 15, 20, 16, 18, 17, 10, 19, 22, 28, 25, 23, 26, 30, 29, 24, 41], [47, 31, 32, 34, 39, 33], [37, 38, 36, 40, 43, 42, 53, 44, 60, 45, 49], [46, 48, 50, 51, 56, 52, 54, 57, 58, 59, 55]]
36: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 28, 12, 5, 6, 9, 8, 14], [10, 16, 18, 17, 22, 24, 20, 19, 26, 23, 25, 29, 30, 31, 42, 15, 44, 33, 34, 38, 32, 39, 36, 40, 41, 37, 43, 45, 48, 46, 55, 49, 50, 47], [56, 52, 58, 51, 54, 53, 57, 59, 60]]
37: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6, 8, 5], [30, 12, 10, 9, 31, 28, 14, 17], [24, 18], [15, 19, 20, 16, 22, 23, 25, 26, 53, 29, 40, 34, 37, 39, 38, 32, 33, 42, 44, 36, 41, 52, 45, 46, 49, 43, 50, 55, 57, 47, 54, 48, 51, 56, 60, 59, 58]]
38: [[27, 11, 35, 7, 2], [1, 3, 5], [13, 21, 6, 12, 4, 22, 8, 9, 14, 17, 30, 19, 20, 15, 16, 18, 10, 23, 24, 25, 29, 26, 28, 42, 31, 36, 33, 34, 37, 38, 32, 39, 40, 45, 41], [43, 46, 60, 47, 55, 44, 51, 49, 56, 50, 53, 54, 48, 58, 52, 59, 57]]
39: [[27, 11, 35, 7, 2], [1, 3, 5], [13, 8, 4, 14, 21, 6], [12, 9, 15, 24, 17, 22, 16, 23, 19, 30, 28, 20, 25, 26, 31, 29, 36, 32, 10], [33, 41, 43, 34, 39, 38, 40, 42, 44, 46, 37, 52, 45, 47, 48, 18], [55, 49, 51, 50, 53], [58, 54, 56, 57, 59, 60]]
40: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6], [8, 5], [10, 9, 12, 14, 15], [28, 30, 16], [18, 23, 20, 17, 19, 24, 26, 22], [25, 29, 31, 46, 32, 33, 34, 42, 36, 37, 43, 38, 39, 41, 45, 40, 50, 44, 53, 51, 48, 52, 57, 55, 54, 47, 56, 49, 58, 59, 60]]
41: [[27, 11, 35, 7, 2], [1, 3], [4, 13, 21, 6, 8, 5, 9, 10], [14, 12, 15, 19, 31, 16, 17, 22, 25, 18, 23, 26, 20, 24, 28, 29, 50, 40, 30, 34, 38, 47, 36, 37, 32, 42, 33, 43, 44, 39, 41, 45, 46, 48, 49, 51, 57, 53, 55, 56, 52], [58, 54, 59, 60]]
42: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6], [8, 5, 9, 10, 25, 14, 12, 19], [31, 17, 15, 18, 16, 20, 22, 23], [30, 24], [26, 28, 46, 29, 32, 33, 34, 37, 36, 38, 39, 40], [45, 41, 42, 43, 44, 47, 54, 48, 52, 49, 51, 53, 50, 55, 59, 58, 57, 56, 60]]
43: [[27, 11, 35, 7, 2], [1, 3, 5, 13, 21, 6, 9], [4, 14, 10, 24, 8, 15, 16], [22, 17, 23, 19, 18], [12, 30, 25, 31, 20, 26, 29], [33, 28, 57, 32, 38, 37, 34, 39, 36, 40, 41, 45, 42, 43, 52, 54, 47, 55, 51, 49, 58, 44, 50, 46, 56, 48, 53, 59, 60]]
44: [[27, 11, 35, 7, 2], [1, 3, 5, 13, 21, 6, 8], [4, 14, 15, 9, 12, 23, 22, 16, 10, 18, 17, 19, 24, 30, 20, 28, 31, 25, 26], [40, 29, 56, 36, 33], [32, 34, 37, 42, 39, 41, 43, 46, 51, 52, 38, 54, 44, 57, 48], [53, 50, 47, 45, 49, 58, 55, 59, 60]]
45: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6, 8], [5, 24, 12, 10, 9, 15], [18, 14, 16, 22, 17, 20], [25, 19, 23, 28, 29], [26, 30, 43, 31, 37, 32], [33, 39, 34, 38, 36], [40, 44, 45, 41, 42, 58, 54], [52, 47, 51, 46, 49, 50, 53], [48, 57, 60, 55, 56, 59]]
46: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21, 6], [8, 5, 12, 9, 10, 15], [14, 17, 16], [18, 20, 19, 23, 24, 30, 22], [25, 28, 29, 31, 40], [26, 32, 36], [33, 39, 34], [37, 38, 43, 41, 45, 42, 46], [44, 55, 47, 51, 53, 48], [57, 59, 50, 49, 52, 60, 56, 54, 58]]
47: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21, 6], [24, 5, 12], [8, 10, 9, 15, 17, 30], [18, 23, 14, 19, 31, 16, 22, 20, 26, 28], [25, 47, 29, 37, 33, 32, 34, 38, 36, 39, 40, 41, 43, 42, 44, 45, 59, 46, 49, 55], [51, 50, 54, 48, 56, 53, 57, 58, 52, 60]]
48: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6], [9, 5, 10, 14, 12], [8, 15, 18], [30, 19, 17, 16, 20, 22, 25, 24], [23, 28, 29, 26, 31, 47], [32, 33, 34, 39, 36, 40, 46, 37], [38, 41, 43, 42, 45, 44, 50, 51, 48, 52, 55, 54, 49, 53, 57, 58, 59, 56, 60]]
49: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6, 8, 5, 12, 9], [10, 15, 14, 17, 16], [18, 20, 19], [23, 24, 30, 22, 25, 28, 29, 31, 40], [26, 32, 36, 33, 39, 34, 37], [38, 43, 41, 45, 42, 46], [44, 55, 47, 51, 53, 48, 57, 59, 50], [49, 52, 60, 56, 54, 58]]
50: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6], [8, 5, 14, 12, 25, 9, 10, 19], [31, 23, 15, 18, 17, 20, 16, 22], [26, 24, 28, 30, 46, 29, 33, 34, 32, 37, 36, 38, 45, 47, 40, 39, 42, 44, 54, 41, 48, 43, 50, 52, 51, 53, 49, 55, 57, 56, 59, 58], [60]]
51: [[27, 11, 35, 7, 2], [1, 3, 5, 13, 21, 6], [9, 4, 14], [24, 10, 12], [15, 16, 8], [18, 23, 19, 17, 20], [25, 22, 26, 28, 29, 30], [46, 31, 37], [36, 32, 39, 38, 33, 34], [47, 40, 45, 41, 43], [42, 48, 44, 49, 54, 51, 57, 53, 52, 59, 56, 60, 50, 55, 58]]
52: [[27, 11, 35, 7, 2], [1, 3, 5, 13, 21], [14, 22, 4, 12, 6, 8, 10, 23, 9, 19, 17, 18, 16, 15, 25, 26, 20, 30, 28], [24, 29, 46], [31, 32, 37, 33, 34, 40, 36, 44, 38, 45, 39], [41, 42, 43, 48, 51, 50, 47, 52, 53, 55, 54, 56, 57, 49, 58, 59, 60]]
53: [[27, 11, 35, 7, 2, 1], [3, 5, 13, 21, 6], [10, 4, 8], [9, 25, 15, 12], [30, 14, 19, 26, 17, 18, 20, 23, 16, 22, 28, 24, 31, 38, 29, 36, 33, 32, 37, 39, 40, 41, 34, 44, 43, 46, 42, 47, 45, 52, 50, 48, 53, 51, 54, 49, 55, 56, 59, 57, 60, 58]]
54: [[27, 11, 35, 7, 2], [1, 3, 5, 13, 21, 6], [8, 4, 10], [24, 14, 9, 12, 31, 18], [16, 15, 17], [20, 19, 30, 22], [23, 26, 28, 25], [42, 38, 29], [32, 33, 46, 37, 39, 34, 36], [40, 41, 43, 45, 44], [47, 49, 54, 51], [52, 50, 55, 53, 48], [56, 59, 57, 58, 60]]
55: [[27, 11, 35, 7, 2], [1, 3, 5], [13, 21, 6, 8, 4, 26, 14, 12], [9, 31, 10, 15, 18, 16, 22, 23, 19, 17, 24, 28, 20, 25, 30, 37, 29, 32, 36, 38, 42, 34, 33, 39, 45, 44, 46, 43, 40, 50, 48, 53, 47, 49, 55], [41, 54, 56, 57, 52, 51, 60, 59, 58]]
56: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21, 6, 8, 5, 10, 12, 9, 26, 14, 15, 20], [22, 31, 16, 18], [19, 17, 23, 25, 28], [24, 30, 33, 60, 29, 36, 38, 37, 34, 32, 41, 42, 45, 43, 47], [40, 39, 51, 56, 46, 50, 48, 44, 53, 54, 52, 57, 49, 55, 59, 58]]
57: [[27, 11, 35, 7, 2, 1, 3, 5], [13, 21], [6, 8, 4, 12, 25, 14, 10, 15, 18, 9, 16, 20, 19, 24, 26, 17, 23, 22, 28, 29, 31, 46, 30, 32, 37, 43, 38, 34, 33, 39, 47, 41, 44, 36, 40, 42, 53, 45, 49, 52, 51, 56, 48, 54, 50, 55, 60, 57, 58, 59]]
58: [[27, 11, 35, 7, 2], [1, 3, 5, 13, 21], [6, 8, 4, 9, 12, 14, 15, 10, 16, 22, 18, 23, 17, 19, 29], [20, 30, 26, 24, 28, 25, 31, 40, 37], [33, 32, 42, 34, 36, 46, 38, 41, 43, 39, 48, 58, 44, 49, 45, 50, 47, 52, 53, 54, 51, 56, 55, 57, 60, 59]]
59: [[27, 11, 35, 7, 2, 1], [3, 4, 13, 5, 12, 8, 21, 6], [9, 30, 16, 14, 25, 24], [15, 23, 17, 19, 20, 28, 18, 10], [29, 26, 31], [38, 22, 40, 34, 36], [33, 37, 32, 46, 42, 44, 39, 43, 59, 60, 47, 45, 41, 48, 55], [52, 54, 50, 49, 51, 57, 53, 58, 56]]
60: [[27, 11, 35, 7, 2], [1, 3, 5], [13, 4, 6, 12, 9, 10, 21], [15, 8, 14, 30], [23, 16, 20, 19, 22, 17], [18, 25, 28, 24, 26], [29, 43, 31, 33, 36, 32, 42], [38, 45, 34], [39, 37, 40, 44, 41], [46, 54, 50, 48, 52, 47, 53, 51], [55, 49, 56, 58, 57, 59, 60]]
61: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6, 24, 5, 8, 9, 15, 10, 12, 16, 17], [19, 23, 18, 14, 20, 22, 25, 28, 29], [31, 26, 32, 30, 45, 33, 34, 37, 36, 41, 42, 39, 38, 43, 46, 40, 47, 44, 52, 48, 50, 49, 51, 53, 55, 54, 58, 59, 57, 56, 60]]
62: [[27, 11, 35, 7, 2], [1, 3, 5, 13, 21], [6, 12, 4, 9, 15, 25, 10, 14, 31, 8, 16, 18, 19, 17, 22, 20, 29, 26, 24, 23, 30, 46, 28, 40, 34, 36, 42, 32], [38, 45, 47, 33, 41, 44, 37, 43, 39, 54, 52, 50, 51, 48, 53, 49, 55, 56, 57, 59, 58, 60]]
63: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6, 8], [5, 10, 12, 26, 9], [15, 18, 14, 16, 22, 17], [19, 20, 30, 23, 24], [29, 28, 25, 31], [46, 39, 32, 37, 33, 34, 41], [36, 38, 40, 43, 42, 45, 60], [49, 47, 55, 44, 48, 53, 50], [54, 51, 52, 56, 58, 59], [57]]
64: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21, 6, 8, 5, 9, 14, 10, 12, 15, 16, 31], [22, 19, 23, 20, 24], [17, 26, 18, 25, 28, 30, 29, 47, 37, 33, 32, 43, 36, 34, 44, 38, 39], [41, 42, 51, 46, 54, 40, 45, 50, 48, 53, 49, 55], [52, 57, 58, 56, 59, 60]]
65: [[27, 11, 35, 7, 2, 1, 3, 4], [13, 21, 6, 8, 5, 26, 12, 9, 10, 15, 25], [14, 17, 22, 19, 18, 16, 23, 20, 24, 29, 28, 31, 53, 30, 36, 33, 32, 37, 34, 39, 38, 42, 40, 41, 43, 45, 46, 44, 49, 48, 51, 47, 56, 54, 50, 52, 55, 58, 60, 59, 57]]
66: [[27, 11, 35, 7, 2, 1], [3, 4, 13, 21, 5, 8, 6, 26, 12, 9, 10, 20, 14], [17, 19, 15, 16, 29, 25, 24, 28, 23, 22, 31, 30, 44, 40, 18, 33], [38, 37, 36, 39, 42, 32, 41, 43, 34, 45, 46, 47, 48, 53, 50, 49, 52, 54, 57, 51, 60, 55, 56, 58, 59]]
67: [[27, 11, 35, 7, 2, 1], [3, 4, 13, 21, 6], [8, 5, 12, 10, 9, 19, 15, 16, 14], [18, 23, 17, 20, 26, 30], [22, 28, 29, 24, 31, 38, 25, 32, 36, 33, 37, 39, 44, 46, 34, 40, 41, 42, 51, 45, 47, 55, 49, 48, 43, 54, 50, 52, 56, 53, 60, 59, 58, 57]]
68: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21, 6], [10, 5, 9], [24, 14, 12, 15, 16, 8], [31, 23, 18, 17, 19], [28, 20, 22, 26, 30, 25, 32, 29, 41, 37, 33], [38, 34, 45, 36, 42, 39, 47, 40, 43, 46, 54, 44, 49, 50, 53, 55, 51, 48, 58, 57, 52, 56, 59, 60]]
69: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21, 6], [29, 5, 12], [10, 15, 8], [16, 17, 18, 19, 9], [14, 20, 22, 26, 23, 30, 25, 24, 28, 46, 31, 33, 32, 36, 34, 37, 45, 38, 39, 41, 43], [40, 57, 42, 44, 51, 54, 50, 47, 48, 49, 53], [52, 60, 56, 55, 59, 58]]
70: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6, 8], [5, 9, 12, 14, 15], [18, 16, 10], [22, 17, 20, 19], [30, 24, 29, 23, 28], [31, 25, 39], [26, 46, 33, 32, 36], [38, 37, 34], [44, 41, 42, 43], [45, 47, 40], [53, 50, 52], [48, 59, 49, 51], [54, 56, 55, 58, 57], [60]]
71: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6], [8, 5, 12], [9, 10, 14], [15, 18, 25], [16, 20, 17, 19, 28, 22, 23, 30, 29, 26, 24, 31, 37, 32, 34, 43, 39, 36, 33, 38, 40, 41, 45, 42, 44, 46, 47, 54, 48, 50, 51, 52, 53, 49, 56, 55, 59, 57, 58, 60]]
72: [[27, 11, 35, 7, 2], [1, 3, 5, 13], [21, 6, 8, 4], [12, 9, 14, 15, 10, 16], [19, 17, 24, 18, 22], [20, 28], [29, 31, 26, 23, 25], [46, 38, 30, 32, 36, 34, 33], [40, 39, 42, 44, 43], [41, 47, 37, 45, 50, 48], [55, 51, 53, 58, 59], [57, 52, 49, 54, 60, 56]]
73: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6, 8, 5, 12, 9, 25, 15], [10, 19, 31, 16, 14, 18, 23], [20, 22, 17, 30, 28, 29], [26, 44, 24, 32, 34, 33, 39, 36, 37], [46, 38, 41, 40, 42, 43, 45, 47, 49, 51, 53, 48, 52, 54, 50, 55, 60, 57, 56, 58, 59]]
