0: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26], [39, 13, 50, 17, 42, 6, 21], [9, 8, 11], [30, 3, 51], [14, 29, 4], [15, 16, 5, 1, 28, 10, 18], [40, 24, 23, 12], [25, 41], [31, 33], [36, 37, 44], [46, 27, 43], [19, 20, 32], [59, 53, 45, 55], [49, 57], [52, 56], [60, 58]]
13: [[7, 35, 2, 22], [54, 48, 38], [47, 34], [26, 39, 13], [50, 17, 42], [6, 21, 9, 8], [11, 30, 3, 51], [14, 4], [15, 16, 10], [18, 5, 1, 28], [40, 29, 24], [23, 12, 25, 41, 31, 33, 37, 36, 44, 46, 27, 43], [19, 20, 32, 59, 45, 53], [55, 49, 57, 52, 56, 60, 58]]
14: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26, 39], [13, 50, 17, 42], [6, 21, 9, 8], [11, 30], [3, 51, 14], [4, 15, 16, 10], [18, 5, 1], [28, 40, 24], [12, 29, 23], [25, 41, 31], [33, 37, 36], [44, 46, 27, 43], [19, 20, 32], [59, 45, 53], [55], [49, 57, 52], [56, 60, 58]]
15: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26], [39, 13, 50, 17, 42, 6, 21], [9, 8, 11], [30, 3, 51], [14, 29, 4], [15, 16, 5, 1, 28, 10, 18], [40, 24, 23], [12, 25, 41, 31], [33, 36, 37, 44], [46, 27, 43], [19, 20, 32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58]]
16: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26, 39], [13, 50], [17, 42, 9], [6, 21], [8, 11], [30, 3, 51], [14, 29, 15], [16, 10, 18], [5, 1, 28], [40, 24], [4, 12, 23], [25, 41, 31], [33, 36, 37], [44, 46, 27], [43, 19], [20, 32, 59], [45, 53, 55], [49, 57, 52], [56, 60, 58]]
17: [[7, 35, 2], [22, 54, 48], [38, 47, 34, 26], [39, 13, 50], [17], [42, 6, 21], [9, 8, 11, 30], [3, 51, 14], [29, 15, 16], [10, 18, 5], [1, 28, 40], [24, 4, 12], [23, 41, 31], [33, 36], [37, 44, 46], [25, 27], [43, 19, 20, 32], [59, 53, 45], [55, 49, 57], [52, 56, 60, 58]]
18: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39], [13, 50, 17], [42, 6, 21], [9, 8, 11, 30], [3, 51, 14, 4], [15, 16, 10], [18, 5], [1, 28, 40], [24, 12, 23, 25], [41, 33, 31, 36], [37, 29, 44], [46, 27, 43], [19, 20, 32], [59, 53, 45, 55, 49, 57, 52], [56, 60, 58]]
19: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13, 21], [50, 17, 42], [9, 8, 11, 30, 3, 51, 6], [14], [4, 15, 10], [16, 5, 1, 28, 18], [40, 24, 12, 23], [25, 41], [31, 33, 36], [37, 44, 46], [29, 27, 43], [19, 20, 32], [59, 53, 45], [55, 49, 57, 52, 56, 60, 58]]
20: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39], [13, 50], [17, 42, 9], [6, 21], [8, 11], [30, 3, 51], [14, 29, 15], [16, 10, 18], [5, 1, 28], [40, 24], [12, 23], [25, 41], [31, 33], [36, 37, 44], [46, 4, 27], [43, 19, 20], [32, 59, 53, 45], [55, 49, 57], [52, 56, 60, 58]]
21: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39], [13, 50, 17], [42, 6, 21], [9, 8], [11, 30], [3, 51, 14], [4, 15, 16, 10], [18, 5, 1, 53], [28, 40, 12], [24, 23, 25], [41, 31, 33], [37, 36], [44, 46], [27, 43, 19], [20, 32, 59], [45, 29, 55], [49, 57, 52], [56, 60, 58]]
22: [[7, 35, 2, 22], [54, 48, 38], [47, 34], [26, 39, 13], [50, 17, 42], [21, 9, 10], [6, 8, 11], [30, 3], [51, 14, 15], [16, 18], [5, 4, 1], [53, 28, 40], [12, 24, 23], [25, 41, 31], [33, 37, 36], [44, 46], [27, 43, 19], [20, 32, 59], [45, 29, 55], [49, 57, 52], [56, 60, 58]]
23: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39], [13, 50, 17], [42, 6, 21], [9, 8, 11], [30, 3, 51], [14, 29, 15], [16, 10, 18], [5, 1], [28, 40, 24], [4, 23, 12], [25, 41, 31, 33, 36, 37, 44, 46, 27, 43, 19], [20, 32, 59, 53, 45, 55], [49, 57, 52, 56, 60, 58]]
24: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26, 39], [13, 50, 17], [42, 6, 21], [9, 8], [11, 30], [3, 51, 14], [29, 4, 15], [10, 16, 5], [1, 28], [18, 40], [24, 12, 23], [56, 25], [41, 31, 37], [33, 44], [46, 27, 43], [19, 20, 32], [59, 45, 53], [55, 49, 57], [52, 36, 60, 58]]
25: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26, 39], [13, 50], [17, 42], [5], [6, 21], [8, 11, 30], [3, 51, 14], [29, 15, 16], [10, 18], [9, 1, 28], [40, 24, 12], [23, 25], [41, 33, 31], [36, 37, 4], [44, 46, 27], [43, 19], [20, 32, 59], [53, 45, 55], [49, 57], [52], [56, 60, 58]]
26: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39], [13, 50, 17], [42, 9, 6], [21, 8], [11, 30, 3], [51, 14], [4, 15, 16], [10, 18], [5, 1, 28], [40, 24, 12], [23, 25], [41, 33, 31], [36, 37], [29, 44], [46, 27, 43], [19, 20, 32, 56], [59, 53, 55], [49, 57, 52], [45, 60, 58]]
27: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39], [13, 50, 17], [21, 42], [6, 10, 9], [8, 11, 30], [3, 51], [14, 4, 15], [16, 5, 1], [28, 40, 18], [24, 29, 12], [23, 25, 41], [31, 33], [36, 37, 45], [46, 27, 43], [19, 20, 32], [59, 53, 44], [55], [49, 57, 52], [56, 60, 58]]
28: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26, 39], [13, 50, 17], [42, 6], [21, 9, 8, 11], [30, 3, 51], [14, 4, 15], [16, 10, 18], [5], [1, 28, 40], [24, 12, 23, 25], [41, 29, 31, 33], [36, 37], [44, 46], [27, 43, 19], [20, 32], [59, 45], [53, 55, 49, 57], [52, 56, 60, 58]]
29: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26, 39], [13, 50, 17], [42, 6, 21], [9, 8], [11, 30], [3, 51, 14], [29, 4, 15], [10, 16, 5, 1], [28, 18, 40], [24, 12], [23, 56], [25, 41, 31], [33, 36, 37], [44, 46], [27, 43, 19], [20, 32, 45], [53, 55], [49, 57, 52], [59, 60, 58]]
30: [[7, 35, 2, 22], [54, 48, 38], [47, 34, 26], [39, 13, 50], [17, 42, 9], [6, 21], [8, 11, 30], [3, 51], [14, 29, 15], [16, 10, 18], [5, 1, 28], [40, 24], [12, 23, 25], [41, 31], [33, 36], [37, 44], [46, 4, 27], [43, 19, 20], [32, 59, 45], [53, 55, 49, 57], [52, 56, 60, 58]]
31: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17, 42], [9, 6], [21, 8, 11], [30, 3, 51], [14, 29], [15, 16], [10, 18], [5, 1, 28], [40, 24], [12, 23, 25], [41, 31, 33], [36, 37], [44, 46], [4, 27], [43, 19], [20, 32, 59], [53, 45, 55], [49, 57, 52], [56, 60, 58]]
32: [[7, 35, 2, 22], [54, 48, 38], [47, 34, 26], [39, 13, 50], [17, 42], [6, 21, 9], [8, 11], [30, 10, 3], [14, 4, 15], [16, 51, 18, 5], [1, 28, 40, 24], [12, 23], [25, 41, 33], [31, 36, 37, 29], [44, 46, 27], [43, 19], [20, 32, 59], [45, 53, 55], [49, 57, 52], [56, 60, 58]]
33: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26, 39], [13, 50, 17], [42, 9, 6], [21, 8, 11], [30, 3, 51], [14, 29, 15], [16, 10, 18], [5, 1], [28, 40, 24], [4, 12], [23, 25, 41], [31, 33, 36], [37, 44], [46, 27, 43], [19, 20], [32, 59, 45], [53, 55], [49, 57, 52], [56, 60, 58]]
34: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26], [39, 13, 50], [17, 42], [6, 21], [9, 8, 11], [30, 3, 51], [14, 29, 15, 16], [10, 18, 5], [1, 28], [4, 40], [24, 12, 23], [56, 25, 41], [31, 37, 33, 44, 46, 27, 43, 19, 20, 32, 59, 53, 45, 55, 49, 57, 52, 36, 60, 58]]
35: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26, 39], [13, 50], [17, 42, 6], [21, 9, 8], [11, 30, 3, 51], [14, 29, 15], [16, 10], [18, 5], [1, 28, 4], [40, 24, 12], [23, 56], [25, 41, 31], [33, 36, 37], [44, 46], [27, 43, 19], [20, 32, 45], [53, 55, 49, 57], [52, 59, 60, 58]]
36: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26], [39, 13, 50], [17, 42], [9, 6, 21], [8, 11, 30], [3, 51], [14, 4, 15], [16, 10], [18, 5, 1, 28], [40, 24, 12], [23, 25, 41], [33, 31, 36], [37, 29, 44], [46, 27, 43, 19, 20, 32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58]]
37: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26], [39, 13, 50], [17, 42, 6], [21, 9, 8], [11, 30, 3], [51, 14, 29], [15, 16, 10], [18, 5, 1], [28, 40, 24], [4, 23, 25], [41, 31, 33, 36], [12, 37, 44], [46, 27], [43, 19], [20, 32, 59], [45, 53, 55], [49, 57], [52, 56, 60, 58]]
38: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26], [39, 13, 50], [17, 42], [6, 21], [9, 8, 11], [30, 19, 14], [29, 4, 15], [1, 3, 10], [5, 28, 16], [18, 40, 24], [12, 23], [25, 41, 31], [33, 37, 36], [44, 46, 27, 43, 51, 20, 32, 59, 45, 53, 55], [49, 57, 52], [56, 60, 58]]
39: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26], [39, 13, 50], [17, 42, 9], [6, 21], [8, 11, 30], [3, 51, 14], [4, 15], [16, 10, 18], [5, 1, 28], [40, 24], [12, 23, 25], [41, 33], [31, 36], [37, 29], [44, 46, 27], [43, 19, 20], [32, 59, 45], [53, 55, 49, 57], [52, 56, 60, 58]]
40: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26], [39, 13, 50], [17, 42, 9], [6, 21], [8, 11, 30], [3, 51, 14], [4, 15], [16, 10, 18], [5, 1, 28], [40, 24], [12, 23, 25], [41, 33], [31, 36], [37, 29], [44, 46, 27], [43, 19, 20], [32, 59, 45], [53, 55, 49, 57], [52, 56, 60, 58]]
41: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26], [39, 13, 50], [17, 42], [6, 21], [9, 8, 11], [30, 3, 51], [14, 29, 4], [15, 10, 16], [5, 1], [28, 18], [40, 24, 12], [23, 56], [25, 41], [31, 33, 36], [37, 44, 46, 27], [43, 19], [20, 32, 45], [53, 55, 49], [57, 52], [59, 60, 58]]
42: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17, 42], [6, 21, 9], [8, 11, 30], [3, 51, 14], [29, 15, 16], [4, 5], [1, 28], [10, 18], [40, 24, 23], [12, 25, 41, 31], [33, 36, 37], [44, 46, 27], [43, 19, 20], [32, 59, 53], [45, 55], [49, 57, 52], [56, 60, 58]]
43: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17, 42], [6, 10], [21, 8, 11], [30, 3, 51], [14, 29, 15, 16, 9, 18, 5, 1, 28, 40, 24, 4, 12, 23, 25, 41, 31, 33, 36, 37, 44, 46, 27, 43, 19, 20, 32, 59], [53, 45, 55, 49, 57, 52], [56, 60, 58]]
44: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39], [13, 50], [17, 42, 6], [21, 9, 8], [11, 30, 3], [51, 14, 4], [15, 16, 10], [18, 5, 1], [28, 40], [24, 12, 23], [25, 41, 33], [31, 36, 37], [29, 44, 46], [27, 43], [19, 20], [32, 59], [53, 45, 55], [49, 57, 52], [56, 60, 58]]
45: [[7, 35, 2, 22, 54, 48, 38], [47, 34, 26], [39, 13, 50], [17, 42], [6, 21, 9], [8, 11], [30, 3], [51, 14, 4, 15], [16, 10], [18, 5, 1], [28, 40, 24], [12, 23, 25], [41, 33, 31, 36], [37, 29, 44, 46], [27, 43, 19, 20, 32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58]]
46: [[7, 35, 2, 22], [54, 48, 38], [47, 34, 26], [39, 13, 50], [17, 42, 6], [21, 9], [8, 11], [30, 3], [14, 28, 15], [51], [10, 16, 29], [1, 5, 4], [18, 40], [24, 25], [12, 41, 33], [31, 36, 37], [23, 19], [44, 46], [27, 43], [20, 32, 59], [45, 53, 55], [49, 57, 52], [56, 60, 58]]
47: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26, 39], [13, 50, 17], [42, 6, 21], [9, 8, 11], [30, 3, 51], [14, 4, 15], [10, 16, 5], [1, 28, 18], [40, 24, 12], [23, 25, 41, 33], [31, 36, 37], [29, 44, 46], [27, 43], [19, 20, 32], [59, 53, 45], [55, 49], [57, 52], [56, 60, 58]]
48: [[7, 35, 2], [22, 54, 48, 38], [47, 34], [26, 39], [13, 50], [17, 42, 9, 6], [21, 8, 11], [30, 3, 51], [14, 29, 15], [16, 10, 18], [5, 1, 28], [40, 24], [12, 23], [25, 41], [31, 33], [36, 37, 44], [46, 4, 27], [43, 19, 20], [32, 59, 53, 45], [55, 49, 57], [52, 56, 60, 58]]
49: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17], [42, 6, 21], [9, 8], [11, 30, 3], [51, 14, 4], [15, 16, 10], [18, 5, 1], [28, 29, 40], [24, 12, 23], [56, 25, 41], [31, 33, 37], [44, 46, 27], [43, 19, 20, 32], [59, 45, 53, 55], [49, 57, 52, 36, 60, 58]]
50: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17, 21, 42], [6, 10, 9], [8, 11, 31, 51], [14, 4], [15, 16, 3], [18, 5, 1], [28, 40], [24, 12, 23], [25, 41, 33], [30, 36], [37, 29, 44], [46, 27], [43, 19, 20], [32, 59, 45, 53], [55, 49, 57], [52, 56], [60, 58]]
51: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 21, 17], [42, 9], [8, 11], [30, 3, 51], [14, 29, 4], [15, 6, 10], [1, 5, 28, 16, 18, 40, 24, 23, 12, 25, 41], [31, 33, 36], [37, 44, 46, 27, 43, 19, 20, 32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58]]
52: [[7, 35], [2, 22], [54, 48, 38], [47, 34], [26, 39, 13], [50, 17, 42], [6, 21], [9, 8, 11], [30, 3, 51], [14, 29, 15], [16, 10, 18], [4, 1, 5], [28, 40, 12], [24, 23], [25, 41], [31, 33, 37], [36, 44, 46], [27, 43, 19], [20, 32, 59], [45, 53, 55], [49, 57, 52, 56, 60, 58]]
53: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26], [39, 13, 50, 17, 42, 6, 21], [9, 8, 11], [30, 3, 51], [14, 29, 4, 15], [16, 5], [1, 28, 10], [18, 40, 24], [23, 12, 25], [41, 31, 33], [36], [37, 44, 46], [27, 43, 19], [20, 32, 59, 53, 45, 55, 49, 57], [52, 56, 60, 58]]
54: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17, 42], [9, 8, 11], [6, 21], [30, 3, 51], [14, 28], [15, 16], [10, 18, 5], [1, 29, 40], [24, 12], [23, 25, 4], [41, 31, 33, 36], [37, 44], [46, 27], [43, 19], [20, 32, 59], [53], [45, 55, 49], [57, 52, 56], [60, 58]]
55: [[7, 35], [2, 22], [54, 48, 38], [47, 34, 26], [39, 13, 50], [17, 21, 42], [9, 6, 8], [11, 30, 3], [51, 14, 4], [15, 10, 16, 5], [18, 29], [1, 28], [40, 24, 23], [12, 25], [41, 31, 33], [36, 37, 44], [46, 27, 43], [19, 20, 32], [59, 53], [45, 55], [49, 57, 52], [56, 60, 58]]
56: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17], [42, 6, 21], [9, 8], [11, 30, 3], [51, 14, 29], [15, 16, 10], [18, 5, 1], [28, 4, 40], [24, 12, 23, 56], [25, 41, 31, 37, 33, 44, 46, 27, 43, 19, 20, 32, 59, 45, 53, 55, 49, 57, 52, 36, 60, 58]]
57: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17], [42, 9], [6, 21, 8], [11, 30, 3], [51, 14], [28, 15, 16], [10, 18, 1], [5, 4], [29, 12, 40], [24, 23, 25], [41, 31, 33], [37, 36, 44], [46, 27, 43], [19, 20, 32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58]]
58: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17, 42], [6, 21, 9, 8], [11, 30, 3], [51, 14, 29], [15, 16, 10], [5, 1, 4], [28, 18], [40, 24], [23, 12, 25, 41, 31, 33, 36], [37, 44], [46, 27, 43, 19, 20, 32, 59, 53, 45, 55, 49, 57, 52, 56, 60, 58]]
59: [[7, 35], [2, 22, 54], [48, 38, 47], [34, 26, 39], [13, 50, 17], [42, 6, 21], [9, 10, 8], [30, 3], [51, 14, 29], [4, 15, 11], [16, 5, 1], [28, 40], [24, 12, 23], [25, 41, 31], [33, 36, 37], [44, 46, 18], [27, 43, 19], [20, 32, 59], [45, 53, 55], [49, 57, 52], [56, 60, 58]]
60: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17, 42], [6, 9, 21], [8, 11], [30, 3, 51], [14, 29, 15], [16, 10], [18, 5, 1], [28, 40, 24], [4, 12, 23, 25, 41, 31, 33, 37, 36, 56, 44, 46, 27, 43, 19, 20, 32, 45, 53, 55, 49, 57, 52, 59, 60, 58]]
61: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17, 42], [6, 9, 21], [8, 11], [30, 3, 51], [14, 29, 15], [16, 10], [18, 5, 1], [28, 40, 24], [4, 12, 23, 25, 41, 31, 33, 37, 36, 56, 44, 46, 27, 43, 19, 20, 32, 45, 53, 55, 49, 57, 52, 59, 60, 58]]
62: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13, 50], [17, 42, 6], [10, 21, 8, 11, 30, 3, 51], [14], [29, 15, 16], [9, 18, 5, 28, 1], [40, 4, 24, 12], [23, 25], [41, 31, 33], [36, 37], [44, 46], [27, 43, 19], [20, 32, 59], [45, 53, 55, 49, 57, 52, 56, 60, 58]]
63: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26], [39, 13, 50], [17, 42], [6, 21, 9], [8, 11], [30, 3], [51, 14, 4], [15, 16], [10, 18, 5, 1, 28, 40, 24, 12, 23, 25, 41, 33, 31, 36, 37, 29, 44, 46, 27, 43, 19, 20, 32, 59, 53, 45, 55, 49, 57, 52, 56, 60, 58]]
64: [[7, 35, 2], [22, 54], [48, 38, 47, 34], [26, 39, 13], [50, 17, 21, 42, 6, 10, 9], [8, 11, 30, 3], [51, 14], [15, 16], [18, 5, 1], [28, 40, 12], [24, 4, 29], [23, 25, 41, 31], [33, 36], [37, 45], [46, 27], [43, 19, 20, 32, 59, 53, 44, 55, 49, 57, 52, 56, 60, 58]]
65: [[7, 35, 2], [22, 54, 48], [38, 47, 34, 26], [39, 13, 50], [17, 42], [9, 6, 21, 8], [11, 30, 3], [51, 14, 4], [15, 16, 10, 18, 5, 1, 28, 40, 24, 29, 12, 23, 25, 41, 31, 33, 36, 37, 44, 46, 27, 43, 19, 20, 32, 59, 53, 45, 55, 49, 57, 52, 56, 60, 58]]
66: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17, 42], [6, 21], [9, 8], [11, 30, 3], [51, 14], [29, 15], [16, 10, 18, 5, 1], [28, 40, 24, 4], [12, 23, 25, 41, 31, 33, 36, 37, 44, 46, 27, 43, 19, 20, 32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58]]
67: [[7, 35], [2, 22, 54], [48, 38], [47, 34, 26], [39, 13, 50], [17, 42, 6], [21, 9, 8], [11, 30, 3], [51, 14, 4], [15, 16], [10, 18, 5], [1, 28, 40], [24, 12], [23, 25, 41], [33, 31], [36, 37, 29], [44, 46], [27, 43, 19], [20, 32, 59], [45, 53, 55], [49, 57, 52], [56, 60, 58]]
68: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17], [42, 9], [6, 21, 8], [11, 30, 3], [51, 14, 29, 15, 16, 10, 18, 5, 1, 28, 40, 24, 4, 12, 23, 25, 41, 31, 33, 36, 37, 44, 46, 27, 43, 19, 20, 32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58]]
69: [[7, 35, 2, 22], [54, 48, 38], [47, 34, 26], [39, 13], [50, 17, 42], [6, 21, 9], [8, 11], [30, 3, 46], [29, 4, 15], [14, 10], [16, 5, 1], [28, 40], [24, 12, 23], [25, 41, 33], [31, 36, 37], [18, 44], [51, 27], [43, 19], [20, 32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58]]
70: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26, 39], [13, 50, 17], [42, 6, 21], [9, 8, 11, 30], [3, 51, 14, 4], [15, 10], [18], [16, 5, 1, 28], [40, 24, 23, 25], [12, 41, 33, 31], [36, 37, 29], [44, 46, 27, 43, 19, 20, 32, 59], [53, 45, 55, 49, 57, 52, 56, 60], [58]]
71: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26], [39, 13, 50], [17, 53], [42, 6, 10], [9, 8, 11], [30, 3], [51, 14, 15], [16, 18, 5], [4, 1, 28, 40], [24, 12, 23], [25, 41, 33], [31, 36, 37], [29, 44, 46], [27], [43, 19, 20], [32, 59, 21], [45, 55, 49, 57, 52, 56, 60, 58]]
72: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39], [13, 50], [17, 42, 9], [21, 6], [8, 11], [30, 3, 51], [14, 29, 4], [15, 16, 5, 1], [28, 10, 18], [40, 24], [23, 12], [25, 41, 31], [33, 36, 37], [44, 46, 27], [43, 19], [20, 32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58]]
73: [[7, 35, 2], [22, 54, 48], [38, 47, 34, 26], [39, 13, 50, 17], [42, 9, 6, 21, 8, 11, 30, 3, 51], [14, 29, 15, 16, 10, 18, 5, 1, 28, 40, 24, 12, 23, 25, 41, 31, 33, 36, 37, 44, 46, 4, 27, 43, 19], [20, 32, 59, 53, 45, 55, 49, 57, 52, 56, 60, 58]]
