0: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10, 27, 20, 6], [29, 24], [19, 21, 15], [16, 18, 17], [28, 25, 26], [31, 30, 23, 32, 35, 33, 34], [36, 37]]
11: [[7, 22, 2, 1, 3, 4, 5], [14, 8], [12], [11, 13, 9, 10, 27, 20, 6, 29, 15, 19, 21, 17], [16, 18, 24], [26, 25, 30, 31, 28, 23, 32, 35, 33, 34, 36, 37]]
12: [[7, 22, 2, 1, 3], [4, 5], [14, 8, 12], [11, 13, 9], [10, 27, 20], [6, 29, 15, 19], [21, 17, 16], [18, 25, 28, 24, 26, 31], [30, 23, 32, 35, 33, 34], [36, 37]]
13: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13, 9, 10, 27, 20, 6, 29, 15, 19, 21, 17], [16, 26, 23, 31, 25, 18, 28, 24, 30, 32, 35, 33, 34, 36, 37]]
14: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9], [10, 27, 20, 6], [29, 15, 19, 21, 17, 16], [18, 31, 25, 24, 26, 30], [28, 23, 32, 35, 33, 34, 36, 37]]
15: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13, 9, 10, 27, 20, 6, 29], [15, 19, 21, 17, 16], [18, 25, 26, 30, 24], [31, 28, 23, 32, 35, 33, 34, 36, 37]]
16: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13, 9, 10, 27, 20, 6, 29], [15, 19, 21, 17, 16], [18, 25, 26, 30, 24], [31, 28, 23, 32, 35, 33, 34, 36, 37]]
17: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10, 27, 20, 6], [29, 31], [19, 21, 15], [16, 18, 17], [28, 24, 26], [25, 30, 23, 32, 35], [33, 34, 36, 37]]
18: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11], [13, 9], [10, 27, 20, 6, 29, 15], [19, 21, 17, 16, 30, 18, 23], [25, 26, 28, 31, 24, 32], [35, 33, 34], [36, 37]]
19: [[7, 22, 2, 1, 3], [4, 5, 14, 8, 12, 11, 13, 9, 10, 27, 20, 6, 29, 15, 19], [21, 16, 17, 23, 24, 25, 31, 18, 26, 30, 28, 32, 35, 33, 34, 36, 37]]
20: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10, 27, 20, 6], [29, 15, 19, 21, 17], [16, 18, 25, 26, 30, 24], [31, 28, 23, 32, 35, 33, 34, 36, 37]]
21: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10, 27, 20, 6], [29, 31, 19, 21, 15, 16, 18, 17, 28, 24, 25, 26, 30, 23, 32, 35, 33, 34, 36, 37]]
22: [[7, 22], [2, 1, 3], [4, 5, 14, 8, 12, 11], [13, 9, 10, 27, 20], [6, 29], [28, 15, 21], [19, 16, 18, 17, 24], [25, 26, 23, 30, 31, 32, 35, 33, 34, 36, 37]]
23: [[7, 22], [2, 1, 3], [4, 5, 14, 8, 12, 11], [13, 9, 10, 27, 20], [6, 29], [24, 19, 21], [15, 16, 18], [17, 28, 25], [26, 31, 30], [23, 32, 35, 33, 34, 36, 37]]
24: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13, 9, 10, 27], [20, 6, 29, 15, 19, 21, 17, 16, 18, 25, 26, 30, 24, 31, 28, 23, 32, 35, 33, 34, 36, 37]]
25: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10, 27, 20, 6, 29], [24, 19], [21, 15, 16], [26, 17, 31], [25, 18, 28], [23, 30, 32], [35, 33, 34], [36, 37]]
26: [[7, 22, 2, 1, 3], [4, 5, 14, 8, 12, 11], [13, 9, 10, 27, 20], [6, 29, 15, 19, 21, 25, 16, 18, 17, 28], [23, 26, 31, 24, 30, 32, 35, 33, 34, 36, 37]]
27: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10, 27, 20], [6, 29, 15, 19, 21, 25, 16, 26], [18, 31, 23, 17, 24, 30], [28, 32, 35, 33, 34], [36, 37]]
28: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10, 27, 20, 6, 29, 15], [19, 21], [17, 16, 26, 23, 18, 25, 30, 31, 24, 28, 32, 35, 33, 34, 36, 37]]
29: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13, 9, 10, 27, 20, 6, 29, 31, 19, 21, 15], [16, 17, 30, 25, 18, 23, 28, 26, 24, 32, 35, 33, 34, 36, 37]]
30: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10, 27, 20, 6], [29, 15], [19, 21, 17], [16, 18, 25], [28, 26, 24], [31, 30, 23, 32, 35, 33], [34, 36, 37]]
31: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10], [27, 20, 6, 29, 26, 19, 21], [15, 16], [18, 17], [30, 25, 24, 31, 23, 28, 32, 35, 33, 34, 36, 37]]
32: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10, 27, 20, 6], [29, 15, 19, 21, 24], [16, 18, 17, 26, 25, 28, 31], [30, 23], [32, 35, 33, 34, 36, 37]]
33: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10, 27, 20, 6, 29, 24], [19, 21], [15, 16, 18, 17, 28, 25, 31, 26, 30, 23, 32, 35, 33, 34, 36, 37]]
34: [[7, 22, 2, 1, 3], [4, 5, 14, 8], [12, 11, 13], [9, 10, 27, 20], [6, 29, 15, 19, 21], [25, 16], [18, 17, 26, 24], [28, 31, 30], [23, 32, 35, 33, 34], [36, 37]]
35: [[7, 22, 2, 1, 3, 4, 5], [14, 8, 12, 11, 13, 9], [10, 27, 20, 6, 29, 15, 19, 21, 17], [16, 18, 25, 26, 31, 24, 30, 28, 23, 32, 35, 33, 34, 36, 37]]
36: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11], [13, 9, 10, 27, 20], [6, 29, 31, 19, 15, 25, 16, 18, 17], [26, 21, 24, 30, 28, 23, 32, 35, 33, 34, 36, 37]]
37: [[7, 22, 2, 1], [3, 4], [5, 14, 8, 12, 11, 13, 9, 10, 27, 20, 6, 29, 15, 19, 21, 17, 16, 18, 28, 26, 24, 23, 30, 31, 25, 32, 35, 33, 34, 36, 37]]
38: [[7, 22, 2, 1, 3, 4], [5, 14, 8], [12, 11, 13], [9, 10, 27, 20, 6, 29, 24], [19, 21, 15, 16, 18, 17, 26, 28, 25, 31, 30, 23, 32, 35, 33, 34, 36, 37]]
39: [[7, 22, 2, 1, 3], [4, 5, 14, 8, 12, 11, 13], [9, 10, 27, 20, 6, 29], [15, 19, 21], [17, 16, 18], [23, 24, 25, 28, 31, 26], [30, 32, 35], [33, 34, 36, 37]]
40: [[7, 22], [2, 1], [3, 4, 5, 14, 8, 12, 11, 13, 9, 10, 27, 20], [6, 29, 15, 19, 21, 25, 16, 26, 17, 24, 18, 28, 30, 23, 31, 32, 35, 33, 34, 36, 37]]
41: [[7, 22, 2, 1, 3, 4, 5, 14, 8, 12, 11, 13, 9, 10, 27, 20, 6, 29], [15, 19, 21, 17, 16, 18, 24, 25], [26, 28, 30, 31, 23, 32, 35, 33, 34, 36, 37]]
42: [[7, 22, 2, 1], [3, 4, 5], [14, 8, 12, 11], [13, 9, 10, 27, 20], [6, 29, 17, 19, 21, 15, 16, 18, 23, 24], [25, 26, 30, 28, 31], [32, 35, 33, 34, 36, 37]]
43: [[7, 22], [2, 1, 3, 4, 5, 14, 8, 12, 11], [13, 9, 10, 27, 20, 6, 29, 15, 19, 21, 25, 16, 18, 17, 23, 28, 26, 31, 24, 30, 32, 35, 33, 34, 36, 37]]
44: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12], [11, 13, 9], [10, 27, 20, 6], [29, 16, 19, 21, 15], [17, 30, 23, 18, 25, 26, 31, 28, 24, 32], [35, 33, 34, 36, 37]]
45: [[7, 22, 2, 1], [3, 4, 5, 14, 8, 12], [11, 13, 9], [10, 27, 20], [6, 29, 15, 19, 21, 17], [16, 18, 23], [24, 25, 26, 31, 30, 28, 32], [35, 33], [34, 36, 37]]
46: [[7, 22, 2, 1, 3], [4, 5, 14], [8, 12, 11, 13, 9], [10, 27, 20, 6, 29, 16, 15, 21, 19, 17, 18], [23, 25, 31, 26, 24, 30, 28, 32, 35, 33, 34, 36, 37]]
47: [[7, 22, 2, 1, 3], [4, 5, 14, 8, 12, 11, 13], [9, 10, 27, 20, 6, 29], [15, 19, 21, 17, 16, 18], [23, 24, 25, 30, 28, 26], [31, 32, 35, 33, 34], [36, 37]]
48: [[7, 22], [2, 1, 3, 4, 5], [14, 8, 12, 11, 13, 9], [10, 27, 20, 6, 29, 15, 19, 21, 17, 16, 18, 30, 23, 25, 28, 24, 26, 31, 32, 35, 33, 34, 36, 37]]
49: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12], [11, 13], [9, 10], [27, 20, 6], [29, 15], [19, 21, 31, 16, 17, 18, 23, 25, 24, 28, 30, 26, 32, 35, 33, 34, 36, 37]]
50: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10, 27, 20, 6], [29, 28, 19, 21, 15, 16], [18, 17, 23, 25, 26, 30], [24, 31, 32, 35, 33, 34, 36, 37]]
51: [[7, 22], [2], [1, 3, 4, 5, 14, 8, 12, 11, 13, 9, 10, 27], [20, 6, 29], [15, 19, 21, 17, 16, 18, 24, 26, 25, 30, 31, 28], [23, 32, 35, 33, 34, 36, 37]]
52: [[7, 22], [2, 1, 3, 4, 5, 14, 8, 12, 11, 13], [9, 10, 27], [20, 6, 29, 28, 19, 21, 15], [16, 18], [23, 17, 25, 24, 31, 26, 30, 32, 35, 33], [34, 36, 37]]
53: [[7, 22, 2], [1, 3, 4, 5], [14, 8, 12, 11, 13, 9], [10, 27, 20], [6, 29, 15, 19, 21, 17, 16, 23, 18, 28, 25, 26, 24, 31, 30, 32, 35, 33, 34, 36, 37]]
54: [[7, 22, 2], [1, 3, 4, 5], [14, 8, 12, 11, 13], [9, 10, 27, 20, 6, 29, 31, 19, 21, 15], [17, 26, 16, 18, 25], [23, 30, 28, 24, 32, 35, 33, 34, 36, 37]]
55: [[7, 22, 2, 1, 3, 4, 5, 14, 8, 12, 11, 13, 9, 10, 27, 20, 6, 29, 15, 19], [21, 17, 16, 26, 18, 23, 25, 30, 24, 31, 28, 32], [35, 33, 34, 36, 37]]
56: [[7, 22, 2, 1, 3, 4], [5, 14, 8], [12, 11, 13, 9], [10, 27, 20, 6, 29], [15, 19, 21, 17, 16, 18, 23, 24, 26, 25, 31, 28], [30, 32, 35, 33, 34, 36, 37]]
57: [[7, 22, 2, 1, 3], [4, 5, 14, 8, 12], [11, 13], [9, 10, 27, 20], [6, 29, 15], [19, 21, 17], [16, 18, 23], [24, 25, 26, 30, 28, 31], [32, 35, 33, 34, 36, 37]]
58: [[7, 22], [2, 1, 3], [4, 5, 14, 8, 12, 11], [13, 9, 10, 27, 20], [6, 29], [31, 19, 21, 18, 16, 15, 17, 24, 25, 26, 23, 30, 28, 32, 35], [33, 34, 36, 37]]
59: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10, 27, 20, 6], [29, 15, 19, 21, 17, 16, 18], [23, 28, 26], [30, 31, 24, 25, 32, 35, 33, 34, 36, 37]]
60: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10, 27, 20, 6], [29, 15], [19, 21, 17, 16, 18], [25, 24], [26, 30, 31, 28, 23, 32, 35, 33, 34, 36, 37]]
61: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10, 27, 20, 6], [29, 15], [19, 21, 17], [16, 18, 25, 28, 24, 26, 31, 30, 23, 32, 35], [33, 34, 36, 37]]
62: [[7, 22, 2, 1, 3, 4, 5], [14, 8], [12], [11, 13, 9, 10, 27, 20, 6, 29, 15, 19, 21, 24], [16, 26, 17], [18, 25, 30, 28, 31], [23, 32, 35], [33, 34, 36, 37]]
63: [[7, 22, 2, 1, 3], [4, 5, 14], [8, 12, 11, 13], [9, 10, 27], [20, 6, 29, 15, 19, 21, 17], [16, 18], [28, 24, 25, 26, 30, 31, 23, 32, 35, 33, 34, 36, 37]]
64: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10], [27, 20], [6, 29], [15, 19], [21, 17, 16], [18, 23, 30], [25, 24, 31], [26, 28, 32, 35, 33, 34], [36, 37]]
65: [[7, 22, 2, 1, 3, 4, 5, 14, 8, 12], [11, 13, 9, 10, 27, 20, 6, 29, 15, 19, 21, 17, 16, 23, 25, 24, 26], [18, 30, 31, 28, 32, 35, 33, 34, 36, 37]]
66: [[7, 22, 2, 1, 3, 4, 5], [14, 8, 12, 11, 13, 9], [10, 27, 20], [6, 29, 15, 19, 21, 17, 16, 18, 23, 24, 25, 30, 31, 26, 28, 32], [35, 33, 34, 36, 37]]
67: [[7, 22, 2, 1, 3, 4], [5], [14, 8, 12, 11], [13, 9, 10, 27, 20, 6, 29], [15, 19, 21, 17, 16, 18, 23], [25, 31], [26, 24, 30, 28], [32, 35, 33, 34, 36, 37]]
68: [[7, 22], [2, 1, 3], [4, 5, 14, 8, 12], [11, 13, 9, 10, 27], [20, 6, 29], [15, 19, 21], [17, 16, 18], [25, 28, 24, 30], [31, 26, 23], [32, 35, 33], [34, 36], [37]]
69: [[7, 22, 2, 1, 3, 4, 5], [14, 8, 12, 11, 13], [9, 10, 27, 20, 6], [29, 15, 19], [21, 16, 17, 18], [23, 31, 25, 30, 26, 24, 28], [32, 35], [33], [34, 36, 37]]
70: [[7, 22, 2, 1], [3, 4, 5, 14, 8, 12], [11, 13, 9, 10, 27], [20, 6, 29, 15, 19], [17, 23, 16, 18, 24, 26], [25, 21, 30], [28, 31, 32], [35, 33, 34, 36, 37]]
71: [[7, 22, 2, 1, 3], [4, 5, 14, 8, 12, 11, 13], [9, 10, 27], [20, 6, 29, 31, 18], [21, 23, 17], [19, 25, 16], [30, 15, 24], [28, 26, 32, 35, 33, 34, 36], [37]]
72: [[7, 22], [2, 1, 3, 4, 5, 14, 8, 12, 11, 13], [9, 10], [27, 20, 6, 29], [17, 19, 21], [15, 16, 18, 28, 24], [25, 30], [31, 26, 23, 32, 35, 33, 34, 36, 37]]
73: [[7, 22, 2, 1, 3], [4, 5, 14], [8, 12, 11, 13, 9, 10], [27, 20, 6, 29, 15, 19], [21, 17, 16, 18], [25, 24, 23, 30, 31, 26], [28, 32, 35], [33, 34, 36, 37]]
