0: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
17: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
18: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
19: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
20: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
21: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
22: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
23: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
24: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 18, 20, 10, 24], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
25: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
26: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
27: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
28: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
29: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
30: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
31: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
32: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
33: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
34: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
35: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
36: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
37: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
38: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
39: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
40: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
41: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
42: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
43: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
44: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
45: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
46: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
47: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 24, 18, 16, 10, 14], [23, 17, 20, 22], [26, 29, 21, 27, 28]]
48: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 24, 16, 10, 14, 18], [23, 17, 20, 22], [26, 29, 21, 27, 28]]
49: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 18, 24, 16, 10, 14], [23, 17, 20, 22], [26, 29, 21, 27, 28]]
50: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 18, 16, 14, 20], [23, 17, 24, 22], [26, 29, 21, 27, 28]]
51: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 20, 16, 18, 10, 14], [23, 17, 24, 22], [26, 29, 21, 27, 28]]
52: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 20, 18, 22, 10, 14], [23, 17, 16, 24], [26, 29, 21, 27, 28]]
53: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 18, 22, 10, 20], [23, 17, 16, 24], [26, 29, 21, 27, 28]]
54: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 26, 18, 14, 20], [23, 17, 16, 22], [24, 29, 21, 27, 28]]
55: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 26, 16, 20, 10, 14], [23, 17, 18, 22], [24, 29, 21, 27, 28]]
56: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 28, 18, 22, 10, 14], [23, 17, 16, 20], [26, 29, 21, 27, 24]]
57: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 26, 18, 20, 10, 22], [23, 17, 16, 14], [24, 29, 21, 27, 28]]
58: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 26, 24, 16, 14, 10], [23, 17, 18, 22], [20, 29, 21, 27, 28]]
59: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 26, 18, 22, 10, 28], [23, 17, 16, 14], [20, 29, 21, 27, 24]]
