0: [[5], [33, 7, 8, 9], [46, 13, 3, 17, 21], [1], [14], [4, 11], [27, 28, 15, 6, 10, 18], [16, 31, 19, 20, 26, 22], [23, 24, 25, 54, 29, 40, 12], [36, 32, 47], [34, 50, 39, 43, 35, 30, 2], [41, 37, 38], [42, 44, 45, 51, 53], [55, 56, 58], [52, 59], [49, 48, 57, 60]]
12: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 10, 16, 9, 8, 12, 15, 11, 18, 19, 17, 23, 25, 24, 21, 22, 26, 30, 31, 28], [27, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
13: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 27, 31, 11, 10, 8, 12, 16, 15, 21, 17, 19, 18, 22, 24, 25, 23, 26, 28], [29, 30, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
14: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 8, 11, 12, 10, 28, 24, 16, 31, 21, 15, 18, 17, 23, 19, 27, 22, 25, 26], [29, 30, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
15: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 10, 8, 26, 15, 11, 12, 16, 31, 18, 17, 21, 19, 22, 25, 28, 27, 24, 23], [29, 30, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 46, 57, 47, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
16: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 25, 10, 26, 8, 15, 16, 12, 23, 17, 19, 22, 11, 21, 18, 31, 24, 27, 28], [29, 30, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 46, 57, 47, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
17: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 11, 8, 10, 9, 12, 15, 24, 27, 17, 16, 31, 18, 21, 22, 19, 23, 25, 26, 28], [29, 30, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
18: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 10, 25, 27, 9, 8, 12, 18, 11, 19, 23, 17, 15, 22, 24, 21, 16, 26, 28, 31], [30, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
19: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 8, 27, 11, 9, 12, 15, 10, 17, 18, 31, 16, 22, 23, 21, 25, 24, 19, 26, 28], [29, 30, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
20: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 8, 11, 26, 10, 9, 12, 19, 18, 28, 15, 17, 27, 23, 21, 16, 22, 31, 25, 24], [29, 30, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
21: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 8, 9, 11, 10, 12, 16, 18, 17, 19, 22, 21, 31, 27, 23, 24, 25, 15, 26, 28], [29, 30, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
22: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 11, 26, 27, 8, 12, 10, 19, 31, 15, 21, 25, 18, 17, 22, 16, 23, 24, 28], [29, 30, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
23: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 11, 10, 12, 19, 8, 21, 16, 28, 15, 17, 27, 18, 23, 22, 25, 31, 24, 26], [29, 30, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
24: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 10, 8, 25, 6, 9, 12, 11, 15, 19, 21, 18, 22, 23, 24, 16, 17, 27, 28, 26, 31], [30, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
25: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 16, 11, 8, 10, 12, 19, 22, 15, 17, 23, 27, 21, 25, 18, 30, 24, 26, 28], [29, 31, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
26: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 10, 26, 9, 6, 24, 28, 11, 15, 8, 12, 18, 23, 17, 16, 21, 19, 30, 22, 25, 27], [29, 31, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
27: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 11, 8, 10, 15, 25, 12, 16, 30, 17, 18, 19, 21, 23, 22, 26, 27, 24, 28], [29, 31, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 46, 57, 47, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
28: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 10, 8, 26, 6, 9, 11, 15, 24, 19, 23, 16, 18, 12, 21, 17, 22, 27, 25, 28, 30], [31, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
29: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 11, 8, 9, 12, 15, 18, 28, 27, 16, 19, 17, 22, 30, 24, 23, 26, 25, 10, 21, 6], [31, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
30: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 9, 11, 12, 21, 8, 15, 22, 18, 24, 25, 17, 26, 19, 23, 16, 27, 30, 10, 28, 6], [29, 31, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
31: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 10, 8, 11, 15, 25, 12, 16, 30, 19, 17, 21, 18, 23, 22, 24, 27, 26, 28], [29, 31, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 46, 57, 47, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
32: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 9, 8, 6, 15, 16, 21, 10, 26, 19, 18, 17, 23, 12, 24, 27, 22, 11, 25, 28, 30], [31, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
33: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 11, 15, 10, 8, 16, 17, 12, 23, 25, 19, 22, 18, 21, 26, 28, 24, 27, 30], [29, 31, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 46, 57, 47, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
34: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 11, 10, 8, 12, 15, 17, 16, 22, 23, 18, 19, 26, 21, 27, 28, 25, 24, 30], [31, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 46, 57, 47, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
35: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 10, 8, 11, 12, 15, 19, 16, 23, 27, 22, 18, 26, 21, 17, 28, 24, 25, 30], [31, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 46, 57, 47, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
36: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 10, 8, 9, 12, 6, 11, 16, 30, 15, 21, 17, 23, 19, 18, 22, 25, 24, 26, 27, 28], [29, 31, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
37: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 11, 25, 10, 8, 12, 15, 9, 19, 17, 16, 18, 21, 24, 22, 23, 26, 30, 27, 28], [31, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
38: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 10, 9, 24, 6, 11, 8, 25, 16, 12, 15, 17, 19, 22, 26, 21, 18, 23, 30, 27, 28], [29, 31, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
39: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 8, 11, 27, 9, 10, 15, 12, 17, 16, 22, 23, 19, 18, 21, 24, 25, 28, 26, 30], [31, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
40: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 11, 27, 9, 8, 15, 10, 12, 21, 16, 30, 17, 19, 18, 22, 23, 25, 24, 26, 28], [31, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
41: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 8, 11, 27, 9, 10, 15, 12, 17, 16, 22, 23, 19, 18, 21, 24, 25, 28, 26, 30], [31, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
42: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 8, 10, 12, 9, 15, 11, 28, 19, 23, 16, 18, 17, 25, 21, 22, 26, 24, 27, 30], [31, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
43: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 11, 8, 28, 10, 15, 19, 12, 23, 17, 18, 22, 16, 21, 26, 27, 24, 25, 30], [31, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 46, 57, 47, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
44: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 8, 9, 26, 10, 11, 12, 18, 19, 16, 21, 17, 15, 23, 28, 22, 25, 27, 24, 30], [31, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
45: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 10, 11, 25, 8, 6, 28, 27, 9, 12, 17, 18, 21, 23, 15, 22, 16, 19, 24, 26, 30], [31, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
46: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 10, 9, 6, 12, 16, 18, 8, 30, 21, 15, 19, 17, 23, 25, 26, 22, 11, 28, 24, 27], [31, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
47: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 10, 8, 11, 15, 25, 12, 16, 19, 21, 17, 23, 27, 22, 18, 24, 26, 30, 28], [29, 31, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 46, 57, 47, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
48: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 25, 10, 9, 8, 15, 11, 12, 21, 30, 28, 16, 17, 18, 22, 19, 26, 23, 27, 24], [29, 31, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 46, 57, 47, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
49: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 25, 26, 8, 12, 10, 11, 18, 15, 31, 9, 19, 17, 27, 23, 16, 30, 28, 21, 22], [24, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
50: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 10, 11, 28, 9, 8, 15, 27, 12, 18, 19, 17, 16, 22, 23, 21, 31, 26, 24, 29], [25, 30, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
51: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 11, 24, 10, 8, 12, 28, 15, 16, 17, 18, 21, 27, 22, 19, 26, 23, 31, 29], [25, 30, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
52: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 8, 10, 9, 11, 12, 15, 19, 17, 21, 27, 26, 18, 16, 28, 23, 29, 24, 22, 31], [30, 25, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
53: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 10, 31, 8, 11, 27, 12, 19, 21, 16, 23, 22, 15, 17, 18, 28, 24, 26, 29], [25, 30, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
54: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 8, 26, 11, 10, 9, 12, 28, 27, 23, 24, 19, 15, 22, 18, 17, 30, 16, 29, 21], [25, 31, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
55: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 8, 10, 15, 9, 11, 19, 31, 12, 23, 29, 18, 17, 27, 30, 21, 16, 22, 28, 25], [24, 26, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
56: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 15, 25, 27, 28, 11, 30, 8, 16, 9, 10, 17, 18, 12, 31, 26, 19, 24, 22, 21, 6], [23, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
57: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 10, 9, 28, 11, 12, 15, 31, 18, 23, 8, 17, 16, 19, 22, 21, 27, 29, 24, 25], [30, 26, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
58: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 9, 6, 11, 15, 10, 12, 19, 18, 29, 8, 21, 22, 17, 23, 16, 31, 24, 25, 27, 28], [26, 30, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
59: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 10, 8, 28, 12, 11, 18, 30, 22, 15, 16, 17, 19, 23, 29, 27, 21, 25, 24], [31, 26, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 46, 57, 47, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
60: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 9, 8, 25, 15, 6, 12, 10, 11, 18, 21, 17, 22, 23, 28, 16, 19, 27, 29, 26, 31], [24, 30, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 46, 57, 47, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
61: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 12, 8, 25, 6, 10, 9, 30, 15, 11, 21, 18, 22, 19, 26, 16, 17, 27, 29, 23, 28], [24, 31, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 46, 57, 47, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
62: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 10, 27, 11, 9, 8, 15, 12, 19, 22, 21, 17, 16, 24, 18, 23, 25, 26, 31, 30], [28, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
63: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 11, 27, 12, 10, 31, 8, 30, 15, 19, 18, 22, 17, 21, 16, 24, 25, 23, 26], [29, 28, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
64: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 11, 27, 12, 10, 31, 8, 30, 15, 19, 18, 22, 17, 21, 16, 24, 25, 23, 26], [29, 28, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
65: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 25, 24, 11, 8, 10, 12, 15, 23, 21, 19, 16, 17, 18, 22, 30, 26, 31, 27], [29, 28, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
66: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 11, 8, 10, 12, 15, 21, 17, 31, 19, 18, 22, 16, 23, 30, 25, 26, 24, 27], [29, 28, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 46, 57, 47, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
67: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 8, 27, 9, 10, 11, 15, 12, 16, 30, 24, 19, 17, 18, 23, 21, 22, 26, 25, 31], [28, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
68: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 11, 27, 12, 10, 31, 8, 30, 15, 19, 18, 22, 17, 21, 16, 24, 25, 23, 26], [29, 28, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
69: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 10, 8, 15, 9, 11, 12, 16, 27, 25, 17, 22, 19, 31, 23, 18, 30, 24, 21, 26], [28, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
70: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 11, 8, 10, 18, 31, 15, 26, 27, 17, 12, 9, 16, 19, 22, 21, 23, 25, 24, 30], [28, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
71: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 10, 25, 8, 11, 16, 15, 12, 18, 19, 22, 23, 17, 21, 26, 30, 27, 31, 24], [29, 28, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
72: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 11, 9, 8, 12, 15, 16, 18, 19, 17, 23, 24, 25, 22, 27, 30, 31, 26, 10, 21, 6], [28, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
73: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 9, 11, 26, 8, 12, 30, 16, 19, 15, 18, 24, 17, 31, 22, 23, 27, 25, 10, 21, 6], [28, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
