0: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
33: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
34: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
35: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
36: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
37: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
38: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
39: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9, 8], [1, 4, 12, 22], [15, 11, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
40: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
41: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9, 8], [1, 4, 12, 22], [15, 11, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
42: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12], [22, 11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
43: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12], [22, 11, 15, 10], [14, 2, 19, 16, 18], [23, 24, 28, 29]]
44: [[20, 3, 5, 6], [21, 13, 26, 27, 17], [7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
45: [[20, 3, 5, 6], [21, 13, 26, 27, 17], [7, 25, 9, 8], [1, 4, 12, 22], [15, 11, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
46: [[20, 3, 5, 6], [21, 13, 26, 27, 17], [7, 25, 9, 8], [1, 4, 12, 22], [15, 11, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
47: [[20, 3, 5, 6], [21, 13, 26, 27, 17], [7, 25, 9, 8], [1, 4, 12, 22], [15, 11, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
48: [[20, 3, 5, 6], [21, 13, 26, 27, 17], [7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
49: [[20, 3, 5, 6], [21, 13, 26, 27, 17], [7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
50: [[20, 3, 5, 6], [21, 13, 26, 27, 17], [7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
51: [[20, 3, 5, 6], [21, 13, 26, 27, 17], [7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
52: [[20, 3, 5, 6], [21, 13, 26, 27, 17], [7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
53: [[20, 3, 5, 6], [21, 13, 26, 27, 17], [7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
54: [[20, 3, 5, 6], [21, 13, 26, 27, 17], [7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
55: [[20, 3, 5, 6], [21, 13, 26, 27, 17], [7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
56: [[20, 3, 5, 6, 21], [13, 26, 27, 17], [7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
57: [[20, 3, 5, 6, 21], [13, 26, 27, 17], [7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
58: [[20, 3, 5, 6, 21], [13, 26, 27, 17], [7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
59: [[20, 3, 5, 6, 21], [13, 26, 27, 17], [7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
