0: [[4, 5, 19, 6], [2, 9, 1, 13], [11, 7], [14, 10], [12, 8, 15, 17, 16, 18, 20, 22, 3], [21, 23, 24]]
38: [[19, 3, 6, 4], [5, 2], [9], [1, 11, 7, 14, 10], [12, 8, 15, 17, 16, 18, 20, 22, 13], [21, 23, 24]]
39: [[4, 5, 2, 13, 9, 1, 11, 6], [7, 14], [10, 12, 8, 15, 19], [17, 16, 18, 20, 3], [22, 21, 23, 24]]
40: [[4], [5, 2], [13, 9, 1, 11, 7, 14, 6], [10, 12, 19, 3], [8, 15, 17, 16, 18, 20, 22], [21, 23, 24]]
41: [[4], [5, 2], [13, 9, 1, 11, 7, 14, 6], [10, 12, 19, 3], [8, 15, 17, 16, 18, 20, 22], [21, 23, 24]]
42: [[4, 19], [5, 2, 13, 6], [9, 1, 11, 7, 14], [10, 12, 8, 15, 17, 16, 18, 20, 3], [22, 21, 23, 24]]
43: [[19, 3, 6, 4], [5, 2, 13, 9, 1], [11, 7], [14, 10, 12, 8, 15, 17, 16], [18, 20], [22, 21, 23, 24]]
44: [[4, 5, 2, 13, 6], [9, 1, 19], [11, 7, 14, 10, 12], [8, 15, 17, 16, 18, 20, 22, 21, 3], [23, 24]]
45: [[19, 3, 4], [5, 2, 9], [1, 11, 6, 13], [7, 14], [10, 12, 8, 15, 17, 16, 18, 20, 22], [21, 23, 24]]
46: [[19, 3, 5, 6, 4], [2, 9], [1, 11, 13], [7, 14], [10, 12, 8, 15, 17, 16, 18, 20], [22, 21, 23, 24]]
47: [[19, 3, 5, 6, 4], [2, 9], [1, 11, 13], [7, 14], [10, 12, 8, 15, 17, 16, 18, 20], [22, 21, 23, 24]]
48: [[4, 5, 2, 13, 19], [9, 1, 11, 7, 6], [14, 10], [12, 8, 15, 17, 16, 18, 20, 22, 21, 3], [23, 24]]
49: [[4, 5, 2], [13, 9, 1, 11, 6], [7, 14], [10, 12, 19, 3], [8, 15, 17, 16, 18, 20, 22, 21], [23, 24]]
