0: [[13, 2, 1], [14, 20, 7, 10], [9, 4, 5], [8, 6, 12, 11, 15, 17], [16, 18, 3], [19, 22], [21, 24, 23]]
16: [[13], [2], [20, 7, 10, 14], [9, 4, 1], [5, 8], [6, 12, 11], [15, 17, 16, 3], [18, 19], [22, 21, 24, 23]]
17: [[13, 1], [2, 3, 14, 20, 7, 10, 9, 4, 5, 8, 6, 12, 11, 15, 17, 16, 18, 19, 22, 21], [24, 23]]
18: [[13], [2], [20, 7], [10, 9, 3, 14], [4, 5, 8, 6, 1], [12, 11, 15], [17, 16, 18], [19, 22], [21, 24, 23]]
19: [[13], [2], [20, 7], [10, 9, 1, 3], [4, 5, 8, 14], [6, 12, 11, 15, 17, 16], [18, 19, 22], [21, 24, 23]]
20: [[13, 2], [20, 7, 10, 14], [9, 4, 1], [5, 8, 6, 12, 3], [11, 15, 17, 16, 18, 19, 22, 21], [24, 23]]
21: [[13, 2], [20], [7, 10, 14], [9, 4, 1], [5, 8, 6, 12], [11, 15], [17, 16, 3], [18, 19], [22, 21, 24, 23]]
22: [[13], [2], [20, 7], [10, 9, 4, 1, 14], [5, 8], [6, 12, 3], [11, 15, 17, 16], [18, 19, 22], [21, 24, 23]]
23: [[13, 2], [20, 7], [10, 9, 14], [4, 5, 8, 6], [12, 11, 1], [15, 17, 16, 3], [18, 19, 22], [21, 24, 23]]
24: [[13, 2], [20, 7, 10, 9, 4, 1, 14], [5, 8], [6, 12, 3], [11, 15, 17, 16], [18, 19], [22, 21, 24, 23]]
25: [[13], [2], [20, 7], [10, 9, 14], [4, 5, 8], [6, 12, 1, 3], [11, 15, 17, 16], [18, 19, 22], [21, 24, 23]]
26: [[13, 2], [20], [7, 10, 9, 14], [4, 5, 8], [6, 12, 1, 3], [11, 15, 17, 16], [18, 19], [22, 21, 24, 23]]
27: [[13, 1, 2, 3], [14, 20, 7], [10, 9, 4, 5, 8], [6, 12, 11], [15, 17, 16], [18, 19], [22, 21, 24, 23]]
28: [[13, 2], [20, 7], [10, 9, 4, 5, 1], [8, 6, 12, 14], [11, 15], [17, 16, 18, 19, 3], [22, 21, 24, 23]]
29: [[13], [2], [20, 7, 10, 9, 1], [4, 5], [8, 6, 12, 14], [11, 15, 17], [16, 18, 3], [19, 22, 21, 24, 23]]
30: [[13], [2, 14], [7, 10, 9, 4, 5], [8, 6, 12, 11, 15, 17, 20], [16, 18, 19, 1, 3], [22, 21], [24, 23]]
31: [[13, 1], [2], [20, 7], [10, 9, 4, 5, 8, 6, 3, 14], [12, 11], [15, 17, 16, 18], [19, 22, 21, 24, 23]]
32: [[13], [2], [20], [7, 10, 9, 4, 1, 14], [5, 8, 6], [12, 11], [15, 17], [16, 18, 3], [19, 22, 21, 24, 23]]
33: [[13, 2], [20], [7, 10, 9, 4, 1, 14], [5, 8], [6, 12, 3], [11, 15, 17, 16], [18, 19, 22, 21], [24, 23]]
34: [[13], [2], [20, 7], [10, 9, 1], [4, 5, 8, 6, 14], [12, 11], [15, 17], [16, 18, 3], [19, 22, 21, 24, 23]]
35: [[13], [2], [20, 7], [10, 9, 4, 5, 1, 14], [8, 6, 12, 11], [15, 17, 16, 18, 3], [19, 22, 21, 24, 23]]
36: [[13, 1, 2], [3, 14, 20, 7, 10], [9, 4, 5], [8, 6, 12, 11, 15, 17, 16, 18, 19, 22, 21, 24, 23]]
37: [[13, 2], [20], [7, 10, 9, 4, 1, 14], [5, 8], [6, 12], [11, 15], [17, 16, 3], [18, 19, 22, 21], [24, 23]]
38: [[13, 1, 2, 3], [14, 20, 7, 10], [9, 4, 5, 8], [6, 12, 11, 15, 17, 16, 18, 19, 22, 21, 24, 23]]
39: [[13], [2, 3, 1], [14, 20, 7, 10], [9, 4, 5, 8, 6, 12, 11, 15, 17, 16, 18, 19, 22, 21, 24, 23]]
40: [[13, 1, 2], [3, 14, 20, 7, 10, 9], [4, 5, 8], [6, 12, 11], [15, 17, 16, 18, 19, 22, 21, 24, 23]]
41: [[13, 1, 2], [3, 14, 20, 7, 10], [9, 4, 5], [8, 6, 12], [11, 15, 17, 16, 18, 19, 22, 21, 24, 23]]
42: [[13, 1, 2, 3], [14, 20, 7, 10], [9, 4, 5], [8, 6], [12, 11, 15, 17], [16, 18, 19, 22, 21, 24, 23]]
43: [[13, 1], [2, 3, 14, 20, 7, 10, 9, 4, 5, 8, 6, 12, 11, 15, 17, 16, 18, 19, 22, 21, 24], [23]]
44: [[13, 1], [2, 14], [20, 7, 10, 9], [4, 5, 8, 6, 3], [12, 11, 15, 17, 16, 18, 19, 22, 21, 24, 23]]
45: [[13, 1, 2, 3], [14, 20, 7], [10, 9, 4, 5], [8, 6, 12, 11, 15, 17, 16, 18, 19, 22, 21, 24, 23]]
46: [[13], [2], [20, 7], [10, 9, 4, 1, 3, 14], [5, 8, 6, 12, 11], [15, 17], [16, 18, 19, 22, 21, 24, 23]]
47: [[13, 1, 2], [3, 14, 20, 7], [10, 9], [4, 5, 8, 6], [12, 11, 15, 17, 16, 18, 19, 22, 21, 24, 23]]
48: [[13, 1, 2], [3, 14, 20], [7, 10, 9, 4], [5, 8, 6, 12, 11, 15, 17, 16, 18, 19, 22, 21, 24, 23]]
49: [[13, 1], [2, 3, 14, 20], [7, 10, 9, 4, 5, 8, 6, 12, 11, 15, 17, 16, 18, 19, 22, 21, 24, 23]]
