0: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 6, 21], [12, 4, 24, 9, 11], [8, 14, 15, 16, 17, 10, 18], [20, 19], [31, 25, 22, 28, 23, 26], [30, 29, 37, 32, 43, 42], [39, 34, 36, 41, 46, 33], [38, 44, 47, 45, 55], [48], [51, 50], [49, 57], [52, 53, 54, 58, 59, 60, 56]]
38: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 4, 21, 12, 6, 8, 11, 15], [10, 19, 28, 16, 9, 14, 17, 18, 22, 23, 24, 20], [26, 25, 31, 29, 30, 36, 33], [38, 32, 34, 45, 41], [43, 42, 37, 47, 39, 46, 44, 51], [48], [49, 53, 50, 52, 55, 54, 58, 56, 57, 59, 60]]
39: [[1, 35, 27, 7, 2, 5, 13], [40, 3, 6, 21, 9], [10, 14, 8, 11, 12], [17, 4, 30, 22, 20, 19, 16], [15, 18, 23, 25, 26, 55, 28, 29, 31, 24, 33], [34, 36, 32, 37, 43], [39, 46, 42, 47, 44, 45, 38, 51, 48, 41, 50], [53, 49, 54, 52, 59, 56, 57, 60, 58]]
40: [[1, 35, 27, 7, 2, 5], [13, 40, 3, 4, 21, 14, 6, 9, 8, 10, 18, 11, 12], [16, 19, 17, 15, 20, 23, 22, 26, 31, 24, 25, 29, 28, 30, 33, 34, 43, 36, 32, 45, 42, 38, 37, 39, 41, 47, 44, 46, 55, 49, 50, 48, 51, 53, 54, 52, 56, 58, 57, 60, 59]]
41: [[1, 35, 27, 7, 2], [5, 13, 40], [3, 4, 21, 6, 12, 24, 14, 8, 9, 17, 11, 10, 30, 19, 15, 18, 16, 20, 22, 23, 28, 25, 29, 31, 26, 38, 32, 37, 33, 36, 34, 46, 41], [39, 47, 43, 42, 44, 45, 53, 48, 54, 50, 51, 52, 49, 55, 59, 58, 56, 60, 57]]
42: [[1, 35, 27, 7, 2], [5, 13, 40, 19, 4, 21, 12, 8, 25, 11, 3, 6, 14, 9, 16, 10, 17], [20, 15, 26, 30, 24, 22, 18, 23, 29, 28, 31, 44, 37, 33, 34, 36, 38, 32, 41, 47, 42, 43, 39, 45, 46, 50, 48, 51, 49, 60, 54, 53], [57, 52, 55, 56, 58, 59]]
43: [[1, 35, 27, 7, 2], [5, 13, 41, 3, 21, 22, 9, 6, 10, 4, 12, 11], [14, 8, 15, 25, 26, 17, 18, 23, 16, 29, 19, 20, 28, 24, 31, 30, 39, 33, 32, 37, 36, 38, 43, 34, 47, 40, 42, 46, 44, 45, 50, 48, 54, 49, 55, 52, 53], [51, 57, 56, 58, 60, 59]]
44: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 22, 21], [15, 6, 26, 9, 10, 8], [4, 12, 11, 14, 18, 16], [19, 20, 17, 25, 29], [24], [23, 28], [30, 31, 39, 34, 32, 38, 33, 37, 36], [47, 44, 41, 45, 43, 59, 42, 54, 48, 53, 49, 50, 57, 52, 46, 51, 56, 55, 60, 58]]
45: [[1, 35, 27, 7, 2], [5, 13, 40, 19, 12, 21, 6, 10, 8, 30, 4, 11, 3, 9, 16, 20, 14, 17, 18, 15, 23, 24], [22, 28, 25, 29, 31, 26, 38, 32, 33, 34], [37, 36, 42, 39, 41, 44, 43, 47, 45, 46, 54, 48, 53, 49, 50, 52, 55, 51, 58, 56, 59, 57, 60]]
46: [[1, 35, 27, 7, 2], [5, 13, 40, 19, 12, 21, 6, 10, 9, 3, 8, 11, 4, 14, 17, 20, 18, 31, 22, 15, 23, 24], [25, 16, 26, 28, 29, 30, 39, 32, 41, 33, 36, 37, 42, 34, 44, 38, 43], [45, 47, 46, 51, 48, 52, 50, 49, 54, 53, 55, 60, 59], [56, 57, 58]]
47: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 6, 20], [8, 4, 9, 24, 12], [10, 11, 15, 30, 16, 14], [19, 17, 23, 18, 21], [22, 28, 25], [26, 29, 31, 34, 37, 32], [36, 33, 39, 42, 38, 46, 44, 43, 47, 41, 49, 55, 48, 52], [45, 50, 51, 53, 57, 58, 54, 56, 60, 59]]
48: [[1, 35, 27, 7, 2], [5, 13, 40, 11, 6, 21], [10], [8, 3], [9, 15], [12, 4, 26, 17, 25, 24], [14, 16, 18, 30, 28, 19, 23, 20, 29, 22, 31, 39, 38, 37, 36, 32, 33, 34, 41, 47, 42, 43, 44, 45, 46, 54, 48, 51, 49, 57, 55, 52, 50, 53, 58, 59, 56, 60]]
49: [[1, 35, 27, 7, 2], [4, 13, 40, 3, 8, 21], [5, 6, 9, 15, 14], [10, 11, 16], [30, 18, 12, 19, 17, 26, 20], [24, 23, 22, 25, 28], [29, 31, 38, 34, 33, 36, 32], [37, 42, 41], [39, 44, 45, 47], [46, 43], [55, 48, 49, 51, 50, 54, 52, 53, 57, 56, 60, 58, 59]]
50: [[1, 35, 27, 7, 2], [4, 13, 40, 11, 5], [3, 31, 10, 6, 14, 8, 9, 15, 18], [17, 16, 20, 29, 23, 21, 19], [25, 24, 12, 22, 26, 28, 30, 38, 33, 41, 42], [36, 32, 44, 46, 34], [37, 39, 45, 47, 43], [55, 48, 50, 51, 49, 53, 54, 56, 57], [52, 58], [60, 59]]
51: [[1, 35, 27, 7, 2, 5], [13, 40, 3, 4, 21, 14], [6, 9, 10, 8], [12, 11, 15, 16, 18, 19], [17, 20, 22, 28, 25, 23, 24, 26, 29, 31], [30, 36, 34, 33, 38, 32, 37, 43, 39, 47, 44, 41, 42, 45, 46, 50, 48], [51, 49, 53, 52, 54, 55, 58, 56, 57, 59, 60]]
52: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 22, 21, 14, 12, 8, 4, 6, 11, 20, 9, 17, 10, 28, 15, 18, 16, 19, 23, 26, 24, 25, 30, 31, 29, 39, 36, 33, 32, 38], [45, 41, 42, 43, 47, 37, 34, 44, 50, 49, 48, 52, 46, 57, 51, 53, 54, 56, 59, 60, 55, 58]]
53: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 4, 20, 10, 6, 24, 14, 12, 8, 11], [31, 9, 15, 17, 16, 21, 18, 19, 25, 22], [23, 26, 28, 29, 30, 33, 32, 39, 42, 34, 36, 37, 41, 43, 47, 38, 44], [45, 59, 50, 48, 55, 49, 46, 51, 53, 54, 52, 56, 57, 60, 58]]
54: [[1, 35, 27, 7, 2], [5, 13], [40, 3, 21, 20, 14, 6, 10, 31, 4, 8, 12, 9, 11, 15, 23, 16, 17, 22, 18, 19, 30, 25, 29, 24, 28, 26, 39, 34, 32, 33, 36, 37, 44, 43, 38, 41, 42, 47, 46, 49, 54, 50, 48, 45, 58, 53], [52, 51, 55, 57, 60, 56], [59]]
55: [[1, 35, 27, 7, 2, 4, 13, 40, 3, 14, 21, 6, 5, 24, 12, 9, 10, 17], [23, 8, 18, 11, 15, 22, 16], [19, 28, 29, 20, 25, 26, 30, 31, 33, 34, 32, 37, 38, 41, 43, 36, 42, 46, 39, 44, 45, 58, 52, 48, 54, 55, 47, 51, 49, 50, 53, 56, 57, 59, 60]]
56: [[1, 35, 27, 7, 2], [5, 13, 40, 19, 21, 6, 20, 14, 4, 25, 12, 11, 3, 8, 9], [15], [16, 24, 17, 23, 22, 26, 30, 28, 29, 31, 34, 33, 36, 44, 41, 39, 38, 37, 46, 42, 45, 43, 53, 18, 10, 47, 51, 32, 48, 50, 49, 52, 54, 57, 56, 55, 60, 58, 59]]
57: [[1, 35, 27, 7, 2, 5], [13, 40, 19, 3, 22, 14, 4, 30, 11, 12, 10, 9, 24, 8, 15, 28, 23, 26, 21, 17, 18, 20, 16, 29, 25, 6, 31, 33, 34, 39, 32, 37, 41, 36, 38, 46, 43, 42, 45], [44], [47, 54, 48, 50, 49, 51, 55, 53], [56], [58, 57, 59, 60, 52]]
58: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 21, 22, 12, 6, 8, 4, 9], [16, 14, 11, 10, 19], [25, 28, 15, 29, 17, 26, 18, 24], [20, 31], [30, 23, 37, 32, 33, 42, 36], [34, 38, 39, 41, 45], [46, 43, 44, 54, 48, 52], [50], [55, 51, 53, 47, 49, 57, 58, 59, 60], [56]]
59: [[1, 35, 27, 7, 2, 4], [13, 40, 19, 6, 21, 8, 3, 24, 5, 10, 14, 15, 9, 11, 12, 23, 17, 31, 16, 20, 25, 22, 26, 18, 28, 29, 30, 47, 33, 34, 32, 36, 39, 45, 38, 37, 41, 46, 42, 43, 44, 52, 48, 50, 51, 49, 54, 55, 53, 59], [57, 56, 60, 58]]
60: [[1, 35, 27, 7, 2, 5], [13, 40, 3, 6, 21, 9, 20, 25, 11, 12, 14, 4, 10, 19, 18, 8], [17, 16, 15, 28, 24, 22, 23, 26, 29, 31, 30, 37, 32, 34, 42, 39, 43, 36, 33, 38, 45, 41, 44, 46, 47, 53, 48, 51, 50, 49, 55, 54, 52, 57, 56, 58, 60, 59]]
61: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 12, 21], [4, 6, 24, 10, 15, 11, 19, 9, 8, 14, 17, 25, 22, 26, 16, 18, 29], [23, 20, 28, 30, 31, 39, 32, 37, 34, 36, 33, 41, 38], [46, 42, 43, 44, 45, 47, 53, 48, 52, 49, 50], [51, 54, 57, 55, 58, 59, 60, 56]]
62: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 4, 20], [10, 6, 8, 25, 12, 9], [11, 15, 16, 19, 14, 18], [21, 17, 23, 24, 29, 22, 26], [28, 31, 30, 39, 34, 33, 38, 32, 36, 43, 37, 45, 42, 44, 47, 41, 60], [55, 48, 50, 46, 49, 54, 51, 57, 58, 53, 56, 59, 52]]
63: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 4, 21, 14], [6, 29, 12, 8, 10, 9, 15], [16, 11, 31, 18, 25], [20, 26, 19, 22, 24], [17, 23, 28, 30, 32, 34, 37, 33], [36, 38, 39, 44, 47, 41, 43, 45, 42, 46], [52, 48, 51, 49, 50], [55, 53, 54, 58, 56, 59, 60, 57]]
64: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 4, 21, 14], [6, 29, 12, 8, 10, 9, 15], [16, 11, 31, 18, 25], [20, 26, 19, 22, 24], [17, 23, 28, 30, 32, 34, 37, 33], [36, 38, 39, 44, 47, 41, 43, 45, 42, 46], [52, 48, 51, 49, 50], [55, 53, 54, 58, 56, 59, 60, 57]]
65: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 4, 20, 15, 6, 24, 12, 9, 10, 17], [28, 11, 14, 16, 8, 22, 18, 19, 26, 21, 23, 25, 31, 29, 30, 37, 32, 39, 38, 34, 36, 33, 41, 43, 46, 45, 42, 44, 58, 51, 48, 55, 49, 47, 50, 54, 52, 53, 56, 57, 60, 59]]
66: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 4, 20, 15, 6, 24, 12, 9, 10, 17], [28, 11, 14, 16, 8, 22, 18, 19, 26, 21, 23, 25, 31, 29, 30, 37, 32, 39, 38, 34, 36, 33, 41, 43, 46, 45, 42, 44, 58, 51, 48, 55, 49, 47, 50, 54, 52, 53, 56, 57, 60, 59]]
67: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 6, 20], [12, 4, 9, 14, 8], [10, 11, 15], [30, 16, 18, 17, 19, 23], [28, 24, 21, 22, 25, 29, 26, 31, 37, 32, 33, 36], [38, 34, 42, 39, 46, 47, 45, 43, 44], [41, 55, 48, 53, 51, 50, 54], [52, 49, 58, 57, 59, 60, 56]]
68: [[1, 35, 27, 7, 2], [4, 13, 40, 3, 5, 12, 21, 6], [29, 8, 9, 11, 14], [15, 16, 20, 17, 22, 18, 10], [28, 31], [23, 19, 24, 26, 25, 30], [36, 33, 32, 38, 34, 37], [43, 39, 47, 42, 45, 46], [41, 44, 54, 48, 51, 49], [50, 53, 55, 56, 58, 57, 59, 60, 52]]
69: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 14, 21], [12, 4, 24, 10, 15, 6, 17, 8, 9, 11, 19, 25, 20, 16, 22, 18, 23], [26, 28, 29, 30], [31, 38, 34, 37, 32, 36, 39, 41, 33, 46, 42, 43, 47, 44, 45, 53, 48, 54, 51, 50, 52, 49, 55, 56, 58, 57, 60, 59]]
70: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 4, 21, 24, 6, 9, 8, 14, 10, 17, 11, 12, 15, 18, 16, 22, 25, 20, 19, 31, 29], [23, 28, 30, 26, 32, 33, 37, 34, 36, 38, 39, 47, 42, 41, 44, 46, 43, 45, 52, 48, 55, 50, 49, 56, 51, 54, 53, 60, 57, 59, 58]]
71: [[1, 35, 27, 7, 2], [4, 13, 40, 3, 5, 20], [21, 6, 29, 8, 9, 10], [16, 11, 12, 14, 17, 22], [18, 26, 15, 31, 23, 19], [24, 25, 28, 30, 37, 32, 39, 38, 34], [36, 43, 33, 44, 42, 45, 46, 41, 56, 54, 48, 55, 49, 47, 53, 50, 52, 51, 57, 59, 60, 58]]
72: [[1, 35, 27, 7, 2], [5, 13, 40, 19], [14, 21, 10, 6, 25], [11, 8, 3, 4, 9, 18, 30], [15, 29, 23, 12, 16, 17], [28, 22, 20], [24, 26, 31, 38, 32, 47, 33, 36, 37, 46, 34, 44, 42, 41, 43, 39, 45], [53, 48, 50, 49, 51, 54, 52, 55, 59, 58], [56, 60, 57]]
73: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 22, 12, 8, 4, 9, 16, 14, 15, 11, 18, 10, 21, 6], [25, 20, 23, 17, 26, 29, 28, 19, 24], [30, 31, 37, 32, 33], [42, 36, 34, 39, 38, 41, 45, 46, 43, 44, 49, 54, 48], [51, 50], [57, 52, 47, 53, 55, 58, 59], [60, 56]]
