0: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 10, 6, 11], [9, 13, 14, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
14: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 14, 11, 10], [13, 9, 6, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
15: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 14, 6, 10], [9, 13, 28, 16, 18, 22, 11, 23, 17], [21, 20, 26, 25, 27, 29]]
16: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 10, 6, 14, 15], [9, 13, 11, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
17: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 6, 14, 10], [9, 13, 11, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
18: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 6, 10, 14], [9, 11, 13, 16, 17, 22, 18, 23, 28], [20, 21, 26, 25, 27, 29]]
19: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 14, 6, 10], [9, 13, 11, 16, 17, 23, 18, 22, 28], [21, 20, 26, 25, 27, 29]]
20: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 10, 13, 11], [14, 6, 9, 16, 22, 18, 23, 17, 28], [21, 20, 26, 25, 27, 29]]
21: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 14, 11, 9, 6, 10, 13, 16], [17, 18, 22, 23, 28], [21, 20, 26, 25, 27, 29]]
22: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 14, 6, 11, 13, 9, 10], [16, 22, 17, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
23: [[1, 19, 24, 4, 3, 2, 6, 13, 8, 12], [5, 15, 11, 10, 14], [9, 7, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
24: [[1, 19, 24, 4, 3, 8, 2, 7], [12, 5, 15, 6, 10, 11], [9, 13, 14, 16, 17, 18, 22, 23, 28], [21, 20, 26, 25, 27, 29]]
25: [[1, 19, 24, 4, 3, 8, 2, 7], [12, 5, 15, 13, 6, 14], [9, 11, 10, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
26: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 14, 6, 9, 11], [13, 10, 15, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
27: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 11, 14, 9, 6, 13], [10, 15, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
28: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 10, 14, 11], [9, 13, 6, 16, 17, 22, 18, 29, 23], [21, 20, 26, 25, 27, 28]]
29: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 6, 10, 11, 9], [13, 14, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
30: [[1, 19, 24, 4, 3, 8, 2, 7], [12, 5, 15, 11, 6, 13], [10, 9, 14, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
31: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 14, 6, 9, 10], [13, 11, 15, 16, 17, 18, 22, 23, 28], [21, 20, 26, 25, 27, 29]]
32: [[1, 19, 24, 4, 3, 8, 2, 7], [12, 5, 15, 6, 10, 14], [13, 9, 11, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
33: [[1, 19, 24, 4, 3, 8, 2, 7], [12, 5, 11, 6, 14, 13], [9, 10, 15, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
34: [[1, 19, 24, 4, 3, 8, 2, 7, 5], [13, 6, 11, 12, 15, 10], [9, 14, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
35: [[1, 19, 24, 4, 3, 2, 7, 12, 8], [5, 15, 6, 10, 14], [11, 13, 9, 16, 17, 23, 18, 20, 22], [21, 28, 26, 25, 27, 29]]
36: [[1, 19, 24, 4, 3, 8], [2, 7, 12, 5, 15, 11, 6, 13, 10], [9, 14, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
37: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 14, 6, 9], [13, 11, 10, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
38: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 9, 10, 14], [6, 11, 13, 16, 18, 17, 22, 23, 28], [21, 20, 26, 25, 27, 29]]
39: [[1, 19, 24, 4, 3, 8], [2, 7, 12, 5, 6, 9, 14, 10], [13, 11, 15, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
40: [[1, 19, 24, 4, 3, 8], [2, 7, 12, 5, 15, 14, 11, 10, 9], [6, 13, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
41: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 11, 6, 14, 10], [9, 13, 15, 18, 17, 22, 16, 29, 28], [21, 20, 26, 25, 27, 23]]
42: [[1, 19, 24, 4, 3, 10, 6, 2, 12], [5, 15, 7, 8, 14], [9, 11, 13, 20, 16, 23, 17, 22, 18], [21, 28, 26, 25, 27, 29]]
43: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 14, 10, 6], [9, 11, 13, 18, 17, 22, 16, 29, 28], [21, 20, 26, 25, 27, 23]]
44: [[1, 19, 24, 4, 3], [8, 2, 7, 12, 5, 15, 6, 11, 14], [9, 13, 10, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
45: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 6, 10, 11], [9, 13, 14, 18, 17, 22, 16, 23, 21], [29, 20, 26, 25, 27, 28]]
46: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 10, 6, 11], [9, 13, 14, 16, 17, 22, 18, 29, 21], [23, 20, 26, 25, 27, 28]]
47: [[1, 19, 24, 4, 3], [8, 2, 7, 12, 5, 15, 6, 14, 10], [9, 13, 11, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
48: [[1, 19, 24, 4, 3], [8, 2, 7, 12, 5, 15, 14, 6, 10], [13, 9, 11, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
49: [[1, 19, 24, 4, 3], [8, 2, 7, 12, 5, 14, 6, 10, 11], [9, 15, 13, 16, 17, 18, 22, 23, 28], [21, 20, 26, 25, 27, 29]]
50: [[1, 19, 24, 4, 3], [8, 2, 7, 12, 5, 14, 6, 10, 11], [9, 13, 15, 16, 17, 18, 22, 23, 28], [21, 20, 26, 25, 27, 29]]
51: [[1, 19, 24, 4, 3], [8, 2, 7, 12, 5, 11, 6, 14, 10], [9, 15, 13, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
52: [[1, 19, 24, 4, 3], [8, 2, 7, 12, 5, 15, 6, 10, 11], [9, 13, 17, 22, 16, 23, 18, 29, 14], [21, 20, 26, 25, 27, 28]]
53: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 10, 6, 13], [9, 14, 11, 20, 16, 22, 17, 21, 18], [23, 28, 26, 25, 27, 29]]
54: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 6, 11, 10], [13, 9, 25, 20, 17, 23, 18, 16, 14], [21, 22, 26, 28, 27, 29]]
55: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 6, 11, 10], [9, 13, 25, 20, 17, 23, 18, 16, 14], [21, 22, 26, 28, 27, 29]]
56: [[1, 19, 24, 4, 3, 8, 2, 7], [12, 5, 11, 14, 6, 10], [13, 9, 15, 20, 17, 22, 18, 21, 16], [23, 28, 26, 25, 27, 29]]
57: [[1, 19, 24, 4, 3], [8, 2, 7, 12, 5, 15, 6, 14, 11], [9, 13, 10, 22, 17, 23, 16, 29, 28], [21, 20, 26, 25, 27, 18]]
58: [[1, 19, 24, 4, 3], [8, 2, 7, 12, 5, 15, 14, 6, 10], [11, 9, 13, 16, 20, 18, 22, 17, 28], [21, 23, 26, 25, 27, 29]]
59: [[1, 19, 24, 4, 3], [8, 2, 7, 12, 5, 15, 6, 13, 10], [9, 11, 17, 16, 18, 23, 22, 21, 14], [28, 20, 26, 25, 27, 29]]
