0: [[68, 65, 33], [4, 3, 18], [2, 1, 12, 22], [5, 38, 7], [6, 9, 10], [11, 30, 15, 14], [29, 16, 25, 13], [20, 17], [19, 26, 21, 58], [51, 28, 24, 23], [63, 42, 31], [55, 35], [32, 27, 37], [45, 47, 36], [40, 34, 39], [41, 44, 46, 8], [54], [48, 53, 60], [49, 50, 57], [61, 56, 59, 52], [62, 64, 43], [67, 66, 71, 76], [69, 70, 72], [75, 74, 73, 77], [79, 82], [87, 88, 81, 78], [80, 85, 83], [84, 86]]
11: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 14], [9, 8], [15, 11], [19, 25, 16, 21, 12, 22], [28, 20], [17, 59, 60, 58, 26], [29, 44, 27, 57, 10], [32, 30, 31, 43, 13, 23], [36, 40, 34, 37], [52, 35, 42, 47, 46, 39, 41, 50, 45, 49, 53, 54, 48, 51, 56, 61, 55, 63, 62, 66, 64, 67, 70, 69, 79, 71, 72, 74, 73, 78, 75, 76, 77], [81, 82, 84, 80, 85, 87, 83, 86, 88]]
12: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 9, 10], [14, 8], [12, 31, 11, 23, 13, 20], [15, 21, 16], [17, 19, 29, 28, 22, 25, 26], [30, 27, 37, 45], [44, 32, 62, 58, 36, 39, 40, 34, 47, 41, 35, 43], [50, 42, 59, 46, 49, 52, 48, 53, 51, 60, 55, 56, 57, 61, 54, 63, 66, 64, 67, 70, 75, 77, 71, 72, 78, 73, 74, 69, 76, 79], [81, 82, 84, 80, 87, 85, 83, 86, 88]]
13: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 7, 5], [10, 11, 6, 8, 9, 12, 26, 14, 15, 31, 13, 20, 16, 21, 19, 22, 17, 23, 29, 25, 27, 28, 59, 30], [54, 32, 50, 53, 44, 35, 34, 43, 37, 36, 46, 42, 39, 41, 40, 61, 47, 45, 48, 56, 58, 60, 62, 49, 51, 52, 55, 57, 63, 64, 66, 74, 70, 77, 67, 76, 71, 69, 79, 72, 73, 75, 78, 81, 80, 82, 83, 85, 84, 86, 87, 88]]
14: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 9, 10], [14, 8], [12, 31, 11, 23, 13, 20], [15, 21, 16], [17, 19, 29, 28, 22, 25, 26], [30, 27, 37, 45], [44, 32, 62, 58, 36, 39, 40, 34, 47, 41, 35, 43], [50, 42, 59, 46, 49, 52, 48, 53, 51, 60, 55, 56, 57, 61, 54, 63, 66, 64, 67, 70, 75, 77, 71, 72, 78, 73, 74, 69, 76, 79], [81, 82, 84, 80, 87, 85, 83, 86, 88]]
15: [[68, 65, 33], [4, 3, 18, 2, 1, 24, 36, 21], [38, 5, 7], [11], [10, 8, 9], [15, 14, 29], [6, 12, 28], [16, 13, 23], [20, 30, 19], [53, 17, 31, 27], [22, 25, 43, 49], [37, 46, 26, 32], [39, 34, 47], [42, 35, 44, 40, 41], [58, 50, 45, 63, 52, 48, 59, 54, 51, 61, 56, 55, 57, 60, 62, 72, 64, 67, 71, 73, 69, 76, 70, 77, 66, 78, 79, 74, 75, 80, 84, 83, 81, 85, 82, 86, 87, 88]]
16: [[68, 65, 33], [4, 3, 18], [2, 1, 24, 12, 22], [37, 5, 7, 41, 20, 6, 9, 13, 8, 11, 14, 26, 15, 19, 30, 23, 16, 21, 61, 51, 27, 28, 17, 25, 29, 36, 31, 32, 38, 48, 34, 43], [35, 39, 40, 45, 10, 42, 59, 54, 44], [57, 46, 50, 53, 47, 58, 49, 55, 52, 60, 62, 56, 63, 72, 64, 69, 70, 74, 71, 66, 77, 75, 67, 73, 76, 78, 79, 84, 81, 82, 83, 80, 87, 85, 86, 88]]
17: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 10, 11], [26, 8, 9], [31, 13, 27, 29, 14], [17, 23, 16, 52, 20, 62, 12], [54, 15], [19, 25, 22, 21, 63, 40, 35, 34, 37, 56, 41, 47, 28, 57, 45, 30, 32, 36, 39, 42, 51, 43, 44, 46, 48, 58, 49, 53, 50, 61, 55, 59, 60, 66, 64, 74, 70, 77, 67, 69], [71, 72, 73, 78, 75, 76, 79, 84, 82, 81, 80, 86, 85, 87, 83, 88]]
18: [[68, 65, 33], [4, 3, 18, 2], [1, 14, 13], [7, 5, 6], [9, 11], [28, 17, 10], [16, 25], [19, 21, 27, 49], [31, 20, 51], [30, 26, 24, 23], [63], [29, 34, 35, 39], [32, 15, 36], [37, 41], [42, 38, 45, 40], [46], [44, 47, 54, 8], [48, 53, 60], [50, 58, 52, 59], [56, 55, 57], [61, 62, 64, 67, 43, 12, 22], [66, 71, 76], [69, 70, 72, 75], [74, 73], [79, 77, 82, 87], [88, 81, 78], [80, 84], [83, 85, 86]]
19: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [39, 8, 7, 6, 11, 44, 10, 17, 9, 5, 27], [12, 29, 23], [14, 15], [16, 31, 20], [13, 19], [21, 51, 22, 25], [35, 46, 30], [47, 32, 48, 28], [43], [37, 26, 41, 34], [36, 42, 61], [49, 38], [50, 45, 58, 52], [53], [54, 59, 55, 57], [56, 63, 62], [60, 40, 72, 66], [75, 70, 76, 71, 69, 64, 74, 67, 73], [78, 77, 82, 86, 79, 80, 87, 81, 84, 85, 83, 88]]
20: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 40, 59], [10, 8, 9], [12, 15, 22], [11, 20], [31, 21, 13, 14, 16, 17], [19, 23, 28], [29, 25, 30, 27, 53, 26, 32], [47, 58, 34, 43], [42, 36, 39, 35], [37, 41, 46], [44, 60, 45, 56, 48, 51, 55, 52, 54, 49, 57, 62, 61, 50, 63, 66, 64, 71, 70, 73, 74, 67, 76, 72, 69, 78, 75, 77, 79], [81, 83, 80, 82, 86, 85, 84, 87, 88]]
21: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [12, 8, 15, 11, 6], [10, 13, 14, 16, 20, 25, 17, 23, 21, 26, 28], [52, 48, 19, 60], [27, 9, 29, 36, 46], [22, 50, 30, 31, 37, 32], [35, 34, 44, 40, 41, 47], [43, 42, 45], [49, 39, 55, 56], [53, 51, 59, 57, 62, 58], [54], [61, 63, 64], [66, 70, 67], [74, 71, 69], [73, 72, 75, 76], [77, 78, 79], [82, 81, 83], [80, 84, 87], [85, 86, 88]]
22: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 9, 14, 10], [11, 8, 28, 39], [30], [16, 27, 12, 13, 22], [15, 21], [17, 57, 19, 20], [29, 60, 23], [25, 26], [31, 35, 32, 36, 34, 37, 41, 43, 42, 44, 46, 50, 40, 53, 45, 52, 47, 51, 48, 63], [54, 55, 49], [56, 58, 59], [62, 61, 66, 64], [70, 67, 76, 77, 69, 71, 73, 74, 72, 75, 78, 79, 82, 83, 81, 80, 85, 86, 84, 87, 88]]
23: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 12, 11, 8, 14, 10, 31, 9, 30, 26, 13, 22, 17], [16, 55, 20, 15, 25], [21, 19, 23, 27, 28, 36, 29, 37, 35], [34, 54, 48], [32, 40, 39], [43, 45, 62], [41, 44, 42, 60, 46], [53, 47, 49, 63, 50, 52, 57], [59, 51], [56, 58, 61], [64, 72, 71], [67, 66, 69], [78, 70, 75, 73, 74, 77], [76, 79, 84, 82, 80, 83, 81, 85, 86, 87, 88]]
24: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [14, 9, 41], [8, 10, 13], [29, 6, 11, 15], [16, 21, 22, 17], [31, 23, 25, 26, 20, 19, 27, 54, 28, 60, 30, 40, 50, 32, 34, 12, 37, 44, 39, 35, 36, 43, 57, 42, 45, 48, 47, 49, 52], [46, 51, 53], [59, 55, 56, 62, 63, 61, 58, 64, 72, 69, 71, 67, 66, 70, 77, 74, 78, 73, 75, 76, 79, 83], [80, 82, 84, 81, 87, 86, 85, 88]]
25: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [10, 8, 13, 12, 15, 22, 6, 28, 14, 9, 11, 25, 19, 29, 16, 23, 17, 26, 27, 21, 53, 31, 51, 20], [32, 48, 30, 37, 56, 57, 39, 40, 54, 43, 36, 34, 42, 41, 35, 46, 45, 47, 44, 62, 49, 55, 50, 58, 52, 63, 59, 60, 61, 66, 64, 67, 69, 79, 73, 70, 71, 74, 75, 72, 78, 76, 77, 83, 84, 81, 80, 87, 82, 85, 86, 88]]
26: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 7, 5], [6, 8, 44, 10], [12, 13, 11, 9], [29, 15, 14, 16], [19, 20, 53, 22], [17, 23, 21, 62], [26, 27, 28], [30, 34, 47], [54, 31, 51, 60, 32, 25, 36, 35, 39, 40, 41, 46, 45, 59, 37, 42, 43, 48, 58, 49], [50, 52, 55, 57, 56, 61, 63, 64, 72, 74, 66, 79, 71, 69, 67, 78, 70, 75, 76], [77, 73, 81, 82, 80, 83, 87, 84, 85, 86, 88]]
27: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 8, 11], [9, 10, 13], [29, 14, 17, 23, 15, 16, 20, 27, 22, 19, 57, 54, 21, 56, 30, 50, 31, 12, 36, 25, 26, 48, 35, 37, 28, 34, 52, 47, 44, 43, 32], [39, 40, 45, 42], [46, 49, 62, 41, 55, 53, 51, 58, 59, 61, 60, 63, 64, 66, 67, 71, 72, 79, 69, 77, 70, 75, 73, 74, 76, 78, 83, 80, 81, 82, 87, 86, 84, 85, 88]]
28: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 8, 11, 14, 10], [25, 12, 15, 17, 21, 9, 19, 22, 31, 13, 20], [27, 28, 29], [26, 30, 32, 63, 44, 36], [56, 58, 16, 35, 37, 23], [34, 52, 47], [60, 41, 40], [39, 43, 45], [42, 49, 48], [46, 61, 55, 50, 51, 53, 59, 54, 57, 62, 64], [66, 67, 71, 73, 69, 76, 78, 70, 75, 72, 74, 77, 79, 82, 81, 83, 80, 86, 85, 84, 87, 88]]
29: [[68, 65, 33], [4, 3, 18], [2, 1, 12], [38, 7], [6, 5, 22], [9, 10, 8], [11, 30, 13], [14, 15], [27, 17, 21], [16, 20, 26], [23, 42, 53], [28, 24, 25, 31], [51], [63, 58, 39], [34, 19, 29], [32, 44, 35, 40], [41, 36, 37], [43, 47, 45, 55], [54, 48, 60], [46, 49, 56, 52], [57, 59], [62, 61, 50, 66], [67, 64, 71], [76, 69], [70, 72, 74, 75, 73, 78, 77, 82, 87, 80, 81, 84, 79, 83, 85, 86, 88]]
30: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 8, 14, 10, 26, 9, 29, 11, 12, 15, 20, 13, 19, 17, 22, 23, 27, 59, 30, 16, 21, 28, 31, 32, 37, 25, 34, 55, 36, 48, 42], [39, 41, 40, 35], [47, 63, 44, 45], [43, 46, 51, 52, 49, 50, 54, 56, 58, 53, 62, 60, 57, 61, 66, 64, 73, 67, 77, 71, 72, 69, 70, 75, 74, 76, 88, 78, 82, 80, 79, 86, 87, 81, 84, 85, 83]]
31: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [10, 12, 40, 15, 9, 8, 26, 27, 11, 6, 16, 21, 28, 22, 19, 13, 52, 29], [58, 25, 53, 17, 23, 20, 62, 14, 54, 30, 31, 39, 32, 34, 35, 36, 37, 41, 63, 46], [45, 42, 43, 44, 55, 60, 49, 50, 51, 47, 57, 56, 59, 48, 61, 64, 72, 69, 70, 71, 66, 73, 74, 75, 67, 79, 76, 77, 78, 81, 83, 80, 82, 87, 84, 85, 86, 88]]
32: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [10, 12, 6], [8, 11, 15, 9, 13, 14, 29, 16, 21, 23, 20], [17, 25, 19, 27, 50, 22, 28, 26, 30, 31, 46, 32, 35, 37, 39, 58, 34, 36, 63, 43, 47, 42, 51], [41, 44, 40, 52, 48, 45, 54, 49, 53, 59, 56, 57, 61, 55, 62, 60, 64, 66, 67, 70, 78, 69, 74, 71, 76, 75, 73, 72, 77, 79, 84, 82, 81, 80, 83, 87, 85, 86, 88]]
33: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [10, 12, 6], [8, 11, 9], [31, 13, 30, 14, 15, 23, 21, 25, 37, 20, 57, 26, 47, 27, 17, 28, 22, 63, 29, 60, 55, 44, 19, 32, 35, 36, 41, 43, 16, 42, 34, 46, 48, 45, 56], [50, 53, 40], [62, 51, 52, 39, 54], [49, 58, 59, 61, 66, 64, 74], [70, 77], [71, 69], [73, 72, 67, 76, 78, 79, 75, 85, 80, 81, 82, 83, 87, 86, 84, 88]]
34: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 9, 10], [11, 42, 12], [13, 30, 14], [16, 27, 15, 22, 8, 20, 21, 57], [19, 23, 26, 28, 60, 25, 49, 37, 31, 50, 29, 39, 34, 17, 59, 40, 32], [35, 36, 41], [43, 45, 44, 46, 47, 54, 56, 55, 51, 53, 48, 52, 61, 58, 62, 63, 64, 72, 70, 67, 76, 71, 69], [77, 66, 75, 73, 78, 74, 79, 82, 85, 81, 80, 83, 86, 84, 87, 88]]
35: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 8, 46, 39, 10, 12], [9, 29, 21, 13, 22], [27, 14, 11], [16, 48, 15, 57, 23], [31, 60, 19, 17], [20, 25, 62], [26, 32, 55, 37], [45, 28], [40, 30, 34], [52, 42, 51], [41, 35], [36, 50, 43, 56, 47, 49, 44, 53, 54, 58, 61, 63, 59, 66, 64, 74], [70, 77, 71, 69, 72, 76, 67, 78, 73, 79, 75, 84, 82, 81, 80, 83, 85, 86, 87, 88]]
36: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 8, 11], [14, 10, 25, 13, 9], [12, 21, 15, 27, 23, 16, 37], [20, 17], [30, 46, 26, 19, 22, 28, 44, 54, 60, 59, 29, 31, 52, 34, 36, 50, 43, 35, 41, 32, 39, 47, 45, 49, 55, 48, 51, 42, 61, 40, 53, 56, 57, 58, 62, 63, 64, 66, 74, 70, 77, 69, 76], [71, 72, 67, 73, 78, 79, 75, 82, 81, 84, 80, 83, 85, 86, 87, 88]]
37: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 7, 5], [10, 13, 6, 14], [8, 9, 11, 15, 16, 27, 26, 20], [21, 19, 22, 29, 30, 25, 51, 31, 17, 23, 28, 63, 12, 50, 32, 35, 54], [36, 59, 34, 47], [41, 43, 53, 37, 42, 39], [40, 46, 49, 44, 52, 55, 45, 58, 62, 48, 56, 57, 60, 61, 64, 66, 70, 71, 69, 78, 67, 79, 76, 75, 72, 73, 74, 77], [83, 80, 81, 82, 87, 84, 85, 86, 88]]
38: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 41, 46, 10, 8], [14, 13, 9, 11, 21, 15, 29], [28, 16, 39, 17], [20, 55, 19], [30, 62], [12, 22, 58, 25], [34, 26, 60, 45], [36, 44, 42], [27, 23, 31], [37, 40, 43], [32, 50, 49], [35, 47, 61, 59, 48, 51, 52, 56, 57, 53, 54], [63, 66, 64, 73, 70, 78, 71, 69, 79, 74, 67, 72, 76, 75, 77], [84, 83, 80, 82, 86, 81, 85, 87, 88]]
39: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 10, 8], [13, 9, 27, 11], [14, 12, 15, 29, 16], [30, 19, 22, 17, 21, 48, 55, 20, 59, 23, 26, 25, 44, 62, 42, 28, 52, 57, 36, 31, 47, 35, 34, 37, 39, 40, 32, 41, 63, 49, 60, 43, 45, 51, 56, 54, 46, 50, 53, 58, 61, 66, 64], [74, 72, 77, 69, 67, 71, 70, 75, 73, 76, 79, 78, 84, 80, 81, 82, 83, 85, 86, 87, 88]]
40: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 9, 11], [8, 12, 27], [10, 13, 14, 28, 30], [29, 19, 16, 17, 22, 21, 20], [23, 26, 60, 40, 25, 31, 36, 54, 34, 42, 35, 41, 37, 32, 43], [45, 63, 44, 46, 47, 56, 57, 48, 15, 50, 51, 39, 53, 52, 59, 49, 58, 55, 61, 62, 64, 72, 69, 70, 79, 66, 74, 78], [67, 73, 71, 77, 75, 76, 84, 80, 81, 83, 85, 87, 82, 86, 88]]
41: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 9, 12], [13, 8, 14], [26, 30, 10], [11, 16, 17], [20, 21, 55], [23, 48, 19], [15, 29, 22], [25, 27, 31], [60, 28, 56], [32, 57, 35], [36, 43], [37], [34, 42, 39], [40, 41, 44], [58, 45], [61, 54, 46], [47, 49], [59, 50, 51, 52], [53, 62, 63], [66, 64, 75], [67, 69, 70], [78, 73, 76], [74, 71, 72, 79], [77, 85, 80, 81], [83, 86, 87], [84, 82, 88]]
42: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 7, 5], [6, 8, 9], [15, 14, 11, 10], [28, 13, 29], [12, 17, 16], [19, 20, 21, 61], [23, 22, 27], [25, 57], [26, 58, 49, 36, 30, 31, 32, 37, 34, 50, 44, 39, 40], [41, 42, 45], [46, 43, 47, 48, 35], [55, 63, 51, 53, 54, 52, 56, 59, 60, 62, 66], [64, 71, 67, 69, 73, 70, 74, 72, 78, 77], [75, 76, 79, 81, 82, 80, 86, 84, 87, 83, 85, 88]]
43: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [10, 12, 14, 13], [9, 6, 25, 8], [15, 30, 22], [27, 23, 16, 17, 20, 43], [21, 11, 29, 19], [26, 28, 62, 54, 52, 51, 36], [31, 34, 35], [44, 59, 32, 39, 47, 40], [37, 48, 55, 49, 41, 50, 42, 57, 61, 45], [46, 60, 53], [56, 58, 63], [64, 66, 71, 70, 69, 67, 74, 73, 77, 72, 75], [76, 79, 78, 82, 80, 81], [85, 83, 84, 86, 87, 88]]
44: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [10, 8, 15], [12, 31, 9], [6, 11, 13, 19, 17, 30, 29, 14, 16, 50, 25, 20, 21, 41, 22, 27, 23, 32, 35, 55, 26, 28, 62, 36, 34, 42, 60, 39, 40, 44, 37, 45, 47, 43, 46, 51, 49, 48, 53, 52], [59, 56, 61], [57, 54, 58, 63, 66, 64, 69, 71, 67, 76, 70, 78, 74, 72, 73, 75, 79, 77, 82, 83, 80, 81, 86, 87, 84, 85, 88]]
45: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [8, 13, 9], [10, 12, 11, 30, 15, 6, 31, 14, 20, 16, 17, 19], [23, 55, 61, 51, 27, 21, 22, 25, 57, 54, 56, 42, 35, 26, 28, 29, 36, 32, 45, 43, 40, 39, 47, 34, 37, 41, 44, 46, 50, 49, 53, 48, 52, 58, 62, 60, 59, 63, 64, 72, 67, 71, 66, 70, 69, 73, 74, 75, 77, 76, 78, 79, 84, 82, 80, 81, 83, 87, 85, 86, 88]]
46: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [10, 13, 8, 6, 11, 15, 14, 9, 30, 12, 25, 20, 21], [16, 49, 28, 19, 17], [50, 22, 23, 59, 26, 31, 27, 32, 35], [34, 29, 39, 36, 37, 42], [43, 45, 46], [47, 52, 40], [41, 44, 48], [54, 53, 56], [63, 51, 55], [62, 57, 58, 61, 60, 64, 66, 71, 67, 79, 69], [78, 70, 72, 75, 74, 76, 73, 77, 86, 80, 81, 82, 87, 83, 84, 85, 88]]
47: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [14, 12, 9, 6], [8, 10, 11], [19, 27, 25, 15], [13, 21, 59, 17], [16, 22, 51], [23, 54, 29, 31, 20, 47, 28, 26, 30, 34, 43, 46, 35, 44, 39, 32, 36, 56, 45, 42, 37, 40, 61, 41], [60, 48, 55, 57, 49, 53, 52, 50, 58, 63, 62, 64, 73, 67, 70, 66, 71, 69, 78, 72, 74, 79, 77, 75, 82, 83, 76, 81, 80, 84, 85, 87, 86, 88]]
48: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 7, 5], [9, 6, 12], [36, 10, 14, 11], [63, 13, 15, 25, 21, 30], [19, 22, 16], [53, 20, 51, 17, 26, 29, 23, 27, 28, 56, 54, 42, 31, 32, 8, 35, 37, 46, 39, 47, 41, 40, 45, 44, 49, 48, 62, 34, 50, 52], [43, 57, 58, 59, 55, 60, 61, 66, 64, 69, 67, 71, 70, 73, 75, 72, 74, 79, 76, 77, 78, 81, 82, 80, 84, 86, 83, 87, 85, 88]]
49: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 7, 5, 6], [44, 14, 10, 12, 13], [27, 8, 11], [30], [16, 31, 9], [15, 17, 20], [57, 23, 19, 22, 21], [25, 28, 26, 47, 32], [45, 29, 34, 39, 41, 36, 37, 43, 46, 42, 49, 40, 35, 62, 52, 60, 50, 48, 53, 51, 61, 54, 56, 55, 59, 58, 63, 64, 66], [70, 67, 75, 69, 76, 71, 72, 74, 73], [77, 79, 78, 82, 85, 80], [81, 83, 87, 84, 86, 88]]
50: [[68, 65, 33], [4, 3, 18], [2, 1, 24, 38, 7, 6, 5], [10, 15, 12, 8, 11, 9, 14, 30, 20, 19, 22], [17, 21, 23, 16], [61, 25, 26, 63, 27, 29, 28, 57], [35, 31], [46, 32, 58, 34], [36, 43, 37, 47, 52, 13], [41, 48, 45], [40, 44, 49, 62, 42, 39, 50, 51, 54, 56, 59, 55, 53, 60, 66, 64, 70, 71, 67, 69, 72, 79, 73, 75, 74, 76, 78, 77, 83, 80], [81, 82, 86, 85, 87, 84, 88]]
