0: [[4, 27, 11, 25], [5, 7], [23, 18], [52, 13, 21], [39, 8], [32, 49, 17], [15, 6, 10], [3, 48, 30, 51], [59], [56], [1], [33, 34], [35, 46, 2], [28, 9, 24, 45, 12], [36, 50], [41], [42, 37, 16, 54, 29], [20, 19, 26, 31, 47], [22], [14, 53], [55], [40, 58], [38, 44], [57], [60, 43]]
47: [[7, 1, 2, 35], [11, 30, 4, 3, 5], [14, 10, 12, 9, 25, 13, 20, 6, 29, 15, 19, 22, 8, 18, 16, 21, 23, 31], [17, 26, 24, 28, 27, 37, 36, 34, 33, 32, 38, 41, 39, 40, 46, 43, 45, 42, 44, 47, 51], [52, 48, 58, 50, 49, 55, 53, 54, 56, 57, 59, 60]]
48: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 12, 8, 6, 26, 9, 27, 10, 23, 13, 18, 16, 22, 28, 25, 15], [21, 17, 19, 20, 24, 31, 29, 36, 32, 33, 34, 37, 39, 42, 45, 43, 47, 40, 38], [41, 46, 44, 51], [52, 49, 50, 53, 54, 48, 55, 56, 58, 57, 59, 60]]
49: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 12, 8, 9, 26, 21, 10, 13, 16, 15, 18, 25, 19, 23, 17], [20, 22, 24, 27], [28, 31, 29, 32, 39, 38, 33, 44, 36, 34, 45, 43, 37, 40, 42, 41, 46, 47, 51], [60, 52, 54, 53, 55, 48, 49, 56, 50, 57, 59, 58]]
50: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 8, 9, 6, 10, 12, 22, 13, 23, 15, 27, 16, 19, 18, 20, 17, 28, 31, 26, 25], [21, 24, 29, 32, 36, 34, 33, 39, 37, 47, 45, 38, 46, 42, 40, 41, 43, 44, 51], [52, 49, 54, 48, 50, 55, 53, 58, 59, 57, 56, 60]]
51: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 6, 9, 8, 10, 12, 13, 29, 24, 27, 25, 19, 20, 15, 16, 17, 28, 22], [18, 26, 21, 23, 31, 32, 34, 36, 33, 37, 47, 44, 38, 45, 41, 42, 39, 40, 43, 46, 51], [52, 49, 50, 48, 54, 53, 55, 57, 58, 59, 60, 56]]
52: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 10, 12, 6, 13, 9, 8, 15, 21, 22, 18, 19, 28, 17, 16, 20], [24, 26, 27, 23], [25, 31, 29, 43, 33, 32, 34, 36, 37, 44, 38, 40, 39, 41, 42, 45, 47, 54, 51], [48, 49, 46, 52, 50, 53, 55, 59, 56, 57, 58, 60]]
53: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 10, 9, 12, 13, 8, 6, 15, 31, 18, 19, 21, 20, 25, 17, 22], [16, 23, 24, 26, 27, 29, 28, 44, 32, 33, 36, 34, 37, 47, 39, 38, 40, 42, 41], [43, 45, 46, 51], [52, 49, 54, 50, 48, 55, 53, 59, 57, 56, 58, 60]]
54: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 10, 8, 9, 15, 13, 27, 12, 17, 6, 18, 20, 22, 21, 16, 23], [24, 26, 28, 19, 25, 29, 31, 34, 36, 32, 39, 33, 45, 42, 38, 40, 37, 41, 46], [47, 44, 54, 51], [48, 49, 43, 52, 50, 53, 55, 58, 56, 57, 59, 60]]
55: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 8, 9, 13, 10, 31, 12, 27, 28, 17, 24, 19, 16, 15, 18], [20, 22, 25, 21, 26, 23, 29, 32, 33, 34, 36, 37, 38, 40, 41, 39, 43, 42, 45], [47, 44, 46, 51], [48, 50, 54, 49, 52, 53, 56, 59, 55, 57, 58, 60]]
56: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 12, 9, 6, 29, 8, 21, 15, 22, 10, 16, 13, 25, 18, 20, 26], [17, 23, 31, 19, 27, 28, 24, 32, 39, 34, 36, 40, 38, 45, 37, 33, 42, 43, 44], [46, 41, 47, 51], [52, 49, 53, 50, 48, 54, 56, 55, 58, 57, 59, 60]]
57: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 12, 20, 9, 6, 8, 24, 22, 27, 18, 13, 19, 16, 21, 10, 15], [23, 17, 26, 25, 29, 28, 31, 41, 33, 32, 36, 34, 43, 46, 39, 40, 45, 42, 44], [47, 37, 38, 51], [54, 49, 50, 52, 55, 48, 53, 56, 57, 59, 58, 60]]
58: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 8, 9, 12, 10, 29, 15, 20, 13, 19, 18, 23, 22, 28, 16], [17, 24, 21, 27, 25, 26, 31, 40, 37, 34, 33, 38, 41, 32, 36, 44, 43, 46, 39], [45, 42, 47, 51], [48, 49, 55, 54, 50, 52, 53, 57, 58, 59, 56, 60]]
59: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 13, 8, 10, 9, 27, 12, 29, 31, 24, 15, 19, 22], [21, 17, 18, 23, 16, 25, 26, 20, 28, 36, 33, 34, 32, 37, 38, 39, 42, 40, 45, 43, 41], [46, 44, 47, 51], [52, 49, 50, 53, 54, 55, 48, 56, 58, 57, 59, 60]]
60: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 8, 10, 12, 24, 17, 9, 13, 15, 19, 18, 20, 16], [28, 29, 21, 22, 26, 23, 25, 27, 31, 40, 33, 32, 34, 44, 38, 37, 36, 39, 41, 42, 47], [43, 45, 46, 51], [48, 52, 50, 53, 49, 54, 55, 60, 57, 59, 58, 56]]
61: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 13, 9, 29, 10, 8, 12, 15, 26, 19, 23, 20, 16, 22, 25], [18, 21, 17, 27, 24, 28, 31, 32, 39, 38, 33, 36, 34, 37, 43, 40, 42, 41, 44], [47, 45, 46, 51], [52, 49, 50, 48, 54, 55, 53, 59, 58, 56, 57, 60]]
62: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 9, 12, 10, 25, 23, 8, 17, 13, 15, 19, 18, 20], [16, 21, 26, 22, 27, 24, 28, 29, 31, 46, 33, 36, 38, 32, 34, 39, 42, 37, 41, 45, 43], [44, 40, 47, 51], [56, 48, 54, 53, 55, 49, 50, 59, 52, 57, 58, 60]]
63: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 8, 12, 10, 9, 13, 29, 28, 19, 26, 31, 23, 15, 21, 16], [17, 22, 18, 20], [27, 24, 25, 40, 36, 33, 43, 44, 47, 32, 39, 41, 34, 42, 37, 38, 46, 45, 51], [52, 48, 49, 50, 53, 54, 55, 56, 57, 59, 58, 60]]
64: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 9, 8, 10, 19, 31, 15, 17, 13, 12, 18, 27, 22], [16, 23, 21, 20, 24, 25, 28, 26, 29, 32, 37, 33, 34, 39, 36, 38, 40, 41, 42, 44, 43], [45, 46, 47, 51], [56, 48, 50, 53, 49, 52, 54, 55, 57, 59, 58, 60]]
65: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 9, 10, 28, 12, 20, 8, 15, 23, 27, 19], [13, 16, 21, 17, 18, 22, 24, 25, 26, 29, 31, 40, 39, 32, 34, 44, 38, 37, 33], [36, 45, 43, 47], [41, 42, 46, 51], [56, 48, 50, 55, 49, 54, 52, 58, 57, 59, 53, 60]]
66: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 12, 8, 9, 13, 25, 26, 21, 6], [15, 17, 23, 22, 18, 16, 24, 20, 31, 19, 28, 27, 29, 34, 37, 32, 38, 36, 39, 33, 43, 10], [41, 40, 44, 45], [42, 46, 47, 51], [48, 49, 54, 55, 52, 53, 50, 57, 56, 60, 59, 58]]
67: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 8, 12, 9, 10, 17, 15, 24, 29, 26, 21], [23, 13, 18, 16], [19, 22, 20, 27], [25, 28, 31, 32, 36, 33, 34, 45, 47, 39, 37, 40, 43, 42, 46, 41, 38, 44, 51], [52, 49, 48, 55, 53, 50, 54, 57, 56, 58, 59, 60]]
68: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 9, 10, 8, 12, 15, 13, 29, 31, 17, 18, 22, 20], [16, 19, 28, 21, 24, 25, 23, 26, 27, 36, 33, 32, 37, 39, 34, 47, 40, 41, 38, 42, 44], [43, 46, 45, 51], [52, 49, 54, 48, 50, 53, 55, 57, 59, 56, 58, 60]]
69: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 9, 12, 27, 15, 29, 8, 18, 10], [19, 13, 16, 21], [17, 20, 23, 22], [25, 28, 24, 26, 42, 37, 32, 34, 36, 39, 38, 44, 31, 40, 43, 33, 41, 45, 46, 47, 51], [52, 49, 55, 50, 53, 54, 59, 48, 56, 57, 58, 60]]
70: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 8, 9, 12, 6, 28, 13, 15, 25, 10], [27, 23, 18, 22], [21, 16, 17, 19, 29, 26, 24, 20, 31, 41, 32, 37, 33, 34, 39, 46, 38, 36, 40, 42, 44], [45, 43, 47, 51], [52, 49, 50, 48, 54, 53, 55, 58, 56, 57, 59, 60]]
71: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 8, 9, 12, 10, 21, 15, 17, 13], [19, 16, 23, 18, 20, 22, 28, 24, 26, 25, 31, 29, 27, 38, 33, 34, 45, 37, 32, 40, 39], [36, 41, 42, 43], [44, 46, 47, 51], [48, 49, 54, 50, 52, 55, 53, 56, 59, 57, 58, 60]]
72: [[7, 1, 2, 35, 11], [30, 4, 3, 5], [14, 10, 13, 15, 31, 8, 9, 12, 17, 6, 19, 16, 22, 20, 21, 23, 18, 29], [26, 25, 27, 24, 28, 41, 36, 32, 34, 33, 37, 46, 40, 38, 39, 43, 42, 44, 45, 47, 49], [50, 48, 55, 53, 51, 52, 54, 57, 59, 58, 60, 56]]
73: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 8, 9, 13, 12, 27, 15, 23, 10, 20, 21], [17, 18, 22, 19, 24, 16, 28, 26, 25, 31, 29, 40, 37, 34, 32, 36, 33, 38, 44], [43, 41, 39, 46], [45, 42, 47, 51], [52, 48, 54, 50, 49, 53, 55, 58, 56, 57, 59, 60]]
