0: [[22, 2, 1, 13], [3, 4, 14, 10, 5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
25: [[1, 22, 2, 13, 3], [4, 14, 10, 5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
26: [[1, 22, 2, 13, 3], [4, 14, 10, 5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
27: [[1, 22, 2, 13, 3], [4, 14, 10, 5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
28: [[1, 22, 2, 13, 3], [4, 14, 10, 5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
29: [[1, 22, 2, 13, 3], [4, 14, 10, 5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
30: [[1, 22, 2, 13, 3, 4, 14, 10, 5], [7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
31: [[1, 22, 2, 13, 3, 4, 14, 10, 5], [7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
32: [[1, 22, 2, 13, 3, 4, 14, 10, 5], [7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
33: [[1, 22, 2, 13, 3, 4, 14, 10], [5, 7, 6, 11, 9, 8, 16, 15, 12], [18, 19, 20, 17], [21, 23, 24]]
34: [[1, 22, 2, 13, 3, 4, 14, 10], [5, 7, 6, 11, 9, 8, 16, 15, 12], [18, 19, 20, 17], [21, 23, 24]]
35: [[1, 22, 2, 13, 3, 4, 14, 10], [5, 7, 6, 11, 9, 8, 12], [16, 15, 18, 19, 20, 17], [21, 23, 24]]
36: [[1, 22, 2, 13, 3], [4, 14, 10, 5, 7, 6, 11, 9, 12], [8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
37: [[1, 22, 2, 13, 3, 4, 14, 10], [5, 7, 6, 12], [11, 9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
38: [[1, 22, 2, 13, 3, 4, 14, 10, 5], [7, 6, 12], [11, 9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
39: [[1, 22], [2, 13, 3, 4, 14, 10, 5, 7, 6, 12], [11, 9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
40: [[1, 22, 2, 13, 3, 4, 14], [10, 5, 7, 6, 11, 9, 8, 12], [16, 15, 18, 19, 20, 17], [21, 23, 24]]
41: [[1, 22, 2, 13, 3, 4, 14], [10, 5, 7, 6], [11, 9, 8, 16, 15, 18, 19, 20, 12, 17], [21, 23, 24]]
42: [[1, 22, 2, 13], [3, 4, 14, 10, 5, 7, 6, 12, 11], [9, 8, 16, 15, 18, 19, 17, 20, 21], [23, 24]]
43: [[1, 22, 2, 13], [3, 4, 14, 10, 5, 7, 6, 12, 11, 9], [8, 16, 15, 18, 19, 17, 20, 21], [23, 24]]
44: [[22, 2, 13, 1], [3, 4, 14, 5, 7, 6, 12, 11, 10], [9, 8, 16, 15, 18, 19, 17], [20, 21, 23, 24]]
45: [[22, 2, 13, 3, 4, 1], [14, 5, 7, 6, 12, 11, 10], [9, 8, 16, 15, 18, 19, 17], [20, 21, 23, 24]]
46: [[22, 2, 13, 3, 4, 14, 1, 10], [5, 7, 6, 12, 11, 9, 8, 16, 15], [18, 19, 17], [20, 21, 23, 24]]
47: [[1, 22, 2, 13, 3, 4, 14], [10, 5, 7, 6, 12, 11, 9, 8, 16], [15, 18, 19, 17, 20, 21], [23, 24]]
48: [[22, 2, 13, 3, 4, 1], [14, 5, 7, 6, 12, 11, 9, 8, 10], [16, 15, 18, 19, 17], [20, 21, 23, 24]]
49: [[1, 22, 2, 13, 3, 4, 14, 10, 5, 7], [6, 12, 11, 9], [8, 16, 15, 18, 19, 17, 20, 21], [23, 24]]
