0: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
40: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 20, 23, 14], [21, 25, 27, 26, 29]]
41: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 20, 14, 23], [21, 25, 27, 26, 29]]
42: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
43: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
44: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
45: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
46: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
47: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
48: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
49: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
50: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
51: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
52: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 13, 8, 15], [9, 22, 16, 17, 28, 20, 23, 14], [21, 25, 27, 26, 29]]
53: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 13, 8, 15], [9, 22, 16, 17, 28, 20, 23, 14], [21, 25, 27, 26, 29]]
54: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
55: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
56: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
57: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
58: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
59: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 21, 20], [23, 25, 27, 26, 29]]
