0: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 5, 6, 21], [9, 8], [11, 12, 24, 15, 20, 10], [16, 19, 17, 18], [23, 22, 26, 25, 28], [30, 29, 31, 37, 40], [34, 33, 38, 32, 46, 39, 36], [47, 44, 41, 42, 43, 59, 50, 55], [48, 45, 51, 54, 53, 56, 60, 52], [57, 49], [58]]
13: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 21, 5, 6, 9, 8], [11, 10, 25, 15, 16, 12, 18, 17, 22, 20, 23, 24, 26, 19], [28, 31, 29, 30, 33, 32, 37, 34, 52, 39, 46, 41, 36, 43, 38, 42, 44], [40, 47, 53, 51, 56, 55, 50, 45, 48, 49, 57, 54, 59, 58, 60]]
14: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 21, 5, 6, 9, 8], [10, 24, 12, 15, 17, 11, 23, 18, 28, 16, 22], [25, 30, 19, 20, 26, 31, 29, 33], [40, 37, 34], [52, 32, 43, 42, 39, 47, 45, 46], [36], [44, 38, 49, 41, 60, 50, 51, 54, 48, 55], [53, 57, 59, 58, 56]]
15: [[35, 27, 7, 2], [1, 3, 4, 14, 13], [21, 5, 6], [9, 25, 10, 24, 11, 15, 8, 16, 26, 17], [22, 12, 23, 29, 30, 18, 19, 20, 28], [31, 37, 32, 41], [33, 34, 40, 39, 47, 36], [38, 44, 45, 42, 43, 60, 51, 46, 52], [49, 53, 48, 55, 54, 57, 50, 59, 58, 56]]
16: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 21, 5, 6, 9, 10], [8, 26, 28, 15, 12, 11, 22, 18, 17, 16, 20, 23, 30, 19], [24, 29, 25, 31, 37, 34, 32, 33, 48], [40, 39, 44, 38, 43, 45, 42, 41, 46, 47], [49, 51, 56, 36, 50, 54, 53, 55, 52, 57, 59, 58, 60]]
17: [[35, 27, 7, 2, 1], [3, 4, 14, 13, 21, 5, 6, 8], [11, 12, 10, 9, 15, 24, 25, 19, 22, 18, 16, 17, 23], [20, 28, 29, 30, 26, 31, 37, 32, 33, 44, 34, 36, 47, 38, 39, 41, 43, 45, 40, 42, 46, 59, 51, 50, 53, 54, 49, 48, 52, 55, 56, 57, 58, 60]]
18: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 21, 5, 6], [9, 25], [10, 24, 15, 8, 11, 12], [19, 16], [22, 28, 31, 29, 30, 17, 18, 23, 20], [26, 37, 40, 58], [33, 34, 32, 36, 41, 44], [38, 39, 43, 42, 46, 45, 50, 54, 60], [47, 52, 48, 51, 55, 49, 53, 59, 57, 56]]
19: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 21, 5, 6, 8], [9, 10, 24, 11, 30, 15, 16, 17, 18, 12, 22], [26, 19, 23, 20, 28, 29, 25], [31, 37, 46, 32, 34, 36, 38, 33, 39, 40, 47, 41], [44, 43, 45, 42, 50], [53, 52, 48, 54, 51, 55, 49, 56], [58, 59, 57, 60]]
20: [[35, 27, 7, 2, 1], [3, 4], [14, 13, 21, 5, 6, 8], [11, 9, 24, 10, 15], [12, 17, 23, 18, 22], [16, 19, 26, 20, 28], [25, 29, 30, 31, 37], [40, 32, 46, 41, 33], [34, 44, 36, 38, 43, 45, 56, 42, 47], [59, 51, 48, 53, 60, 50, 39, 52, 55, 57, 49, 58, 54]]
21: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 5, 9, 8, 18, 21, 6], [11, 28, 15, 16, 17, 22, 12, 19, 23, 25, 20, 26, 10], [30, 29, 24, 31, 33, 32, 36, 37, 52, 34, 39], [40, 38, 43, 45, 41], [44, 42, 46, 49, 47, 56, 48, 51, 54, 50, 55, 53, 57], [59, 58, 60]]
22: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 21, 11, 5, 6], [8, 10, 30, 9, 15, 20, 12, 26], [22, 17, 24], [18, 16, 19, 28, 23], [29, 25, 31, 57, 42, 36, 37, 32, 34, 33, 47, 38, 39, 40, 41], [44, 43, 46, 50, 48, 60, 45, 49, 53, 51, 54, 55, 52, 56, 58, 59]]
23: [[35, 27, 7, 2, 1], [3, 4, 14, 13, 21], [5, 6, 9, 8, 10, 12, 11, 15, 24, 31], [16, 17], [19, 20, 18, 29, 22], [23, 30, 25, 26, 28], [37, 40, 43, 36, 32, 33, 34, 39, 38], [47, 41, 42, 46, 44, 45, 51, 52, 56, 50], [49, 48, 53, 55, 54, 58, 59, 57, 60]]
24: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 21, 5, 6], [9, 8, 10, 28, 11, 12, 31, 16, 17], [30, 15, 22, 23, 18, 24], [20, 19, 25], [29, 26, 37, 38, 34], [32, 40, 42, 41, 39, 45, 33], [46, 44, 36, 43, 47], [50, 49, 60, 48, 52, 54, 53, 51], [55, 58, 57, 56, 59]]
25: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 21, 5, 6, 8, 11], [10], [12, 15, 16, 22, 9, 19], [17, 18, 28, 20, 26, 31, 24, 23], [25, 29, 43, 37, 40, 32, 33, 30, 46, 42, 34, 44, 45, 39, 36, 38, 47, 41, 51, 53, 52, 48, 50], [54, 55, 60, 56, 49, 57, 58, 59]]
26: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 5, 9, 8, 21, 6], [12, 29, 23, 17, 11, 19, 15, 22, 20, 24, 26, 25, 10], [16, 28, 30, 31, 33, 40, 39, 32, 52, 42, 18], [47, 34], [36, 37, 45, 46, 38, 44, 41, 49, 43, 56, 48], [51], [54, 50, 53, 55, 57, 58, 59, 60]]
27: [[35, 27, 7, 2, 1], [3, 4], [14, 13, 21, 6], [5, 9, 8, 11, 24, 12, 10], [20, 15, 16, 17, 22, 19, 30, 18], [23, 25, 31, 26, 28, 29, 37, 44], [34, 33], [38], [32, 39, 46, 36, 41, 40, 43, 42, 47, 58, 49, 55, 50, 48, 51, 52, 54, 56, 45, 53, 57, 59, 60]]
28: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 21, 5, 22, 8, 10, 12, 11, 9, 15, 24, 17, 19, 20, 6, 16, 18, 23, 25, 28, 26, 29, 31, 30, 37, 32, 33, 40, 43, 36, 47, 34, 39], [42, 38, 45, 41, 44, 46, 48, 55, 52, 51, 50, 53, 49, 54, 57, 56, 59, 58, 60]]
29: [[35, 27, 7, 2, 1], [3, 4], [14, 13, 21, 5], [6, 9, 8, 10, 24, 11, 15, 29, 17, 12, 18, 20, 16], [22, 23, 26, 19, 25, 28, 30, 31, 33, 32, 37, 38, 36, 42, 34, 44, 45, 39, 41, 43, 49, 46, 47, 57, 51, 56, 52, 53, 54, 40, 48, 55, 59, 50, 58, 60]]
30: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 21, 5, 6, 9, 10], [8, 26, 20, 11, 12], [15, 18, 19, 17, 16], [29, 22, 24, 23, 28, 30, 25, 31, 33, 34, 36, 38, 32, 40, 37, 45, 42, 43, 41, 39, 44, 47, 46, 51, 50, 56, 49, 52, 54, 48, 53, 55, 58, 59, 57, 60]]
31: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 21, 6, 5, 9, 10], [8, 24, 28, 31, 11, 12, 15, 16, 17, 23, 22, 18, 19, 20], [25, 26, 29, 30, 37, 34, 36, 33, 48], [42], [38, 44, 45, 43, 39, 40, 41, 32, 47, 51, 55, 56, 46, 49, 54, 53, 50, 52, 57, 59], [58, 60]]
32: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 21, 5, 6, 9, 8], [10, 26, 28], [15, 16, 11, 23, 18, 12], [17, 20, 25, 30, 19], [22, 29, 24, 31, 33, 32, 37, 34], [52], [42, 39, 40, 38, 43, 45, 46, 41, 44, 47], [49, 51, 56, 36, 50, 54, 48, 55, 53, 57, 58, 59, 60]]
33: [[35, 27, 7, 2, 1], [3, 4], [14, 13, 21, 5], [6, 9, 8], [10, 11, 12, 15, 19, 30], [23, 18, 22, 17], [16, 20, 24, 25, 26, 29, 31, 28, 37, 32, 33, 38, 34], [36, 40, 44, 39, 47, 43, 45, 41, 46, 49], [59, 55, 50, 53, 52, 51, 42, 48, 54, 56, 57, 58, 60]]
34: [[35, 27, 7, 2, 1, 3], [4, 14], [13, 21, 6, 5, 11], [8, 10, 12, 9, 15, 19, 17, 18, 16, 23, 20, 22], [31, 26, 30, 24, 29, 28, 43, 33, 40, 47, 32, 46, 41, 42, 49, 25, 34, 36, 37, 39, 44], [45, 51, 38, 48, 50, 52, 55, 53, 56, 54, 57, 60, 59, 58]]
35: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 21, 5, 6], [11, 12, 25, 9, 8, 10, 31, 22, 16, 15], [17, 20, 18, 19, 26, 23, 30, 24, 29], [28, 37, 46, 34, 32, 33, 36, 38, 39, 41, 47, 40, 43], [42, 44, 45, 48, 50, 52, 53, 51, 54, 56, 57, 49, 58, 55, 59, 60]]
36: [[35, 27, 7, 2], [1, 3, 4, 14, 13, 21, 5, 6], [9, 8, 11, 10, 30, 15, 12], [20, 25, 17, 16, 28, 22, 24, 18], [23, 19, 31, 26], [29, 33, 32, 36, 34, 38], [43, 37, 51, 44, 40, 39], [41, 47, 46, 42, 55, 45, 48, 54], [53, 52, 49, 50, 58, 57, 56, 59, 60]]
37: [[35, 27, 7, 2, 1], [3, 4, 14, 13, 21, 5, 6, 9, 10, 8], [11, 28, 12, 18, 15, 20, 19, 17, 16, 22, 23, 30, 24], [25, 29, 26, 31, 37, 46, 32, 33, 48, 34, 39, 36, 38, 47, 41, 42, 40, 44, 45, 49, 43, 58, 50, 51, 52, 53, 55, 54, 57, 59, 56, 60]]
38: [[35, 27, 7, 2, 1], [3, 4], [14, 13, 21, 5, 6, 8, 10, 9], [11, 12, 15, 18, 16, 24, 22, 20, 26, 19, 17, 28, 23], [25, 31, 29, 30, 36, 33], [34, 38, 55, 32, 47, 42, 37, 44, 45], [40, 41, 39, 43, 49, 46, 48, 51, 50, 52, 54, 53, 59, 57, 56, 58, 60]]
39: [[35, 27, 7, 2, 1], [3, 4, 14, 13, 21, 5, 6, 8, 26, 9, 11, 10, 31, 12, 16, 17, 22, 15, 20, 18, 24, 28, 23, 19, 29, 25, 30, 37, 40, 32, 33, 42, 36, 47], [34, 39, 46, 41, 45, 38, 44, 43, 48, 55, 60, 51, 50, 49, 53, 52, 57, 54, 59], [58, 56]]
40: [[35, 27, 7, 2], [1, 3, 4, 14, 13, 21, 6, 23, 9], [5, 25, 8, 24, 11, 10, 30, 12, 15, 17, 20, 16, 18], [19, 22, 26, 60, 29, 31, 36, 44, 34, 33, 28, 32, 38, 37, 39, 41, 40, 43, 42, 47, 45, 48, 50, 58, 52, 51, 55, 46, 56, 49, 59, 53, 57, 54]]
41: [[35, 27, 7, 2, 1, 3, 4], [14, 13, 21], [6, 5, 8, 9, 11], [12, 17, 15, 10, 20, 16, 19, 18, 30, 22, 26, 24, 29, 23], [25, 28, 31, 37, 34, 38, 33, 36, 32, 44, 45, 47, 43, 40, 39], [42, 41, 52, 48, 55, 60, 46, 51, 54, 50, 56, 49, 53, 57, 58, 59]]
42: [[35, 27, 7, 2, 1], [3, 4], [14, 13, 21, 5, 6, 9], [8, 10, 24, 29, 15, 22], [11, 12, 17, 18, 16], [20, 23, 31, 19, 25], [26, 28, 30, 37, 32], [33, 38, 43, 36, 34], [44, 40, 39, 41, 46, 45, 48, 47, 57], [51, 56, 49, 60, 55, 42, 50, 53, 52], [59], [58, 54]]
43: [[35, 27, 7, 2], [1, 3, 4, 14, 13, 21, 5, 6, 9, 26, 10, 8, 31, 15, 11, 20, 12], [25, 18, 16, 19, 22, 24, 28, 23, 17, 29, 30, 37, 40, 34, 38, 33, 32, 44, 42, 36, 39, 45, 46, 41, 47, 43, 49, 51, 56, 48, 50, 53, 52, 54, 58, 55, 59, 57, 60]]
44: [[35, 27, 7, 2, 1], [3, 4, 14, 13, 21, 5, 6, 9, 26, 8], [10, 12], [30, 11, 16, 17, 18, 24, 15, 22, 31, 20, 19], [23, 25, 28], [29, 37, 40, 32, 33, 34, 36, 47, 42, 38, 39, 41, 44, 43, 45, 46, 49, 50, 60, 54, 51, 48, 52, 53, 56, 55, 59, 58, 57]]
45: [[35, 27], [7, 2, 1, 3, 4, 14], [13, 21, 5, 6], [9, 8, 10, 12, 26], [11, 24, 15, 18, 17], [23, 16, 19, 31, 20], [22, 25, 28, 30, 29, 37, 42, 34, 36], [38, 33, 32, 39, 44, 43, 41, 40, 47, 45, 46, 51], [54, 56, 50, 48, 52, 49, 53, 55, 58, 59, 57, 60]]
46: [[35, 27, 7, 2, 1], [3, 4, 14, 13, 21, 5, 6, 9], [8, 10, 12, 11, 15, 25, 24, 17, 22, 18, 16, 19, 20], [23, 26, 30, 29, 28, 31, 37, 40, 32, 36, 33, 34, 47, 38, 39, 45, 43, 41, 42, 44, 46, 59, 51, 48, 53, 52, 55, 50, 49, 54, 56, 57, 58, 60]]
47: [[35, 27, 7, 2, 1], [3, 4], [14, 13, 21, 5, 6, 9, 8, 10, 24, 11, 15, 16, 17, 12, 22, 19, 29, 18, 23, 28, 20, 25, 30, 26, 31, 37, 42, 32, 40, 34, 33, 47, 45, 36, 43, 38, 39, 41], [44, 46, 50, 49, 48, 55, 53, 52, 51, 54, 56], [60, 57, 58, 59]]
48: [[35, 27], [7, 2, 1, 3, 4, 14], [13, 21, 5, 6], [9, 8, 10, 12, 28], [11, 16, 15, 24, 19], [22, 17, 18, 29, 20], [25, 30, 23, 26, 31, 37, 40, 34, 36], [32, 33, 38, 43, 39], [46, 41, 42, 47, 44, 45, 51, 52, 56], [53, 49, 48, 54, 55, 58, 50, 59, 57, 60]]
49: [[35, 27, 7, 2], [1, 3, 4, 14, 13, 21, 5], [6, 9, 10, 8, 30, 11, 12, 18, 17, 15, 19, 23, 22, 16, 20, 29, 28, 24, 26, 25, 31, 37, 40, 33, 36, 32, 34, 46, 39, 38, 47, 41, 42, 44, 45, 43, 50, 53, 54, 49, 48, 51, 52, 55, 57, 58, 56, 59, 60]]
50: [[35, 27, 7, 2], [1, 3, 4, 14], [13, 21], [5, 6, 8, 9, 10, 25], [12, 11, 15, 22, 17, 16, 19, 31, 18], [20, 28, 23, 29], [24, 26], [30, 37, 42, 38, 32, 34, 33, 39, 36], [41, 47, 44], [40, 45, 43, 46, 51], [49, 48, 54, 50, 52, 53, 58, 56, 57], [55], [59, 60]]
51: [[35, 27, 7, 2, 1], [3, 4], [14, 13, 5, 6], [10, 9, 8, 11, 12, 15, 18], [20, 23, 16, 17, 22, 19, 21, 24], [25, 26, 29, 28, 30, 31, 37, 42], [34, 33], [38], [32, 47, 40, 36, 39, 41, 43], [46, 44], [45], [49, 55, 56, 48, 50, 52, 53, 51, 58, 54, 59, 57, 60]]
52: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 5, 22, 11, 21], [8, 12, 30, 15, 9, 6, 10, 18], [17, 26, 23], [19, 24, 20, 28, 16], [25, 29, 31, 57, 37, 44, 32], [33, 38, 34, 45, 36, 39, 40, 41, 46, 47, 42, 50], [49, 43, 48, 51], [53, 52, 55, 56], [60, 54, 58, 59]]
53: [[35, 27, 7, 2, 1], [3, 4], [14, 13, 21, 5], [11, 9, 8], [12], [26, 24, 15, 20, 31, 10, 22, 18, 25, 16, 29, 28, 19, 17, 23, 39, 30, 37, 32, 36, 6, 33, 34, 38, 46, 40, 47, 41, 42, 43, 45, 44, 49, 48, 56, 54, 51, 53, 52, 50, 57, 55, 58, 59, 60]]
54: [[35, 27, 7, 2], [1, 3, 4, 14, 13, 21, 5, 6, 9], [8, 10, 24, 31, 15], [11, 30], [12, 16, 22, 18, 19, 26], [23, 17, 28, 25, 20], [29, 37, 40, 32, 39], [33, 34, 42, 43, 36], [46, 41, 45, 55, 38], [47, 59, 48, 50, 53], [44, 49, 56, 52, 54, 58, 51, 57, 60]]
55: [[35, 27, 7, 2, 1], [3, 4, 14, 13, 21, 5, 6, 9, 10, 8, 26, 12, 15, 29, 31, 11, 25, 19, 16, 22, 17, 30, 23, 18], [24, 20, 28, 33, 34, 37, 38, 32, 40, 39, 47, 36, 46, 42, 41, 44, 43, 45, 51, 50, 60, 49, 53, 52, 48, 54, 55, 58, 59, 56, 57]]
56: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 21, 5, 6, 9, 8, 10, 26, 11, 15, 12, 18, 16, 19, 22, 24, 20, 17, 28, 23, 29, 30, 25, 31, 32, 46], [36, 33, 34, 37, 38, 44, 39, 42, 40, 47, 43, 45, 41, 59, 53, 58, 48, 52, 49, 50, 51, 54, 55, 56, 57, 60]]
57: [[35, 27, 7, 2, 1], [3, 4, 14, 13, 21, 5, 6, 9, 24, 11, 8, 28, 10, 12, 19, 16, 18, 17, 30, 22, 15, 20, 23, 25], [26, 29, 31, 37, 42, 32, 36, 33, 41, 47, 34, 38, 39, 40, 44, 45, 43, 46, 48, 49, 56, 52, 51, 50, 53, 54, 58, 55, 57, 59, 60]]
58: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 21, 5, 23, 6, 8, 12, 15, 9, 11, 29, 28, 10, 16, 22, 17, 19, 18, 20, 24, 25, 26, 31, 30, 37, 32, 33, 42, 47, 34, 36, 38, 39], [43, 40, 45, 41, 44, 46, 50, 51, 54, 48, 49], [53, 52, 55, 57, 56, 59, 58, 60]]
59: [[35, 27, 7, 2, 1, 3], [4, 14, 13, 21, 5, 6], [9, 10, 11, 12, 8, 15, 23, 17], [22, 18, 16, 28, 20, 24, 30], [19, 31, 25, 29, 26, 33, 42, 38], [32, 39, 36, 40, 50], [41, 43, 34, 46, 37], [47, 45, 44, 48, 49, 51, 52, 53, 55, 56, 57, 54, 60, 59, 58]]
60: [[35, 27, 7, 2], [1], [3, 4, 14, 13, 21, 5, 23, 9, 6, 11, 8, 12, 31, 10, 22, 16, 15, 17, 19, 18, 24, 28, 20, 26, 30, 29, 25, 36, 34, 32, 33, 44, 38, 42, 37, 40, 41, 46, 47, 43, 49, 45, 48, 51, 58, 50, 54, 52, 39, 56, 53, 59, 55, 57, 60]]
61: [[35, 27, 7, 2, 1], [3, 4, 14, 13], [21, 5, 6, 9, 11], [8, 15, 10, 12, 22, 17, 16, 26, 19, 23, 24, 18, 20], [28, 29, 30, 25, 31, 37, 32, 34, 33, 36, 41, 39, 45, 38, 43, 42, 44, 40, 46, 47, 59, 51, 49, 53, 55, 52, 48, 50, 54, 56, 57, 58, 60]]
62: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 21, 6, 5, 10, 24, 11, 8, 28, 9, 12, 19, 16], [18, 17, 30, 22, 15, 29, 23, 25, 26, 20, 31, 36, 34, 32, 37], [33, 45, 47, 42, 44, 38, 40, 46, 39, 41, 43, 50, 48, 57, 53, 49, 52, 54, 55], [51, 59, 58, 60, 56]]
63: [[35, 27, 7, 2, 1, 3], [4, 14, 13, 21, 5, 22], [9, 10, 11, 6, 8, 28, 12, 16, 17, 15, 18, 23, 29, 26, 25, 19, 31, 58, 24, 30, 37, 34, 32, 39, 20, 36, 38, 33, 40, 47, 42, 43, 44, 41, 45, 51, 46, 48, 50, 52, 53, 49, 55, 54, 56, 57, 59, 60]]
64: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 21, 6], [5, 8, 9, 11, 12, 15], [17, 10, 19], [24, 25, 26, 18, 23, 30, 20, 28, 31, 22, 47, 29, 37, 44, 45, 36, 32, 33, 16, 39], [38, 34, 41, 40, 43, 42, 46, 51, 49, 60, 48, 53, 50, 52, 54, 56, 55, 59, 57, 58]]
65: [[35, 27, 7, 2, 1], [3, 4, 14, 13, 21, 5], [6, 8, 9, 11, 24, 10, 12, 19, 23, 18, 20, 16, 22], [25, 26, 29, 31, 28, 30, 33, 17], [37, 34, 32, 38], [15, 36, 39, 40, 44, 41, 43, 46, 45, 42, 47, 51], [54, 48, 52, 50, 53, 49, 55, 58, 56, 57, 59], [60]]
66: [[35, 27, 7, 2], [1, 3, 4, 14, 13], [21, 6, 5], [9, 8, 10, 12, 16, 15, 17, 11, 18, 19, 20, 28, 22], [31, 23, 24, 25, 26, 29, 30, 37, 42, 33, 36], [38, 40, 32, 39, 41, 34, 45, 44, 47, 43, 46, 48, 50, 54, 49, 55, 51, 53, 58, 52, 57, 56, 59, 60]]
67: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 5, 6, 22], [9, 10, 8, 26, 28, 30, 12, 11, 19, 15, 16, 17, 29, 18], [20, 21, 24, 31, 25, 23, 37, 34, 32], [33, 38, 36, 47, 46, 39, 43, 41, 42, 40], [44, 45, 51, 58, 48, 49, 50, 55, 52, 53, 60, 54, 57], [56, 59]]
68: [[35, 27, 7, 2, 1, 3], [4, 14, 13, 21, 5, 6, 11, 9, 8, 10, 25, 12, 23, 15, 18, 16, 17, 31, 19, 24, 26, 20, 22, 29, 28, 30, 33, 40, 36, 32, 52, 42, 34, 47, 37, 38, 39, 41, 43, 44, 45, 51, 46, 49, 48], [50, 54, 53, 57, 55, 56, 59, 58, 60]]
69: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 21, 5, 6, 9], [10, 8, 11, 12, 15], [16, 29, 18, 23, 24, 17, 19], [22, 20, 25, 26, 58], [28, 30, 37], [42, 32, 38, 31, 33, 34, 36], [40, 47, 45, 39, 46, 43, 41, 51, 54, 56, 44, 48, 52, 49, 53, 50, 55, 59, 57, 60]]
70: [[35, 27, 7, 2, 1], [3], [4, 14, 13, 21, 5, 6, 11, 10, 8, 12, 9, 15, 31, 16, 17, 23, 19, 18, 22, 24, 28, 20, 30, 29, 25, 26, 37, 46, 32, 36, 45], [38, 40, 44, 43, 39, 33, 41, 34, 42, 47, 52, 51, 60, 48, 50, 53, 54, 56, 49, 59, 55, 58, 57]]
71: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 21, 5, 6, 17], [8, 9, 30, 28, 11, 16, 10, 22], [12, 26, 23], [20, 24, 15, 19, 18, 29, 25, 31, 57, 36, 37, 34, 48], [46, 39, 40, 32, 43, 33, 42, 45, 38, 41, 50, 49, 44, 47, 51, 52, 53, 55, 60, 56, 54, 58, 59]]
72: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 21, 5, 6], [9, 12], [10, 30, 11, 8], [15, 16, 17, 18, 19, 20, 22, 23, 24, 28, 29, 31, 25, 26, 37], [46, 34, 36, 32], [38, 33, 44, 43, 39, 40, 42, 41, 45, 47, 50, 53, 49, 48, 51, 55, 54, 52, 56, 57, 59, 58, 60]]
73: [[35, 27, 7, 2], [1, 3, 4, 14, 13, 21, 9, 22, 6], [8, 12, 15, 11, 10], [25, 20, 19, 16], [5, 17, 18, 23, 28, 24, 29], [30, 26, 31, 37, 32, 33, 34, 36, 46], [47, 39, 44, 38, 43, 40, 41, 42, 45, 50, 49], [54, 51, 48, 53, 55, 52, 57, 56, 59, 58, 60]]
